BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,226877.59,160933167,429391287,138505886,785659
1024,181007.86,207736837,558485913,180729734,924721
1024,179293.48,207430671,558584445,180864819,912345
1024,228266.23,161102782,429363905,138690782,855774
1024,228304.67,160923302,429386324,138344467,824059
1024,226398.56,160791058,429409149,138458036,800808
2048,355051.40,105919829,284389493,91778396,466098
2048,345364.19,105766216,284444253,91781423,478826
2048,329679.92,108021152,287239661,93033628,481785
2048,327020.63,108702300,287536557,93028788,511048
2048,332435.40,108162082,287192130,93156660,491929
2048,328444.40,107990088,287424249,92934642,491984
4096,588526.70,55344407,145917001,46460264,379822
4096,593015.00,55277528,145944882,46463855,385526
4096,567894.18,55475587,145985070,46537561,382046
4096,578304.08,55497218,145948090,46617095,392259
4096,594375.51,55240534,145848395,46480408,359930
4096,571414.46,55349894,145960950,46585842,388185
8192,948503.37,29822036,78506628,24659195,225587
8192,911381.90,29716820,78476331,24604434,224217
8192,978700.37,29824836,78499832,24619242,228100
8192,963263.54,29761219,78513355,24663810,226351
8192,970470.58,29811683,78480572,24634014,231065
8192,963256.15,29679755,78493285,24652841,223007
16384,1479024.63,17023594,44399657,13654384,119667
16384,1537636.30,16966060,44385948,13659065,120897
16384,1557929.86,16852857,44352684,13623824,113409
16384,1522359.55,16955142,44351083,13667344,115073
16384,1549477.05,16828050,44359357,13706579,117574
16384,1455021.96,16999213,44363100,13634026,118879
32768,2268848.92,10751762,27293758,8125231,63134
32768,2425665.12,10756765,27303371,8149412,60888
32768,2313728.82,10858208,27318682,8195476,62215
32768,2330985.75,10768004,27321867,8169732,66057
32768,2337217.83,10840504,27316882,8195810,64147
32768,2294003.16,10807831,27319438,8208830,63203
65536,1942374.84,13347961,31888554,9657651,47292
65536,1917640.86,13573322,32206030,9769083,49848
65536,1994341.95,13477662,31953347,9633037,47573
65536,1842540.88,13451508,31960821,9700820,50466
65536,1990823.89,13344241,31879869,9623968,46552
65536,1977523.34,13476808,31975113,9659276,51537
131072,2162020.41,11940524,28215649,8495115,31810
131072,2116268.43,11982314,28267656,8456248,34557
131072,2185584.10,11941814,28232967,8400996,32656
131072,2044044.09,11953730,28224280,8455309,31700
131072,2088024.65,12198265,28685269,8598876,36824
131072,2096425.50,12125784,28660307,8568045,35731
262144,1968363.53,12573079,29040755,8735207,41857
262144,2025860.55,12563918,29008931,8752645,39935
262144,1939177.15,12619625,29015000,8675173,39978
262144,3109507.99,12557402,28633205,8599131,33495
262144,2826732.63,12554236,29012179,8703755,36973
262144,2009571.18,12605209,29024700,8720185,43154
524288,1897472.02,12897390,29360176,8825128,36099
524288,2048435.82,13109739,29374199,8782111,43548
524288,1901685.05,12824686,29339153,8807944,38224
524288,1980515.68,12869958,29364473,8760326,41913
524288,1982850.20,12863458,29368604,8871398,43136
524288,1888154.24,13075959,30109698,9036357,42930
1048576,1782456.31,14329267,31615449,9542142,45632
1048576,1793564.10,14289012,30838064,9277452,46836
1048576,1839988.39,14004101,30245224,9070504,41628
1048576,1785232.84,13711669,31208140,9388770,43088
1048576,1770354.67,14099795,30725386,9228347,45014
1048576,1747714.10,13955851,30229087,9086491,42130
2097152,1399881.49,17486233,34850638,10519653,51733
2097152,1494925.62,17496783,36024094,10914519,56746
2097152,1391011.69,17776046,35322945,10679652,60552
2097152,1466581.60,17662534,36384517,11076092,65458
2097152,1477275.54,18113247,35341794,10749247,61817
2097152,1530869.91,16921690,34837718,10554545,53285
4194304,925670.19,31046447,45072820,13776074,93244
4194304,935239.00,30849452,45312943,13870075,90930
4194304,934510.98,29952212,44566860,13684706,91940
4194304,1043221.73,27193592,44366505,13594439,96508
4194304,1040755.15,28065499,45016252,13792953,96078
4194304,1013567.21,27559312,44753106,13698914,88892
8388608,793569.40,38443416,62903028,19496626,118010
8388608,781318.57,39204285,62797805,19462989,145942
8388608,800582.81,39113068,63208368,19584211,142135
8388608,784400.36,37616827,63312436,19545988,144628
8388608,791421.95,38726971,62661815,19418136,156386
8388608,768570.00,41360629,62781966,19527843,144815
16777216,592365.48,54564519,100543570,31458687,249429
16777216,593265.98,53921794,99747437,31241262,259301
16777216,613744.60,52792249,99474884,31187075,252189
16777216,709910.57,55197854,99320709,31096649,240981
16777216,600521.87,53472401,99775772,31257909,250199
16777216,600882.83,54688448,98819323,30997102,235722
