BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,180606.96,208113475,558682565,143623,3646
1024,228899.30,160404020,429405525,70155,1176
1024,230247.22,161127890,429728433,73635,1291
1024,228664.47,160223147,429375897,70168,940
1024,227240.96,161001396,429383423,71441,907
1024,177900.76,208446201,558892105,142205,1959
2048,338619.91,108601793,287410630,72682,1705
2048,327701.41,107761282,287204865,58271,1427
2048,328453.99,108322965,287209695,72772,1355
2048,332391.00,108178104,287202980,70905,1048
2048,329569.09,108076889,287351552,74585,1420
2048,328761.19,107846373,287204748,70107,920
4096,584979.05,55244956,145951557,54742,1129
4096,554419.21,55418272,145995131,64861,2319
4096,585011.53,55073965,145963132,56240,1623
4096,597585.19,55018987,145972876,55568,1299
4096,502227.17,67238359,178273415,74401,1608
4096,579547.68,55143216,146037271,56386,1746
8192,827796.06,35706664,94671241,40512,2204
8192,962624.08,29731521,78463104,30779,1814
8192,932724.12,29771685,78540577,31783,1633
8192,963882.51,29762282,78489744,30445,1765
8192,974508.82,29690747,78521957,31561,1908
8192,802693.67,35721548,94659310,40381,1597
16384,1547483.14,16866662,44377660,19695,1869
16384,1587030.55,16930948,44376540,24059,2171
16384,2176533.00,16996224,44321128,18497,2348
16384,1479240.28,19862652,52416354,23780,2192
16384,1294029.59,19798471,52444628,23640,2220
16384,1740673.81,16969767,44364206,26952,3796
32768,2254030.76,12265419,31335701,43083,2663
32768,2054498.29,12281328,31349614,142479,3593
32768,2023740.75,12361949,31358202,115324,2601
32768,2260203.72,10781664,27294711,138777,2466
32768,2334396.67,10839940,27313260,104503,2611
32768,2049491.58,12225065,31352888,66109,2559
65536,1863244.08,13786911,32771809,109166,4501
65536,1943400.50,13705450,32782249,73885,3617
65536,1773720.90,13764988,32773514,84243,3520
65536,1827467.19,13396301,31936835,110765,3344
65536,1900457.57,13483841,31973964,100681,3404
65536,1933758.49,13467116,31962009,97491,3409
131072,2076603.09,12007490,28233760,141566,6294
131072,2041089.61,12120566,28424718,174910,8910
131072,2080891.32,12141265,28675986,144626,5570
131072,2169205.76,11944347,28219692,141959,5507
131072,2051354.21,11922366,28215442,112967,5465
131072,2114131.62,12030294,28271021,188774,5412
262144,3066501.71,12763047,29498391,312798,12909
262144,1977383.97,12827917,29924238,358189,14877
262144,2017087.05,12846729,29556674,527997,18999
262144,2053572.80,12514731,29254749,282081,14808
262144,2060018.37,12512055,29041210,540888,12583
262144,2057938.70,12684757,29524281,500513,13702
524288,1996098.62,12840097,28991127,603520,22553
524288,1939387.51,12578259,28593957,443441,19807
524288,1869464.28,13092916,29907287,425910,22517
524288,1961348.30,12926647,29748697,457022,17899
524288,1906395.17,12839080,29694973,419966,17235
524288,1904732.96,12881354,29718552,446186,17071
1048576,1823305.61,14062901,31376346,627117,36066
1048576,1900657.15,13706465,31015955,529569,28719
1048576,1884949.85,13586852,30732256,535351,28305
1048576,1755525.16,13946806,31521697,657480,29842
1048576,1827029.54,13766069,31071250,648190,29267
1048576,1786373.63,13887938,30244051,500078,37725
2097152,1447708.15,16833356,34856065,542162,58538
2097152,1533877.84,20948221,36277645,684320,99368
2097152,1391486.78,18657249,36321195,709331,78589
2097152,1549271.14,17831263,35338811,690394,66936
2097152,1374211.42,19079781,35350115,567678,85246
2097152,1483650.42,17540822,35812893,571864,61994
4194304,903627.45,31280499,45394478,620288,131587
4194304,1038403.65,26695962,43922932,760582,135474
4194304,961175.31,27839508,44723909,664475,135909
4194304,1007871.31,27290775,44955959,637598,136929
4194304,1026998.47,27994722,44908370,624294,133514
4194304,1015701.17,26826644,43893338,627949,134099
8388608,746570.64,39838144,64773057,759754,188420
8388608,806624.69,37695406,62276421,756929,187586
8388608,787523.26,38574186,62916459,749364,187284
8388608,726718.01,41012505,63983733,805428,189168
8388608,753248.42,40647460,64414627,802542,208092
8388608,780355.63,39123953,62751386,781893,185359
16777216,607306.20,53099314,99960723,1034365,287551
16777216,583396.11,53223314,99133569,1003327,287269
16777216,607871.98,53379464,98804372,990982,286434
16777216,641826.60,53894370,100303496,956984,294423
16777216,598384.83,54399799,100301060,1027673,281894
16777216,605475.41,53704991,99751123,1020652,295169
