BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,486728.92,68122628,170784070,54342178,1950
1024,485499.21,68136853,170796904,54328390,2521
1024,497805.29,68275525,170750187,54399156,2455
1024,481333.58,68173338,170753657,54410249,2230
1024,495026.94,68195767,170794223,54327787,2124
1024,496504.80,68306382,170790484,54404154,2715
2048,839867.61,35674054,90167357,30335863,1980
2048,828773.03,35717093,90171577,30362998,2520
2048,815580.45,35589217,90198560,30348414,2096
2048,824527.25,35689388,90142800,30330405,1703
2048,842157.22,35614138,90175576,30338083,2120
2048,823472.83,35623769,90186757,30345675,2370
4096,1362398.20,19366235,49616881,18248684,1940
4096,1353575.04,19416264,49622300,18249064,1748
4096,1261509.83,19394105,49608741,18255733,1321
4096,1264135.94,19390270,49593871,18249102,1439
4096,1326023.15,19414439,49597658,18241863,1206
4096,1304262.31,19430014,49616541,18247715,20243
8192,1503308.07,17596187,46151822,17174362,8552
8192,1383610.43,17711607,46142414,17171926,58154
8192,1380180.79,17716665,46166495,17204876,26913
8192,1845810.76,17832679,46144493,17179029,45092
8192,1456904.51,17779595,46192689,17190483,45693
8192,1493162.19,17969636,46192107,17195939,64270
16384,2205059.19,16987097,44411663,16648489,103172
16384,1840243.80,16861507,44425106,16652612,116414
16384,1997859.08,17909248,45434985,16961395,115094
16384,1513730.30,17130342,44455371,16671295,213670
16384,1532806.53,17050864,44439609,16667100,182822
16384,1525798.71,17015843,44473904,16672091,148689
32768,1512136.42,17221059,43602607,16390758,563309
32768,1565522.04,17292143,43622721,16400552,560370
32768,1425177.52,17194753,43581183,16389700,564856
32768,1504102.90,17246053,43627422,16403382,595187
32768,2265388.08,17299376,43552922,16382359,578124
32768,1419171.83,17267128,43596084,16400531,593978
65536,1429899.34,17706350,43670117,16406851,649864
65536,1469370.57,17724657,43680390,16405097,629519
65536,1468733.76,17766669,43661168,16403480,643620
65536,1470506.18,17754689,43665561,16399808,636484
65536,1470076.10,17726537,43656070,16397471,633182
65536,1463764.72,17758348,43670874,16406952,645976
131072,1532034.04,17848968,43752239,16425085,636297
131072,1451588.53,17863686,43777357,16436011,654722
131072,1474090.70,17873207,43761603,16431518,648623
131072,1467350.43,17836076,43749182,16422865,643127
131072,1432919.25,17802706,43734916,16416481,670483
131072,1435702.44,17891896,43749839,16431600,640623
262144,1954327.74,20055225,44680438,16707721,656122
262144,1441118.62,18613868,44733783,16725773,672175
262144,1430815.07,18340549,44696273,16712278,666084
262144,1391781.37,18620845,45023016,16815487,674184
262144,1423144.00,18391663,44692774,16710533,654166
262144,1462590.97,18422186,44712853,16717025,647477
524288,1380939.07,19112710,45869322,17070162,661792
524288,1366218.69,19339076,45861716,17066909,658883
524288,1388731.77,19322508,45866992,17071518,639181
524288,1355046.98,19279479,45894555,17077924,653770
524288,1316426.36,19197864,45849521,17056151,646672
524288,1398424.96,19247522,45860059,17065341,669495
1048576,1248909.10,21185146,48146443,17757828,654008
1048576,1213075.51,20139695,48121074,17750552,656103
1048576,1299223.18,20187428,48160265,17763240,662832
1048576,1326629.72,20414524,48136434,17756438,673790
1048576,1689843.11,22829788,48101945,17741132,658191
1048576,1493242.92,22062989,48110807,17742475,659602
2097152,1032671.21,25248975,52746296,19152620,681125
2097152,925696.20,26676079,52749396,19151586,691130
2097152,1061882.30,26847272,52759697,19156815,686047
2097152,1006412.09,26966081,52766128,19159725,692228
2097152,1038170.18,26937037,52717945,19138620,657598
2097152,1104172.62,24616143,52731117,19143947,654237
4194304,802043.66,36159784,61945824,21938650,702329
4194304,793143.07,43169413,62052174,21968202,702294
4194304,709629.83,45105337,62126931,21989073,709217
4194304,785693.05,38227076,61956042,21938992,708804
4194304,785040.50,38304850,61928123,21937802,699026
4194304,784023.37,39176429,61977465,21950646,715875
8388608,668730.59,48301738,80358126,27502550,717012
8388608,657587.51,47470885,80257615,27479562,735770
8388608,661974.77,48512269,80518384,27549249,714902
8388608,661748.52,48256608,80271663,27477595,716868
8388608,653957.09,48494343,80398942,27524680,719630
8388608,658827.80,48475675,80244924,27469773,733871
16777216,512376.83,61367665,117351304,38710336,774926
16777216,544997.20,61159424,116921079,38579078,778135
16777216,536148.04,61399389,117265407,38685876,786829
16777216,615563.56,60290297,117240187,38659344,757254
16777216,532696.54,60982411,117128120,38638035,755691
16777216,547802.76,61700218,116899181,38560943,791911
