BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,487248.96,68367777,170789870,56348618,100841
1024,480472.31,68101668,170801965,56173144,94283
1024,499065.31,68229173,170776474,56234668,100554
1024,493225.95,68274585,170795465,56262545,88556
1024,495765.91,67962803,170782075,56189490,93640
1024,492978.38,68147835,170745892,56139298,92643
2048,811269.05,35728644,90160481,29319617,50251
2048,832024.65,35575956,90155835,29260909,49685
2048,840942.92,35707162,90146880,29460148,53783
2048,816396.23,35691171,90146789,29389708,51464
2048,810664.70,35611816,90156713,29269126,46293
2048,910663.38,35869261,90639997,29426342,44858
4096,1668290.12,19548251,49915939,15891236,29492
4096,1304181.57,19451947,49602356,15800416,26587
4096,1306757.00,19433746,49634240,15869278,34145
4096,1301084.31,19532981,49625972,15807079,26491
4096,1273840.89,19374047,49617403,15770462,25881
4096,1294900.93,19417193,49619073,15761164,31380
8192,1526312.08,17847089,46143802,14369442,36844
8192,1391834.00,17607247,46157216,14351773,33412
8192,1474879.53,17715822,46175887,14375722,38074
8192,1452856.74,17995937,46191212,14397045,35996
8192,1440663.43,17786910,46170055,14327463,33778
8192,1493704.30,17663895,46151078,14417858,32758
16384,1468053.90,17259771,44464604,13768184,19190
16384,1485071.82,16980824,44481561,13737456,25090
16384,1460987.39,17254046,44474875,13763262,21179
16384,1537067.47,16950979,44457408,13772096,20376
16384,1501456.00,17304877,44759511,13875333,29603
16384,1616957.25,17081232,44451653,13760318,23731
32768,2089312.17,17422291,43591825,13414849,14325
32768,1648879.39,17198353,43600939,13351238,13839
32768,1419272.13,17218467,43601764,13350965,13701
32768,1609348.21,17208776,43587266,13321791,15400
32768,1408718.80,17287420,43654196,13370296,19291
32768,1515127.61,17288136,43629014,13322268,15031
65536,1396132.11,17685382,43642981,13248418,12203
65536,1535104.41,17729280,43658864,13298903,13896
65536,1417666.58,17772714,43679835,13284132,13916
65536,1516693.67,17732931,43659158,13335192,12412
65536,1387214.00,17665895,43630598,13262990,10674
65536,1385113.89,17690796,43630315,13235099,10776
131072,1463263.47,17812171,43737451,13289619,11844
131072,1494933.37,17822753,43722466,13308048,10112
131072,1411667.71,17804969,43731726,13346307,11685
131072,1463173.90,17926723,43750986,13285002,13556
131072,1459560.60,17800044,43764832,13337715,13672
131072,1447991.75,17918021,43748419,13334368,15150
262144,1370924.84,18442251,44729254,13648127,17889
262144,1348255.39,18356450,44717280,13675440,18582
262144,1419982.97,18362538,44700198,13683593,16744
262144,1420630.39,18356846,44712294,13625692,17885
262144,1371709.13,18390912,44722176,13635803,17774
262144,1373355.12,18360849,44719363,13631785,18166
524288,1264989.22,19327052,45846445,14041092,20836
524288,1345561.00,19184993,45834813,13979868,19096
524288,1297832.04,18884273,45828810,14008192,19748
524288,1364432.16,18921245,45847545,13977388,20071
524288,1366898.50,19213927,45865623,13983531,25070
524288,1306880.58,19336488,45845533,14038079,20652
1048576,1160283.58,21694049,48164089,14727575,30358
1048576,1247025.55,21530011,48150836,14744368,28688
1048576,1261205.96,21236399,48155650,14783899,31133
1048576,1293452.84,20286012,48142770,14763331,32469
1048576,1208883.64,20228801,48142569,14769078,27804
1048576,1203529.20,21888046,48182014,14806201,31507
2097152,1031710.33,26785122,52760998,16222599,48969
2097152,1053319.80,25855055,52747883,16213045,48347
2097152,1236222.46,30948488,52712706,16253902,48735
2097152,1174873.37,25367550,52734550,16221646,45617
2097152,1015054.76,28646918,52778020,16216412,50927
2097152,1043853.74,29268405,52767039,16228492,47311
4194304,787465.17,38546729,61971336,19202567,84354
4194304,806857.32,38838804,61942101,19214785,83375
4194304,805650.06,38449510,61948996,19175621,83838
4194304,767720.09,37255508,61931337,19167716,74507
4194304,785184.72,37668548,61968175,19132311,79603
4194304,748427.80,39791891,61959031,19231939,82581
8388608,665199.53,48926795,80385949,25179769,145256
8388608,603515.34,49211288,80367589,25158827,140147
8388608,655569.77,47316165,80390642,25157053,156060
8388608,656397.57,47115693,80304967,25165406,140615
8388608,646320.59,48634119,80379523,25210461,150533
8388608,639245.79,47377374,80226837,25141083,142095
16777216,610683.69,61204850,117746996,37148318,271590
16777216,576132.76,62227514,117161226,37040714,258911
16777216,554013.34,61321146,117273671,37083727,270477
16777216,558014.22,58401179,117010832,37045299,278403
16777216,506932.44,62045596,117276719,37123230,275919
16777216,516523.10,61945964,116937433,36980929,288846
