BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,79852.72,480774552,1105246112,347944643,321980
1024,79557.79,480532282,1105581319,347907952,244485
1024,81441.81,481775302,1105225585,347856202,346775
1024,79686.81,481665186,1105265451,347859585,702008
1024,79750.89,480714972,1105275710,347832891,506103
1024,79778.57,480839020,1104837641,348171724,385895
2048,155000.60,242764354,557378281,177177580,431491
2048,154945.58,242553291,557402297,177093781,332985
2048,154709.94,243416427,557374135,177182268,981772
2048,154428.74,242418714,557431339,177148944,147796
2048,154883.32,242049490,557310381,177052043,192756
2048,156397.59,241063517,557371123,177082417,129566
4096,281076.95,127726813,296647046,95633540,177201
4096,282296.54,128147363,296566768,95648011,138471
4096,285037.13,127420107,296501065,95582453,169367
4096,282766.31,127415441,296587927,95580879,117817
4096,282862.84,128239963,296503180,95635956,288346
4096,278722.61,128080709,296950571,95696075,234007
8192,528361.31,65957735,153099057,50993657,192982
8192,519625.34,65595690,153042634,50934052,213328
8192,524712.34,65749307,153061859,50978037,175915
8192,507005.72,65784278,153097762,50974852,171201
8192,494114.62,65631506,153125669,50981209,181860
8192,508075.70,65719463,152975085,50954425,116461
16384,842202.38,34877997,81217442,28658485,195038
16384,871759.63,34959201,81302003,28663398,271156
16384,847059.68,34847385,81211188,28639550,191974
16384,857339.65,34949297,81273855,28651744,197676
16384,858513.48,34927561,81278736,28665874,158759
16384,847998.95,34933302,81301868,28663300,158511
32768,1350759.58,19671547,45343810,17498974,254200
32768,1378489.25,19564501,45346610,17478105,234578
32768,1340286.88,19697145,45380280,17488675,254213
32768,1556235.12,19943596,45794694,17606314,237776
32768,1325819.78,19670271,45357723,17485465,238824
32768,1306067.90,19630113,45349725,17487364,256422
65536,1557840.74,16750218,37560351,15076474,271751
65536,1508616.18,16730128,37514989,15065308,288524
65536,1609000.69,16626962,37371770,15012346,289705
65536,1540113.58,16671176,37385357,15024135,294512
65536,1557459.40,16656117,37345644,15009507,279548
65536,1592925.61,16471058,37140933,14925629,263520
131072,1732665.85,14083475,29565453,12570912,312932
131072,1776559.06,13918523,29472549,12552467,302040
131072,1798677.27,14014937,29462303,12547792,305334
131072,1756584.61,14206930,29571969,12586462,311098
131072,1619660.25,16250589,29544997,12587295,335108
131072,1894153.56,13924941,29340418,12504012,302143
262144,2362377.53,16569795,27415907,11875928,326760
262144,2270989.93,14429126,27454716,11889904,318089
262144,1779882.69,13751959,27460507,11892957,311359
262144,1871709.27,13910812,27435172,11880053,308622
262144,2214167.47,13999074,27428805,11878705,311171
262144,1996560.31,13855274,27430105,11883875,308703
524288,1119422.66,24204398,27014300,11746602,375033
524288,1170566.55,22741196,27007876,11736481,365556
524288,1191360.21,21898423,27177152,11789739,365246
524288,1139086.70,23395804,27082263,11765932,372495
524288,1371943.40,18963243,26994013,11735552,350072
524288,1123050.20,24673283,27221495,11810855,372996
1048576,997483.30,27535651,28461213,12159476,405106
1048576,989148.27,26851025,28432787,12156416,394949
1048576,898047.47,29272209,28441011,12154396,394913
1048576,900642.92,31316529,28472426,12167211,398132
1048576,983475.75,27696083,28502929,12172948,403450
1048576,980276.55,29067307,28523522,12181149,402440
2097152,840820.33,34783632,31644211,13086266,439377
2097152,811319.49,40729956,32095644,13227909,444249
2097152,796435.98,37357486,31635290,13082844,443209
2097152,849225.05,34851851,32015278,13217085,430898
2097152,783887.47,36904389,32015429,13210772,433808
2097152,816312.36,30137828,31684099,13091836,435491
4194304,698888.09,44429121,41231592,15956597,510886
4194304,695113.58,44442832,41362222,15994029,509773
4194304,689427.33,44519492,41195984,15953457,510125
4194304,673031.86,45603275,41082052,15920987,506316
4194304,651048.41,48721349,41287327,15982280,508728
4194304,673719.64,43333118,41570652,16061703,505663
8388608,558433.66,58640156,59890812,21527928,641792
8388608,589649.87,54064062,59643219,21461150,629973
8388608,634652.85,54186164,59800583,21499032,639474
8388608,625871.71,51938206,59632117,21451920,633004
8388608,597219.46,53979658,59867033,21525895,635396
8388608,605626.57,52356109,59742255,21494188,631521
16777216,488647.08,68371181,97322469,32706348,898611
16777216,497345.48,66033550,96916353,32583684,901888
16777216,507058.63,66221951,96862556,32556430,895183
16777216,510427.74,66799150,97202592,32669717,898758
16777216,492874.80,67474538,96842367,32560582,903835
16777216,488097.34,68051196,96928658,32577158,901578
