BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,330725.27,106234039,249427385,76025219,565044
1024,330188.58,106548478,249521996,76050042,565782
1024,329646.17,106148191,249297087,75968477,570690
1024,330008.16,106447765,248809599,75778318,549467
1024,332440.83,105875889,248807936,75803656,575594
1024,326277.53,105690088,248566413,75710150,567251
2048,540485.67,60875335,146179552,45230013,320770
2048,562097.04,60602575,144000861,44583500,321336
2048,566504.92,62129585,145739499,45090255,314235
2048,544111.84,60732093,146155391,45203751,311350
2048,552219.16,60211266,144008789,44597794,327056
2048,545088.09,59415477,140688996,43536716,330129
4096,777807.59,37043225,77970779,25083302,269981
4096,775191.27,43795218,78404557,25238026,261654
4096,778866.23,36625895,78082453,25107736,225060
4096,793197.07,37242991,77925633,25084203,240702
4096,817925.45,35700483,77032576,24809985,205821
4096,839745.01,35842919,76448225,24632294,219952
8192,1356691.70,19601543,44519962,15047118,192699
8192,1328337.43,19614924,44698333,15110852,184949
8192,1250947.59,19444594,44438710,15021010,180369
8192,1249631.32,19435993,44417535,15028195,167764
8192,1426007.90,19330773,44191169,14954221,171870
8192,1380362.84,19544411,44352572,14999349,182983
16384,2054876.49,11566659,25038617,9229564,129055
16384,2542576.51,11429232,24735501,9143941,134734
16384,2099504.26,11774004,25160659,9272923,139786
16384,2124755.23,11258240,24774678,9159051,131592
16384,2041420.49,11538574,25091720,9264050,143838
16384,2073596.83,11394849,24959147,9218689,136616
32768,3006410.09,7841160,15907524,6520632,129451
32768,2908907.13,7619378,15688836,6442551,130600
32768,2861156.35,7665236,15848310,6490057,132124
32768,2866979.01,7678267,15786927,6482471,128810
32768,2831932.35,7793978,15906629,6508203,142015
32768,2845778.31,7683152,15722968,6457551,123221
65536,2698655.76,9176289,17677806,7005188,221427
65536,2527403.59,9144226,17821567,7050344,221933
65536,2627721.38,9203870,17755001,7031211,219026
65536,2585328.16,9050143,17620761,6984763,216910
65536,2681658.42,9205778,17654913,6998756,220173
65536,3655055.13,10272705,17490400,6940570,218828
131072,3407191.72,9053191,15943895,6506743,198840
131072,2694661.01,8731920,16252533,6600594,203161
131072,2621764.61,8916233,16392877,6654022,203332
131072,2976612.22,8588427,16132876,6563702,200086
131072,2564762.75,8932930,16553475,6698336,206529
131072,2600694.32,8621969,16196831,6582458,202077
262144,2581510.88,9276232,16603787,6699822,200583
262144,2500354.40,8922894,16463569,6656806,200047
262144,2618304.26,8532280,16180117,6564422,195242
262144,2599823.21,8760900,16324170,6610670,196482
262144,2632342.14,8497532,16229778,6583401,194850
262144,2564353.75,8701242,16316132,6605433,196755
524288,2462201.68,9135353,16553943,6685997,202618
524288,2660698.31,9088712,16336312,6620833,197428
524288,2699182.85,9723697,16340351,6625190,202534
524288,2477938.46,9299990,16332814,6608230,197871
524288,2451694.08,9331847,16602869,6693511,199076
524288,2573746.23,9482234,16435944,6645498,199623
1048576,1822731.12,13101172,17568250,6974749,201010
1048576,2278255.57,10503952,17266257,6888928,202013
1048576,2425228.57,10384395,17223617,6872019,201866
1048576,2447360.61,10153500,17476756,6948549,205618
1048576,2391506.82,10378680,17150750,6845000,201583
1048576,1253901.73,22404498,16929240,6775666,212572
2097152,1535034.49,16064119,20092684,7722095,220953
2097152,1113300.62,25747142,20268970,7776957,230255
2097152,1475754.62,16944298,20278536,7774134,224060
2097152,1445379.46,16630518,19909305,7664370,219430
2097152,1472174.47,16354589,19921583,7669419,218503
2097152,1582504.45,15181229,20059719,7707302,218357
4194304,1044563.17,27597274,26104315,9513580,264907
4194304,1148738.67,21501213,26049636,9493115,258076
4194304,1054189.07,26642977,26104808,9513025,263073
4194304,1159446.84,23357844,26198985,9540456,260235
4194304,1147435.12,23941182,26151247,9527563,260129
4194304,1031378.02,25914318,26300334,9579690,263521
8388608,798544.72,37420765,38602730,13247081,342398
8388608,863665.69,43197650,38650802,13255408,340880
8388608,814967.09,35766249,38449844,13201613,334939
8388608,818201.94,36480450,38690740,13270402,339181
8388608,782378.58,38140382,38906350,13339099,342977
8388608,825313.11,35875971,38873778,13325092,342065
16777216,607196.87,52480850,63502699,20671124,456021
16777216,606660.62,51740632,63576643,20691561,494679
16777216,587113.24,53247758,63311729,20614450,472791
16777216,611239.14,52299601,63377631,20635725,474421
16777216,595670.06,53650922,63504286,20665865,493533
16777216,596475.30,52476652,63532154,20687807,481325
