BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,323174.59,105911894,248610819,80475840,285143
1024,333431.17,106050038,248942669,80572350,289523
1024,356938.11,106043769,249265871,80687362,277213
1024,327913.56,106160561,248764104,80540997,295955
1024,325831.81,105989511,248386246,80409078,292934
1024,327630.52,105986851,249252101,80710293,310467
2048,538881.85,59874909,142475157,46257782,113589
2048,538844.78,60438650,144308422,46912957,124152
2048,547515.11,61011366,145930835,47425981,146018
2048,537214.70,60537738,144715679,47056575,125605
2048,552662.79,60545269,145800342,47390208,130437
2048,547556.11,59980618,140768046,45654368,114225
4096,796006.42,37905466,77614576,24870633,122328
4096,788105.31,36912515,77796953,24931861,116462
4096,802115.41,37453200,78182928,25085895,124825
4096,807023.36,36251280,77210268,24738026,127344
4096,820855.89,35903185,76603394,24545155,119566
4096,776669.18,37621626,78059051,25025297,124614
8192,1376123.13,19444829,44325155,14051795,88679
8192,1328511.87,19382871,45003393,14240358,92215
8192,1316529.90,19183603,44135942,13975132,82454
8192,1253960.72,19580688,44547677,14116754,86954
8192,1421084.25,19485890,44508433,14105160,87164
8192,1305503.42,19508162,44434625,14080994,83665
16384,2023224.29,11624063,25257008,7871654,58629
16384,2185266.73,11550181,25107398,7797291,56574
16384,2800399.40,12738653,24976278,7768696,65481
16384,2161091.51,11413214,24875118,7697847,55620
16384,2405932.39,11809705,25062904,7789905,56255
16384,2207545.62,11337588,24769442,7708175,54229
32768,2212282.15,10811629,15645902,4740331,46539
32768,2884788.51,7583470,15735664,4736906,51758
32768,2805131.76,7888672,15858127,4851512,49481
32768,3512362.23,7888899,16040363,4874457,51537
32768,2806920.93,7822233,15782542,4814366,51782
32768,2867129.00,7636178,15800384,4787607,52123
65536,2596673.06,9265183,17762599,5488610,29472
65536,2626552.65,9295597,17714854,5501272,31325
65536,2579705.38,9266132,17731726,5456754,29462
65536,2557823.92,9114816,17664237,5427646,29440
65536,2578089.41,9198257,17836853,5455673,30358
65536,2658836.45,9129515,17717115,5431491,30190
131072,2739731.11,8644511,16329816,4982860,36788
131072,2664441.58,8461747,16198975,4963404,34902
131072,2605198.63,8697956,16310837,5032487,34479
131072,2708870.22,8617525,16278296,4991758,38654
131072,2667357.36,8650440,16186721,4938675,38969
131072,2635534.87,8901025,16379951,5004237,35099
262144,2548738.17,8838250,16472848,5036515,43869
262144,2743878.03,8814886,16428820,5065799,42631
262144,2619499.02,8469002,16299736,4966690,39724
262144,3196738.83,9953565,16060515,4879253,30699
262144,2753107.26,9015449,16371597,4993839,34635
262144,3874659.88,8969292,15966915,4848455,30029
524288,3025617.39,10314478,16522880,5027491,33445
524288,2502279.51,9359428,16400145,4968166,34790
524288,2929696.04,11724311,15631622,4758481,18200
524288,2447368.27,9340242,16518513,5070243,34671
524288,2434418.94,9406890,16563389,5035808,35613
524288,2546178.64,8974622,16328922,4939207,33448
1048576,2297036.96,10231337,17370854,5276136,30906
1048576,2530441.32,13144446,16975642,5164846,22052
1048576,2328081.01,10562809,17548677,5368195,33268
1048576,2192811.57,10913531,17517438,5338160,30545
1048576,2284038.15,10150546,17420544,5326354,32675
1048576,2304858.01,10085678,17451463,5346793,33755
2097152,1598147.26,15159430,20166991,6219062,29428
2097152,1529965.11,16256391,20299815,6195113,33224
2097152,1623917.08,15099943,19942462,6121274,29992
2097152,1706604.17,15157453,20064693,6111893,27374
2097152,1669684.92,14429804,19913433,6111095,28631
2097152,1706202.62,14163370,19801871,6127530,28424
4194304,1135042.36,22350082,26106917,8059214,45025
4194304,1160580.43,22026843,26027727,8016751,48103
4194304,1172662.07,23389425,26090407,8073275,50152
4194304,1132328.71,26578977,26874430,8259427,55630
4194304,1114164.77,23573112,26073216,8019006,49924
4194304,1236905.20,25470229,26455002,8141830,49625
8388608,794663.94,37213136,38661079,11992201,83922
8388608,820486.21,34013655,38927779,12120361,88213
8388608,841667.84,35187145,38904777,12139211,90095
8388608,851100.42,34875738,38932509,12157154,89796
8388608,854919.73,34055625,38596569,12002002,85133
8388608,854866.89,35412273,38552368,11971737,87687
16777216,629848.31,51455769,63496647,19841819,150897
16777216,607042.15,53844180,63343608,19797018,153919
16777216,595145.40,54529675,63481067,19822204,156893
16777216,604525.69,51960701,63785192,19943283,159482
16777216,619452.38,52291624,63562898,19875497,158153
16777216,601892.37,52981048,63495068,19824406,157305
