BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,330855.62,105824788,248884557,75817856,556989
1024,330255.90,105773395,248354308,75679867,565848
1024,325185.12,105572538,248590113,75728097,561554
1024,362133.68,105901707,248371234,75759645,560804
1024,333793.50,105918993,248429793,75693996,589075
1024,332218.49,105845720,248660052,75766211,554756
2048,599547.89,61798486,145037939,44892116,322004
2048,548862.44,60524480,145022165,44911722,316688
2048,536511.26,60852771,146093179,45230725,326408
2048,541937.02,59789279,142135252,43983928,323387
2048,552298.32,59809238,143531442,44400913,307263
2048,595248.30,60637405,141806967,43909011,310944
4096,684005.17,37071124,77660000,24990520,232448
4096,820135.61,37794556,77703509,25013568,256681
4096,830225.89,36837018,77496404,24935522,218497
4096,815012.62,37596833,77923451,25065268,232762
4096,798995.82,38620791,78093322,25109059,242528
4096,764741.26,38725319,77929415,25077662,238423
8192,1379206.30,19648262,44465565,15042441,182805
8192,1352226.54,19233970,44299856,14990726,167586
8192,1376228.63,19271287,44284639,14984755,166454
8192,1294762.93,19511075,44492692,15052424,167897
8192,1591761.48,19566241,44260362,14976325,165412
8192,1338394.16,19663292,44280557,14985582,168143
16384,2217794.95,11343507,24852004,9175673,130269
16384,2199276.72,11900906,25240004,9302373,149417
16384,2072626.95,11562859,25067924,9248408,133312
16384,2049694.07,11500274,25054873,9239285,132882
16384,2032016.87,11621108,25087623,9254943,145909
16384,2107527.96,11253107,24864913,9183318,134016
32768,2919978.55,7617281,15666811,6443131,124405
32768,2897619.84,7538695,15703767,6456630,126248
32768,2919448.91,7651221,15819213,6489909,131604
32768,2816312.71,7833728,15937906,6518703,134413
32768,2893280.10,7591614,15643820,6432789,128241
32768,2838148.83,7787821,15785450,6480456,125713
65536,2468440.93,9443532,17860040,7077597,220243
65536,2509078.20,9429122,17888882,7077810,222911
65536,2582401.97,9022997,17633519,6997015,224106
65536,2536325.00,9194510,17708564,7021052,223469
65536,2532905.11,9491293,17963360,7089176,221042
65536,2698411.12,9193104,17665933,7008270,224564
131072,2633543.44,8863336,16232851,6597651,204900
131072,2606273.92,8644884,16203302,6588391,199983
131072,2646003.34,8611322,16256128,6605687,202818
131072,2595340.89,8667476,16274978,6604887,202301
131072,2599802.66,8839119,16402869,6644667,205572
131072,2750429.33,8721266,16198924,6581961,200900
262144,2646074.38,8718762,16368286,6621086,196681
262144,2571794.97,8637519,16428931,6646524,196564
262144,2762616.32,8613709,16275081,6593156,195695
262144,2708936.96,8528562,16374325,6631903,199295
262144,2605253.23,8542172,16274515,6600614,192255
262144,2464940.41,9315769,16909103,6804083,207684
524288,2643647.01,9165653,16250950,6591901,196631
524288,3563045.11,10243892,16216092,6579225,201708
524288,3455190.97,9860566,16086294,6539600,200906
524288,2679833.45,9667808,16350840,6624154,199360
524288,2587288.22,9186191,16328980,6610290,198655
524288,2610488.06,9040247,16470942,6656673,197962
1048576,2228083.17,10486835,17442430,6935630,205657
1048576,2331425.18,10015848,17360973,6913003,203400
1048576,2211569.35,10606415,17644190,6996753,207788
1048576,2174883.81,10699886,17597767,6985229,208960
1048576,2360240.67,10297119,17486180,6957804,205750
1048576,2221509.65,10645507,17268559,6885294,202699
2097152,1704822.16,14216006,19801466,7628463,213215
2097152,1618744.74,15636869,20076997,7719403,220589
2097152,1619962.87,15845875,19954629,7680731,216551
2097152,1642207.85,15188723,19939803,7673193,217550
2097152,1576561.08,16041228,20081391,7712297,218733
2097152,1736424.90,14889512,19901126,7663855,217052
4194304,1161345.43,23168391,26031232,9491283,261649
4194304,1056708.02,26657442,26302027,9574896,269743
4194304,1151219.29,22038725,25979332,9472108,257900
4194304,1088993.25,24185330,26084229,9503025,261783
4194304,1149267.81,23634616,26171211,9538591,261880
4194304,1301823.55,28198352,26076423,9509450,262001
8388608,775745.51,37731872,38475949,13205391,328888
8388608,772227.99,39468407,38763946,13289733,342643
8388608,820414.89,35684503,39016928,13367521,343576
8388608,781007.50,38404069,38929797,13347063,338224
8388608,841505.51,35543934,38754925,13289407,336540
8388608,836769.23,35180037,38642287,13260258,334835
16777216,623632.93,50707810,63330671,20624223,487283
16777216,613886.46,52812143,63535219,20681874,489419
16777216,623227.48,50675199,63468795,20662346,476199
16777216,606875.76,52807478,63521469,20677646,489824
16777216,599667.94,54574421,63476536,20661913,489285
16777216,585700.04,54983729,63591737,20699735,487651
