BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,345339.59,105876581,248532562,640050,2793
1024,339939.69,106017219,248305725,646201,2804
1024,330483.84,106181234,249136984,647136,3095
1024,357505.72,106341389,248629474,644415,3024
1024,347165.70,105905016,248417686,636478,2229
1024,326842.03,106437316,249535052,645914,2945
2048,549524.94,60441719,143020590,488369,3171
2048,596969.50,60354798,143933645,481503,4795
2048,560456.25,60617466,145159384,512810,8451
2048,544900.04,60528944,144696612,507367,3919
2048,563091.94,59229084,140743215,474820,3198
2048,539388.46,60696930,143788690,492295,2935
4096,797843.87,36346900,77570382,573367,64560
4096,792879.54,37166255,77306713,699313,126629
4096,821330.33,35863772,77617133,501114,35073
4096,822898.66,36329283,77849775,524108,41409
4096,784690.54,37852201,78101669,691837,111792
4096,829240.18,36536219,77803068,564369,67136
8192,1874790.64,20142290,44217015,448947,16083
8192,1307410.20,19454684,44221544,464860,12320
8192,1298539.13,19506919,44385548,467505,15719
8192,1601883.53,20194400,44602482,478893,16124
8192,1357415.48,19319618,44389123,461232,8361
8192,1241715.97,19569703,44387416,480274,11112
16384,2188294.59,11536926,24944500,411764,13539
16384,2050901.51,11549191,25072573,399914,11427
16384,2183644.39,11332869,24853938,392370,8713
16384,2103424.96,11850799,25281430,422339,18333
16384,2193638.97,11243830,24917006,393019,7237
16384,2181087.49,11349914,24905673,402738,10982
32768,2829788.39,7789803,15790276,485760,9718
32768,2842562.77,7729091,15844459,475339,11673
32768,2872240.77,7635173,15820739,439121,10427
32768,2886484.45,7802941,15792996,473723,11357
32768,2880366.59,7643150,15732797,454194,7924
32768,2980666.54,7581564,15659458,462329,8174
65536,2742832.48,9065023,17660746,524010,25636
65536,2573553.45,9116430,17644657,536085,31437
65536,2479454.52,9421518,17637231,534076,31720
65536,2586978.52,9348166,17755007,545765,32839
65536,2562254.36,9330329,17778945,548246,32706
65536,2556509.21,9097720,17704602,533521,29724
131072,2643134.43,8501247,16259129,543083,18688
131072,3761953.74,9231366,15542381,558032,35121
131072,2831092.65,8517565,16060209,555506,25216
131072,2589492.32,8745835,16238838,587077,26276
131072,2591676.69,8893693,16396592,592522,32947
131072,2643900.10,8896706,16304123,583420,26517
262144,2546348.35,8802587,16367356,597194,18803
262144,2588288.02,8867401,16426018,586623,18615
262144,2609903.46,8578448,16190275,567953,15845
262144,2635269.57,8712059,16307931,580036,14919
262144,2507024.18,8837330,16482807,593065,17814
262144,2541929.18,8748655,16388924,580789,17809
524288,2611898.84,9517112,16395776,668840,23839
524288,2468083.54,9402716,16374095,669581,29548
524288,1663751.23,14423675,15654940,747306,57881
524288,2591350.48,9163840,16275734,663352,24787
524288,2488989.96,9106596,16401279,650734,24192
524288,2570675.07,9200840,16219485,649028,23155
1048576,2259303.30,10695862,17135945,706323,45987
1048576,2221459.58,10673684,17114612,698806,49073
1048576,2171579.78,10942458,17401616,711668,49511
1048576,2500024.84,11355880,17232597,713509,48623
1048576,1427231.32,24647631,17519702,740498,99878
1048576,2003860.06,12223399,17767689,733360,57501
2097152,1665103.93,15734513,20010449,756225,97289
2097152,1698978.60,14804940,19834448,736744,90883
2097152,1647430.87,15659841,19950751,743957,99441
2097152,1611462.33,15034211,19996570,746832,84398
2097152,1690189.25,15614705,20142999,761964,100457
2097152,1606435.50,15257189,19879536,745113,92603
4194304,1072206.22,25205486,26939633,810521,162059
4194304,1162581.76,23516074,26230649,808812,146935
4194304,1050057.34,30178821,26747962,804460,168418
4194304,1163517.45,22240212,25993624,808761,143902
4194304,1120581.86,24554580,26206483,810604,144132
4194304,1089634.50,24359006,26200072,803341,144121
8388608,796057.21,37148630,38807781,914691,205758
8388608,801636.30,38526191,38521435,895774,202304
8388608,821921.05,35769994,38621029,890335,198772
8388608,793942.01,38782014,38628901,901071,203336
8388608,815374.81,36203241,38582077,900308,203630
8388608,815293.79,35424806,38551745,900181,205367
16777216,604551.91,52825358,63417587,1048402,303574
16777216,616959.34,52785864,63327312,1004064,315912
16777216,590167.30,53656278,63522973,1038351,309106
16777216,643998.75,57937571,63512301,1041951,308035
16777216,597776.71,53197406,63252377,1048590,304144
16777216,601515.67,52380638,63158019,1041438,303369
