BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,326129.46,106207652,249171369,44122590,32344476
1024,327161.04,105964111,248822778,44052170,32315443
1024,342238.19,106079504,248370167,43961947,32234530
1024,326786.30,105923424,249096243,44111091,32353949
1024,331979.38,105818821,248392999,43969542,32230226
1024,332292.48,105983131,248948297,44095991,32341244
2048,564337.27,59225749,139874654,24812350,18813017
2048,528928.08,60933135,146178875,25910861,19622311
2048,538755.93,60488840,146831567,26013452,19710283
2048,543876.48,61421569,146828591,26048932,19707196
2048,583137.99,60633847,145674178,25837455,19565269
2048,533926.11,60653247,146258038,25925311,19629700
4096,770244.85,38389186,77615605,14063948,11158447
4096,808924.73,37391688,77501366,14038936,11145415
4096,835560.24,36501609,77016932,13916142,11085102
4096,814466.63,36023660,78518951,14170396,11267441
4096,793911.98,37893937,77933579,14121981,11207950
4096,760984.39,37127749,77921657,14134243,11194054
8192,1257669.28,19636734,44812064,8188977,7128274
8192,1400196.25,19341656,44556709,8146318,7089211
8192,1366915.92,19348543,44512433,8139806,7076491
8192,1352568.07,19542013,44359757,8127333,7071471
8192,1495262.59,19541377,44316145,8106719,7060915
8192,1381742.13,19249022,44172344,8079839,7041023
16384,2065823.11,12091486,25459490,4783463,4720506
16384,2120856.18,11251175,24774914,4657144,4630331
16384,2140575.90,11438079,25022996,4704673,4657402
16384,2636384.64,12626749,24806202,4661757,4631595
16384,2261948.69,11284229,24731915,4652775,4621530
16384,2133313.86,11831473,25241179,4739879,4691634
32768,2893971.66,7434881,15669187,3069660,3504095
32768,2902392.50,7439345,15703923,3074748,3506651
32768,2986401.69,7814720,15754905,3081727,3510864
32768,2864856.10,7582995,15719667,3075043,3501155
32768,2851606.21,7692178,15796252,3087042,3516620
32768,2872828.48,7460405,15721169,3073753,3506677
65536,2594085.83,9130984,17407060,3375193,3757871
65536,2642518.45,9337146,17796615,3454639,3806013
65536,3770563.48,9828340,17560503,3404941,3777851
65536,2621511.25,9383730,17796835,3451453,3807710
65536,2516422.63,9190291,17632405,3421284,3787596
65536,2524385.28,9185115,17641882,3427022,3787771
131072,2541732.15,8831943,16288227,3189828,3621912
131072,2626063.14,8724283,16304505,3189955,3623246
131072,2598749.02,8632276,16331209,3196118,3623877
131072,2600490.95,8585856,16257411,3183205,3613975
131072,2619640.22,8515183,16210927,3172850,3610459
131072,2621572.98,8534009,16145909,3166632,3601170
262144,2566744.92,8576832,16244570,3167870,3605992
262144,2607034.98,8770964,16480810,3218692,3636521
262144,2667544.62,8671621,16168938,3153899,3599588
262144,2539995.60,8940769,16376044,3193873,3623800
262144,2538989.87,8746747,16367631,3190808,3622855
262144,2497949.78,8886307,16534325,3232391,3647995
524288,2483505.38,9194866,16441562,3204498,3639222
524288,2478329.43,9368976,16550432,3234781,3656152
524288,2475126.39,9106908,16375723,3190882,3631175
524288,2474122.48,9100328,16567193,3224908,3654340
524288,2466672.66,9081765,16567853,3225139,3652645
524288,2442181.50,9276142,16474202,3208677,3641250
1048576,2345710.82,10249308,17435064,3374090,3769892
1048576,2397997.23,10344723,17274757,3341916,3748216
1048576,2350440.55,10201852,17380446,3357085,3762626
1048576,2171174.82,11245959,17574472,3393911,3787741
1048576,2723807.71,12827955,17115293,3311079,3726221
1048576,2200902.41,10779607,17545136,3399757,3781872
2097152,1667888.37,15255177,19990462,3801523,4102274
2097152,1692057.79,14243199,19877308,3775179,4091705
2097152,1634067.50,15743606,20153882,3829748,4129233
2097152,1609993.32,21577817,20365983,3872228,4150011
2097152,1574415.31,16120076,20173058,3837060,4130022
2097152,1674039.14,15409843,19984871,3796816,4101200
4194304,1076212.96,25180720,26305715,4905951,4928465
4194304,1172039.64,31996182,26533566,4949341,4961277
4194304,1175232.83,22970376,26003473,4852612,4887649
4194304,1160008.77,22773908,26137110,4873466,4903928
4194304,1161842.90,22875290,26037110,4853242,4893610
4194304,1177311.22,23063713,26490028,4936175,4952732
8388608,822788.67,35460580,38495893,7024199,6526149
8388608,832594.36,36122129,38604550,7035236,6529003
8388608,796534.64,35595203,38971223,7104709,6585895
8388608,808373.49,36691065,38650315,7053926,6549638
8388608,806985.01,35874299,38639226,7049100,6545899
8388608,824431.66,35985017,38696592,7060390,6552100
16777216,615943.18,52139265,63465069,11345858,9796292
16777216,594381.21,53437615,63466970,11345105,9795167
16777216,598780.85,53621603,63265391,11314374,9776247
16777216,602653.99,55386105,63198021,11311654,9760277
16777216,610512.53,52650130,63436820,11334428,9787762
16777216,598577.52,52992994,63841902,11410271,9845274
