BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,959063.91,34333119,73410204,23767413,186418
1024,874856.03,34954431,73404800,23757911,202205
1024,857504.05,34826533,73255610,23705840,200185
1024,853659.17,34326617,73251431,23707260,196020
1024,801326.66,37730388,73760325,23838142,274924
1024,823729.70,34308178,73114379,23637773,189459
2048,1346693.11,18977514,39128376,13498118,164866
2048,1281445.87,18989640,39180569,13504137,168620
2048,1279979.26,19023118,39313914,13532704,157134
2048,1334465.15,19616179,39243919,13541697,183956
2048,1381300.79,19000401,39133573,13503577,166156
2048,1394817.62,19140721,39218356,13541096,162021
4096,2114731.89,11477225,22390971,8462030,113209
4096,2198763.11,11478918,22181896,8399083,172852
4096,2151339.36,11417704,22206104,8389827,159866
4096,2190493.75,11503386,22275303,8444669,148478
4096,2120840.59,11419474,22304025,8436722,124296
4096,2931888.57,12050916,22709697,8614616,146414
8192,1462114.10,17804881,32219652,12116917,235938
8192,1428746.30,18541987,32647291,12209366,252871
8192,1394371.20,17399300,32597038,12188299,232810
8192,1491587.91,17143165,31057230,11724257,223215
8192,1368092.25,25483890,40114474,14928386,224657
8192,1422534.78,18201999,34234028,12851007,248461
16384,1273620.67,21155782,37675957,14223354,279413
16384,1175129.29,20670384,37971743,14278477,275072
16384,1316097.03,19953050,37044725,13981813,238906
16384,1159758.93,21167887,37372528,14099256,290498
16384,1263901.17,21496976,37473822,14130103,258896
16384,1201321.36,21666672,38739931,14590218,285424
32768,1078246.98,24621096,42518666,15957754,385487
32768,1116493.28,22150838,41386274,15571220,348716
32768,1085591.16,24238982,41617072,15636888,384961
32768,1142352.56,21231556,40326482,15185729,339226
32768,1074937.88,23327830,41754192,15688763,368342
32768,1082591.73,23897956,42493963,15954471,370623
65536,1033011.63,23568091,44053581,16568978,412218
65536,1069820.50,23897234,42465229,15916253,452652
65536,987248.29,23506031,39946764,14933454,455574
65536,1040013.37,22571307,42708900,16063183,428255
65536,1017881.24,26374901,46035568,17255760,456509
65536,989260.74,23921175,40292906,15065352,439391
131072,863494.68,18306473,27233943,10024494,469364
131072,872233.18,16855139,27659371,10154157,440713
131072,870890.30,17835700,27656917,10183931,462619
131072,892422.16,16944284,26959718,9952442,461559
131072,892549.94,18136787,27564711,10150579,460468
131072,1038699.66,18848611,27731854,10200294,452838
262144,875240.19,17606761,27165304,10000712,456335
262144,962458.82,18990169,27695547,10126949,430634
262144,860296.51,19194149,27212822,9985977,462472
262144,893221.28,16902691,26931500,9917170,433231
262144,859839.11,18771194,28200211,10316656,450665
262144,834915.60,19307487,28014035,10263951,482146
524288,796542.07,20887474,27572992,10112410,453521
524288,798452.08,20741229,28873277,10515525,469496
524288,847281.69,19065795,28077865,10254920,445925
524288,823351.04,20135943,28064241,10275128,459682
524288,816737.65,21187424,28840043,10500339,484383
524288,778234.60,22650213,28187544,10287125,465271
1048576,662504.57,37582161,29707748,10772791,466182
1048576,595694.75,35904219,29566154,10703134,463664
1048576,598454.36,35438894,30142883,10870087,467350
1048576,624949.95,33907422,29496322,10689551,458847
1048576,583224.40,37320332,30355932,10954380,479173
1048576,628635.19,33506234,29852506,10801982,462042
2097152,559221.19,39856733,33436550,11909638,477664
2097152,573497.09,47773521,33629411,11971230,486782
2097152,557238.62,40410078,33469940,11941539,470369
2097152,550251.80,41146398,33311216,11854622,469824
2097152,539152.97,42330288,33613302,11942197,479793
2097152,553170.33,38775718,33440375,11933041,471282
4194304,509248.24,43826877,39563001,13726913,478536
4194304,509236.21,43731963,39309732,13673885,492505
4194304,509491.05,44021925,39345007,13677456,482339
4194304,510189.18,41173925,39093549,13623269,468941
4194304,533143.82,42688410,40033803,13907246,478511
4194304,497792.39,46253438,40215361,13942782,466516
8388608,459241.16,48276643,52359508,17601961,511296
8388608,471600.47,48688831,51757553,17402474,485329
8388608,453456.36,48701798,52033279,17490660,511753
8388608,464222.72,49097074,52247631,17583346,511468
8388608,456550.75,49508821,51624427,17374084,488170
8388608,442744.52,51090911,51754370,17405870,522077
16777216,400065.25,56340950,76578341,24848354,506651
16777216,425220.65,57566942,77199985,25095802,520762
16777216,391304.08,56447415,76845229,24954044,532399
16777216,394245.70,56846258,77233336,25104656,498638
16777216,397954.45,56653216,76708122,24883711,532177
16777216,398549.84,56672969,76888653,25020382,515692
