BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,866571.05,34293967,73216536,24490411,9063
1024,846112.63,34628066,73166883,24515272,10200
1024,878517.13,34595157,73120042,24387590,10051
1024,840623.46,34878915,73007068,24305568,9836
1024,854940.59,34144763,73109054,24406097,7479
1024,857313.24,34247163,73249231,24509361,8004
2048,1274551.34,19152205,39060760,12871829,4603
2048,1377467.96,19262657,39033569,12885259,6685
2048,1262131.06,19301477,39874122,13294516,6115
2048,1367264.91,18993399,39250302,13078958,7540
2048,1350681.18,19409622,40681109,13416757,7625
2048,1310866.38,20002652,39096253,12901430,6652
4096,2111823.05,11508022,22315197,7188352,4645
4096,2039392.60,12005643,24027782,7771986,5286
4096,2160742.99,11398403,22120368,7130221,4270
4096,2114073.82,11492120,22122428,7159518,4531
4096,2168002.13,11406822,22123035,7214627,4389
4096,2261340.57,11467350,22103344,7138250,3976
8192,1482781.94,17417694,32055200,9954103,15406
8192,1606989.75,16959494,31618707,9764144,14805
8192,1879396.42,20427206,35276605,10922025,14263
8192,1380100.89,18237968,32376366,10034013,11678
8192,1672457.37,18574597,33589056,10389229,16045
8192,1519799.83,17949155,32304880,9975843,14708
16384,1237894.20,22237171,39125836,12029242,11990
16384,1132939.50,21804016,38295910,11722491,12132
16384,1128416.80,21536252,38036967,11636088,11106
16384,1202729.99,22344953,38123199,11702118,12866
16384,1150381.27,22592873,38971259,11954074,11931
16384,1254509.94,20403612,37270255,11414767,11100
32768,1327266.29,29419743,44942571,13852253,7951
32768,1131139.27,23977593,40721961,12454458,11912
32768,1096002.91,22784153,40998305,12567841,10923
32768,1049716.99,26372913,44677990,13727258,12093
32768,1167739.51,24081371,45730016,13964682,11906
32768,1039473.21,26811268,46333865,14188606,17364
65536,1028156.90,26013784,44665151,13708597,10884
65536,917772.87,20170268,32352996,9974067,72427
65536,1010424.98,23450458,38543553,11799913,36347
65536,996181.91,25376794,42830954,13135086,25497
65536,973918.61,24325142,41854888,12792931,25537
65536,967531.72,25022663,42265399,12998793,26049
131072,871378.35,17481231,27238489,8487275,99156
131072,899792.00,17188042,26890938,8385201,97726
131072,871879.13,24005825,27551499,8634007,103349
131072,865331.51,18126864,27230679,8505761,100696
131072,858729.22,17643068,27473316,8584569,107021
131072,872286.46,16446344,27065668,8456193,102449
262144,873622.45,17623702,27361474,8537949,103778
262144,845569.06,18579848,27767373,8650913,106569
262144,984859.13,19689804,27505022,8578375,103267
262144,888569.28,17733540,27633288,8620859,102422
262144,857447.63,19548211,27765125,8680284,102362
262144,856986.74,18322470,27267564,8490473,101953
524288,819586.86,20502870,28712244,8963288,105357
524288,812735.55,20308290,28273073,8843449,108363
524288,779390.93,22745533,28434540,8888520,108755
524288,775566.92,22093578,28519523,8874487,107198
524288,702658.36,26340176,29110299,9085053,109882
524288,786104.11,21933617,28242645,8817795,108502
1048576,600997.50,34100965,30103749,9417163,122013
1048576,635357.44,32536506,30145903,9418816,121463
1048576,622195.47,31956486,30119900,9418665,124817
1048576,595439.25,35364535,29947271,9373614,124057
1048576,600298.67,35521773,30244774,9450634,123049
1048576,631726.38,32206715,29915223,9353883,121354
2097152,535177.12,42187333,32986144,10318036,139188
2097152,550132.41,40287796,33275121,10419716,141836
2097152,591031.58,41991024,33741572,10579626,139193
2097152,606104.35,40270107,33819553,10629300,152962
2097152,562729.90,40043036,33355532,10437119,143812
2097152,554561.12,40328942,33248746,10417154,140055
4194304,498207.58,43197298,39663128,12485575,184338
4194304,512857.81,44223387,40044645,12611218,176728
4194304,517987.57,50957269,40475833,12715683,185629
4194304,519140.72,44874899,39855626,12535809,178794
4194304,513292.24,43786210,39605724,12459507,176760
4194304,519763.76,42398781,39066110,12299603,180080
8388608,458190.13,49460793,52110655,16495779,258616
8388608,437769.55,59627339,53287086,16901988,256092
8388608,456511.13,47890895,52215472,16490098,254226
8388608,480423.34,45888933,52166966,16517494,263125
8388608,464773.05,47877189,51898447,16408220,252064
8388608,466412.01,47297209,52011692,16450100,247256
16777216,388973.58,66686898,77725970,24751416,408465
16777216,399076.97,55899311,76613083,24353810,400809
16777216,395145.93,55558459,76793540,24456215,409702
16777216,426466.73,58064860,77121983,24563210,401251
16777216,391043.41,56911672,76936945,24480586,403247
16777216,416390.79,55094111,77486537,24700000,410031
