BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,861811.77,34104113,73171576,23655420,183573
1024,833810.90,34003186,73239697,23697714,173259
1024,873689.18,34160896,73187749,23687133,177057
1024,826907.74,35096589,73424568,23746880,210245
1024,1080391.27,34980068,73310010,23692939,194008
1024,831959.80,34259506,73216310,23700034,186470
2048,1281667.13,19794158,39239389,13520830,188378
2048,1909955.75,19477606,39229231,13533771,158188
2048,1285142.98,20397681,39251613,13527990,211571
2048,1674810.18,19556939,39629598,13654769,160908
2048,1385201.25,18970310,39199038,13531278,154442
2048,1370683.34,19017844,39186828,13506998,155830
4096,2101370.34,12347393,24961375,9218147,180322
4096,2262115.49,11422485,22139719,8364009,177306
4096,2129486.99,11414618,22162147,8379655,173588
4096,2190617.99,11494661,22226557,8393664,174454
4096,2164936.33,11571909,22411751,8460269,171889
4096,2129184.80,11418556,22132060,8380856,174909
8192,1492611.98,17285002,32111200,12057915,222585
8192,1453213.42,17997807,32542379,12270045,239087
8192,1409772.62,17168888,31722338,11973343,231297
8192,1433196.73,18176655,32524652,12244001,257911
8192,1414191.63,17934510,32594365,12287890,222212
8192,1422591.49,17055427,31169970,11763748,231995
16384,1157951.33,21339342,37573559,14169605,281800
16384,1209809.76,21415935,37561451,14165126,284368
16384,1246620.30,21941869,38561786,14484499,296643
16384,1180862.34,22023959,39515796,14850029,262184
16384,1309473.51,21424335,39299458,14764592,265635
16384,1429332.52,25771369,41383997,15533716,287526
32768,1083984.36,25043092,42911119,16115127,390018
32768,1110710.22,24356820,41883219,15762572,377139
32768,1157995.46,25796420,43732196,16374716,372605
32768,1058469.03,23411203,41869192,15722667,366011
32768,1111831.13,24580803,42175160,15854618,393418
32768,1156608.85,23685034,42211158,15852443,335444
65536,994796.38,25704902,44515467,16690109,484896
65536,1074624.53,22071903,40639427,15223812,416773
65536,1084121.37,22911489,39920604,15030947,469982
65536,960844.58,19364102,32743495,12170451,435020
65536,1008071.71,25762952,43116355,16143741,472914
65536,1039351.13,25656217,44854265,16852763,463361
131072,876516.86,18152068,27049371,9990909,475637
131072,873344.02,17999634,27643468,10151113,455073
131072,879449.68,18549352,27262519,10032920,478724
131072,854631.58,18259318,27239988,10017301,453899
131072,885548.94,18165316,28405774,10468627,440820
131072,866201.88,18318656,27205628,9999282,477004
262144,863654.16,17842975,27224127,10008551,443840
262144,840144.44,19288082,27749798,10161461,480454
262144,874066.41,18366597,27189147,9999998,462673
262144,897854.79,17795049,27592619,10111006,436719
262144,820334.02,19691400,27651853,10133569,485752
262144,877221.94,17308675,27340134,10049297,445623
524288,782123.75,22188212,28795870,10502031,463207
524288,809519.49,20067725,27637019,10146079,455079
524288,764163.26,30947290,28414268,10392429,476143
524288,704523.06,20964198,28500086,10404386,472552
524288,817768.96,19790839,28253250,10303118,473461
524288,839628.86,26272861,28579022,10452317,464145
1048576,621417.48,35812042,30422710,10985981,461243
1048576,623407.21,35364596,30228122,10940597,474300
1048576,606039.79,35061901,29796688,10791858,465514
1048576,631336.75,32572114,29524822,10736810,468410
1048576,614426.34,32865052,30505810,11028330,472774
1048576,596616.50,35573368,29928475,10831379,468340
2097152,552709.70,40366376,33075842,11773428,471363
2097152,559045.05,38770355,32923207,11725050,472138
2097152,537289.75,40088688,34128140,12133426,483884
2097152,560046.53,39800779,33241877,11826150,470607
2097152,567132.10,42798450,33534311,11971782,474647
2097152,554859.87,39662461,33020487,11762531,477114
4194304,510962.81,44691879,39905311,13855237,476906
4194304,513781.12,45061844,39874513,13841227,495827
4194304,516765.56,43832509,39353129,13680635,475930
4194304,514594.53,44465836,40123368,13899254,496893
4194304,513983.22,50322174,40596742,14131554,493384
4194304,514935.73,44330631,39321766,13669726,480937
8388608,538361.86,47113440,51507055,17335235,489033
8388608,458782.13,47324335,52141240,17553470,503319
8388608,461296.21,49932876,52236493,17555318,487346
8388608,440237.71,56512005,52448445,17667956,508731
8388608,459722.64,47062009,51512907,17336930,506282
8388608,457467.99,47366685,52036177,17485342,492190
16777216,386742.77,57686649,76717397,24897579,539960
16777216,388578.78,59069041,76717196,24933261,530909
16777216,414997.86,62044637,77386128,25177529,542065
16777216,397443.24,56442723,76689920,24884358,531675
16777216,389706.24,56413839,76616338,24899911,517659
16777216,393638.21,57349249,76714602,24893754,521432
