BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,863543.51,34404852,73322606,335691,1969
1024,1061729.39,34487321,73683004,337874,1707
1024,846417.55,34338627,73235457,336346,2304
1024,849977.72,34230377,73227319,340453,1822
1024,859381.44,34284897,73275688,353294,2170
1024,843954.18,34634000,73118186,334127,1933
2048,1393072.82,19158629,39142013,325122,1752
2048,1316912.87,20025159,38958147,321669,1700
2048,1334824.40,19128365,39102439,351179,1633
2048,1329780.69,19132868,39673075,343255,2652
2048,1411130.41,18978772,39231351,340233,2152
2048,2025172.57,19230366,39032139,314648,2614
4096,2104833.41,11511086,22213600,350529,2588
4096,2189542.40,11838258,22103462,320556,1896
4096,2550455.27,12132651,23261875,330007,2749
4096,2523560.56,11498830,22131774,350751,2286
4096,2242521.02,11912734,23472444,347398,2549
4096,2258913.69,11455300,22150353,380004,2042
8192,1458464.43,17826877,31884358,540546,76609
8192,1374183.51,17669429,32041940,543351,69505
8192,1434839.67,17750748,32857280,507564,54347
8192,1522562.33,16986797,32089004,428851,25769
8192,1471145.51,18126534,32707720,522526,58734
8192,1467726.38,17178970,32289561,470055,35533
16384,1252775.65,21348944,38600756,484029,48300
16384,1264274.12,22037892,38371440,556473,76421
16384,1173899.59,20693347,37035478,564069,82022
16384,1242038.67,20711222,37478028,517035,60307
16384,1204158.82,21746140,38168162,564299,80012
16384,1189326.52,20621303,36939932,501508,52254
32768,1090151.32,24838106,42769164,618300,98577
32768,1085225.11,25483081,42626042,629904,106365
32768,1140459.25,23075794,41035235,541583,68561
32768,1062913.59,23403915,41113447,563920,79168
32768,1151107.28,24122856,42586194,486470,50907
32768,1162108.45,23477966,41077012,553791,76665
65536,971538.40,24361120,41897193,658087,118149
65536,1022976.25,22917378,39414368,591309,87712
65536,1116514.89,24489615,44650401,547327,69678
65536,961779.62,17520516,29596460,502951,63621
65536,993288.82,20433843,35003689,551200,71640
65536,1015654.14,25646377,42909775,587610,87314
131072,905503.91,17013580,27405891,677860,85934
131072,924472.86,18001003,27454584,769344,108039
131072,862145.34,17440090,27119483,781670,114755
131072,924098.26,16013169,26989868,664093,82680
131072,880561.54,17633692,27198416,785553,114263
131072,1026043.09,20666130,27133040,735910,113600
262144,789766.07,25763638,27862856,867775,123468
262144,879930.12,18555054,27658384,995028,122873
262144,860599.86,18210770,27624952,964048,108229
262144,846362.25,19109378,27589004,945414,109620
262144,871840.85,18073918,27744254,846377,68586
262144,878028.24,17692511,27049813,915751,103539
524288,783088.97,22646190,28628996,1000893,124566
524288,797026.73,20878238,28066804,1048936,129716
524288,830650.20,20360204,28563007,1029019,129813
524288,834061.30,19239343,28207987,1114605,148324
524288,737569.13,22928707,28271350,1094106,175268
524288,835066.60,23802878,28730841,1018504,134098
1048576,611846.11,33434780,29661137,1018413,270946
1048576,614882.60,33944458,29899889,1089984,309627
1048576,614819.81,33454451,30095893,1096329,300860
1048576,622404.55,33491084,30431561,1082864,299107
1048576,622332.28,34333120,29762817,1061481,309976
1048576,625750.11,33298185,29996978,1045386,272342
2097152,550577.79,40051464,33214118,1055358,334929
2097152,548120.53,41154932,33453783,1006418,314292
2097152,549972.02,39943616,32574916,1002912,313071
2097152,536422.20,41297077,32910820,998168,311755
2097152,543089.79,39197870,33238305,1079208,342562
2097152,549909.17,39464414,33790693,1075807,352504
4194304,583515.54,46044975,39604295,1066599,341023
4194304,514178.52,44447651,39477688,1070837,340144
4194304,533187.19,41324734,39351735,1134605,364488
4194304,519887.13,42089102,39475146,1068593,337347
4194304,499636.98,40734604,39500693,1100707,351103
4194304,516975.68,44034262,39494069,1048996,326260
8388608,457662.22,49910679,52133367,1095469,331965
8388608,469702.88,48268323,51675635,1091089,334074
8388608,493256.60,51767941,52069169,1003785,317429
8388608,449933.69,48601024,51784958,1044773,314142
8388608,460754.76,48836695,51905738,1102456,335256
8388608,459530.17,49899685,52005771,1149071,358237
16777216,390316.43,58860201,76762827,1135182,336079
16777216,392042.19,58425758,76687763,1078322,309584
16777216,388707.60,59540634,76910827,1091354,315013
16777216,384655.65,58825960,76890812,1167599,342479
16777216,393260.11,58006209,77015163,1181404,349053
16777216,432322.45,59478396,77012938,1150345,353063
