BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,857079.51,34099723,73240765,13694111,10186476
1024,894013.01,34332409,73225271,13698111,10192492
1024,853850.26,34319244,73370500,13732924,10214996
1024,834735.11,35746414,72704807,13580944,10068746
1024,837472.22,35413539,73744156,13870734,10220981
1024,851027.38,34356867,73292795,13714417,10202672
2048,1330385.78,19677392,39268182,7527197,6199459
2048,1358536.27,20186505,39196700,7515982,6192683
2048,1371434.63,19056037,39247230,7493328,6206154
2048,1342488.03,19460171,39160771,7494477,6183712
2048,1358233.77,18995559,39071377,7445318,6163376
2048,1310770.37,19610595,39107757,7488591,6178419
4096,2189089.58,11573954,22211554,4404111,4174524
4096,2717589.63,11801737,22157120,4384396,4175567
4096,2102513.92,11526036,22307743,4404847,4195633
4096,2585019.69,11893694,23103790,4538907,4301847
4096,2210695.59,11521774,22166025,4390604,4177181
4096,2101754.96,11484025,22179617,4382584,4177136
8192,1448238.14,18023422,32767914,8019418,4493028
8192,1567844.10,16931139,31781781,7868540,4329433
8192,1556299.28,17778525,33275984,7790055,4781612
8192,1437066.63,17904668,32785289,7938002,4565355
8192,1386107.78,17518019,32053553,7946067,4361656
8192,1440848.80,18008346,33435593,8271222,4479899
16384,1170607.68,21847481,38603102,10368229,4431858
16384,1226802.94,20830628,37600517,10001235,4437183
16384,1253410.28,19431328,36943655,9892497,4329127
16384,1207215.97,22593710,39758076,10560747,4580806
16384,1234196.22,20804687,38503620,10315013,4417080
16384,1219339.81,20978796,37455686,9919672,4474276
32768,1106633.71,24180689,42515188,11647563,4640532
32768,1105432.18,24390081,42152942,11632643,4591234
32768,1140844.05,23590628,41700154,11356199,4656567
32768,1180220.73,22950129,41408119,11491819,4506983
32768,1149461.55,23801987,41712115,11394442,4622458
32768,995948.65,28675374,44918151,12244642,4813429
65536,1000089.25,22491455,38264855,9944557,4824743
65536,1052983.89,24323657,38027020,9770034,4867986
65536,971622.43,24215687,41786332,11364945,4759703
65536,1035866.93,23355356,39840778,10547646,4808555
65536,1033687.32,20966178,38358537,10054384,4750359
65536,962181.09,22480427,37501444,9579187,4868822
131072,917640.83,16550071,27298742,5460092,5044392
131072,900948.63,17985845,27965955,5718884,5060035
131072,859704.06,18380727,27301314,5436702,5109065
131072,907661.77,16362059,27422273,5474569,5068886
131072,996333.34,19700566,27961922,5796578,5041561
131072,864856.49,18215496,27535887,5461181,5135247
262144,883430.32,17087012,26984998,5303292,5074500
262144,840715.45,17984139,27288790,5394006,5079432
262144,861762.38,17893648,27964562,5482546,5185720
262144,848819.23,18242444,27460894,5427138,5122243
262144,868190.08,17318624,27067048,5302144,5087172
262144,849244.40,18871006,27926767,5497641,5170345
524288,736387.22,23501640,28471925,5669662,5220481
524288,818216.78,19118289,28159121,5509375,5220575
524288,829305.38,18862347,28254540,5518261,5231483
524288,766843.91,22994051,28314777,5539305,5237270
524288,748677.45,23198643,28528343,5596682,5262620
524288,812722.41,20254760,27664309,5460038,5142085
1048576,599355.80,36030194,30431967,5936858,5494836
1048576,600772.19,35394931,30482532,5980378,5488907
1048576,621869.03,33864106,30425925,6086654,5416007
1048576,647471.53,36014631,30125137,5938797,5422875
1048576,592172.66,36996808,30455971,5965291,5493471
1048576,626729.25,32777389,29920546,5896956,5404600
2097152,549737.64,39004956,33346985,6509767,5833417
2097152,554440.11,39757353,33660297,6528386,5891741
2097152,498318.28,33967776,33567384,6528846,5880515
2097152,566706.98,39687261,33176744,6396655,5865054
2097152,562891.27,38527956,33179131,6510019,5804495
2097152,547357.60,41040534,33504673,6540752,5855511
4194304,506801.88,40904017,39534784,7552790,6635501
4194304,507802.50,43890365,39722780,7626805,6644771
4194304,496713.24,46341849,39655503,7569809,6669824
4194304,505423.77,44837569,40099179,7702903,6688646
4194304,510414.53,43367685,39453002,7581221,6615619
4194304,508181.37,44159957,40037994,7662291,6689712
8388608,463729.38,47997267,51406776,9628239,8172247
8388608,460206.43,48111204,51869305,9697519,8243633
8388608,467534.79,47382863,51880829,9719097,8230502
8388608,463929.20,48000694,51879903,9767716,8207042
8388608,458839.09,48914789,51837863,9694451,8221500
8388608,468629.39,47962815,51632194,9678810,8208591
16777216,438336.97,55849933,76573846,13999318,11406701
16777216,397496.15,58376203,76743478,14006055,11455929
16777216,401078.88,57756353,76790997,13987802,11469288
16777216,394410.74,56583407,77086914,14176364,11434314
16777216,380983.01,58741372,76712915,14017628,11452824
16777216,388652.64,59998823,76964297,14067595,11475150
