BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,486724.83,61848747,151602781,47219924,237058
1024,489940.89,61826493,151713419,47262204,234725
1024,485778.81,61467149,151180532,47078405,234091
1024,497949.80,61309251,151379448,47133961,226725
1024,485055.69,61676212,152076414,47372070,236060
1024,499628.58,61443724,151753933,47261055,235276
2048,765543.54,35702781,84880780,27343513,221383
2048,762549.89,35425708,84692970,27274672,213391
2048,263756.01,35290309,84360400,27160420,218221
2048,726550.29,35679917,84884445,27326577,216800
2048,741249.08,35395482,84338097,27159570,219797
2048,737989.36,35464650,84711913,27270404,220601
4096,969087.58,22844986,51674113,17447142,202550
4096,1277664.08,22554014,50972702,17198809,200184
4096,909198.25,23033563,52988881,17838432,211491
4096,975319.12,22279729,51407843,17340515,192394
4096,991951.37,23238111,53332487,17948529,205473
4096,984781.28,22343551,51491145,17377397,194048
8192,1339677.45,16513555,36385888,12896701,192276
8192,1357763.51,16709486,36543411,12947386,214954
8192,1302628.83,16485992,36135262,12824684,214016
8192,1358501.54,16417052,36185232,12830531,206202
8192,1322169.52,16685828,36771487,13006887,202207
8192,1263777.33,16505900,36346798,12873525,193319
16384,1583293.34,12159559,25938903,9723102,171070
16384,1987091.28,12500858,26239377,9826009,177705
16384,1705321.91,12409569,26574147,9930874,174991
16384,1578406.60,12353301,25800947,9679532,171999
16384,1712441.72,12498662,26691590,9972810,174180
16384,1719016.15,12386370,26194820,9821744,184961
32768,2047981.78,9749999,20229312,7974456,155718
32768,1947883.38,9859969,20523930,8068672,168887
32768,1920784.43,9688668,20343481,7998968,165002
32768,1915399.51,9657788,20275131,7978103,168470
32768,1975801.63,9812498,20478133,8045237,172410
32768,1920209.34,9384423,19617358,7759476,169726
65536,1977479.99,9590633,19701232,7804222,196273
65536,1797616.23,10140173,17770448,7212389,181852
65536,1972027.82,9429049,19365001,7694894,187327
65536,2096735.58,9639852,19634455,7785254,193031
65536,1998270.73,9470097,19573728,7764311,188347
65536,1997869.51,9504174,19719781,7805887,191075
131072,2237958.13,7977148,15793730,6584085,166280
131072,2203670.94,8155722,15691472,6555272,170216
131072,2324039.90,8047054,15749405,6565114,168112
131072,2254892.88,7884747,15540142,6501683,163521
131072,2244498.62,8234911,15712438,6545057,167968
131072,2205967.64,7877839,15503026,6483845,161246
262144,2555424.66,7771083,13694458,5922352,161976
262144,2856992.81,8328381,14154410,6059661,166679
262144,3599943.16,9028002,14376737,6132354,169534
262144,3309157.49,8559917,14374391,6129966,165894
262144,2718802.78,7772337,13821197,5957748,158900
262144,2493992.95,7593534,13899177,5980064,158077
524288,2416837.57,9678812,12751129,5615876,161739
524288,2333744.18,8771009,12948569,5679547,164827
524288,2433462.92,8105292,13292683,5778561,158591
524288,2415893.48,8725012,13121253,5741054,164616
524288,2345940.88,8238370,13319514,5788121,159759
524288,2542536.27,8271017,13443700,5826953,163762
1048576,1284056.09,19261584,11729082,5282992,184718
1048576,1528670.62,16133245,11770298,5295023,171390
1048576,1177638.84,21412766,12193617,5426435,194728
1048576,1186303.04,21909799,11843340,5313573,193473
1048576,1087665.52,24591932,11970116,5353471,197572
1048576,1125769.35,22456395,11553290,5219623,192467
2097152,936794.22,27894766,15968637,6575125,214892
2097152,1041834.74,24934098,14893953,6224382,200198
2097152,937206.05,28598700,15878444,6533546,216345
2097152,974586.56,28440586,15709490,6483042,216358
2097152,899721.50,30885849,15332496,6365255,213486
2097152,967983.06,28145675,15310434,6351575,209572
4194304,833090.76,33604942,21787888,8289202,247258
4194304,800694.02,34352812,23451284,8833012,254527
4194304,815501.28,34438938,23050267,8693788,257099
4194304,860398.50,33233478,21229973,8107389,246472
4194304,870384.70,32502390,22618341,8563062,244351
4194304,819198.19,34685082,21887991,8324525,249733
8388608,723414.43,39387689,34869785,12190875,323073
8388608,621092.21,54253921,35967052,12534400,334043
8388608,712842.97,39930091,35959953,12544394,325494
8388608,763095.40,36687938,34863125,12186809,320473
8388608,708566.40,40586519,36688653,12749396,334741
8388608,742356.31,41114803,35054373,12252901,324490
16777216,598290.97,54524922,62088996,20297534,486641
16777216,620512.90,49354025,61201764,20021871,466259
16777216,624379.64,49047016,60891116,19947056,466274
16777216,635402.65,48446627,60504545,19825549,456134
16777216,603016.00,50049731,60766901,19902520,471328
16777216,543551.14,58430458,61344483,20080457,478904
