BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,488469.01,61150433,150553402,48356863,580382
1024,523317.05,62057109,151263724,48670218,585340
1024,500610.28,60670234,150145836,48220747,568042
1024,493502.01,60870262,151619131,48685613,602326
1024,484794.07,62339420,150957833,48500345,600753
1024,499002.63,60689853,149964784,48203430,569886
2048,732418.46,35491502,85572664,27345744,504448
2048,259636.07,35934982,85550442,27323344,502859
2048,733103.06,36156345,85426319,27291409,509058
2048,720532.33,35650549,85157526,27206133,506690
2048,725879.97,35523024,84905698,27136296,497499
2048,730923.89,35680756,85124449,27198848,499473
4096,980103.64,22467063,51645871,16371382,449280
4096,286010.58,22873229,51887575,16460472,453546
4096,1014823.82,23866200,51353920,16308250,439689
4096,978399.80,22125011,51163106,16225060,429163
4096,944365.79,22643638,51778776,16419106,447648
4096,287039.01,22625014,51852235,16457419,450044
8192,1351698.43,16344569,35790300,11218356,441400
8192,1292865.95,16633450,36462114,11431913,462728
8192,1298217.63,16610707,36322907,11403111,459505
8192,1280178.68,16646353,36742733,11489356,459475
8192,1338046.72,16718738,36806210,11541535,462799
8192,1325672.52,16520065,36336281,11364430,450261
16384,1685382.66,12275063,26274650,8136608,357649
16384,1739395.58,12581381,26412496,8194875,363625
16384,1600516.36,12304115,26445207,8181945,358650
16384,1644061.01,12411315,26279558,8173802,364263
16384,1708206.77,12264563,25839364,8048747,357423
16384,2005445.84,12569598,26848549,8339725,366866
32768,1977997.82,9815298,20251085,6226389,301217
32768,2039879.74,9487264,19984842,6113988,286125
32768,2071783.87,9600642,20047960,6116762,297626
32768,1925194.43,9787264,20409190,6255317,292100
32768,1995355.57,9878461,20547583,6294209,294432
32768,2011926.42,9738682,20199712,6191915,291566
65536,2074927.55,9624261,19789304,6048903,312750
65536,2059629.58,9697589,19813824,6046250,313284
65536,2051368.33,9582005,19606287,6005622,305420
65536,1964697.25,9538225,19726303,6021294,306041
65536,2063809.91,9675128,19811799,6042307,308415
65536,1934336.83,9631625,19720041,6003674,310631
131072,2191406.75,7944258,15710195,4755388,192611
131072,2287690.12,8003412,15756348,4767215,194865
131072,2284594.60,8000324,15726332,4784474,196081
131072,2296716.98,7925798,15698027,4760929,192577
131072,2275791.39,8390122,16006422,4872844,204717
131072,2214959.19,7971588,15713582,4761489,196984
262144,2604663.83,7325537,13492626,4074704,160134
262144,2681971.37,7423173,13787912,4141472,166677
262144,2604280.95,7476852,13726520,4117925,170509
262144,2552822.24,7470465,13706699,4117394,164777
262144,2531638.10,7423154,13584250,4086418,163066
262144,2614478.03,7619701,13936100,4191986,174317
524288,2147070.06,9860175,12432926,3700550,97969
524288,2890739.44,10938428,12219410,3625328,94499
524288,2598444.83,9460844,12745371,3807781,110931
524288,2337153.87,8607141,12963715,3867564,114194
524288,2260868.76,9990454,13219463,3944536,111277
524288,2252746.18,9221627,12558186,3734537,107031
1048576,1154383.37,22967957,12345701,3633598,41651
1048576,1197431.60,20658546,11838817,3503759,43750
1048576,1109204.13,22604367,11801749,3484431,41480
1048576,1101640.96,23650547,11765001,3478292,41625
1048576,1139105.95,22198225,13190976,3948464,43313
1048576,1469569.54,16944739,11323313,3339954,34981
2097152,931092.97,29264730,15988402,4802465,48631
2097152,1006097.14,25293185,15850011,4765969,51628
2097152,868872.04,31162748,15854350,4771134,45876
2097152,889551.82,30192113,17226213,5194047,54788
2097152,902803.59,30846245,16679342,5000010,50795
2097152,900250.70,34829630,17399152,5217592,58106
4194304,843190.23,30590833,21774592,6661802,58700
4194304,754428.10,38433046,23780542,7259796,63988
4194304,808093.88,36896306,22398271,6824250,58735
4194304,757975.20,38555208,23905367,7266191,71549
4194304,895434.40,30693638,21354783,6501074,64155
4194304,832063.76,35507262,22406387,6792162,59666
8388608,686946.88,41610452,36494495,11273930,104170
8388608,714991.34,32166310,34802683,10797152,92138
8388608,749019.03,39535694,34989513,10790126,91355
8388608,738552.74,37736457,35261187,10901875,86255
8388608,761056.03,38614297,34789732,10741473,96308
8388608,726303.13,40675093,34531324,10635833,89250
16777216,565416.22,53258906,62907773,19508400,166567
16777216,591662.21,51228603,61825385,19177624,161072
16777216,593783.85,49796417,61890699,19221578,156563
16777216,612545.43,50456295,60972917,18893457,158186
16777216,635302.88,54001079,63811368,19741666,168344
16777216,623763.04,48327021,60540746,18742586,149579
