BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,497442.46,61121369,151065004,47039125,233497
1024,221163.51,61549115,151194214,47082845,237719
1024,499601.73,61024773,150549497,46881066,229823
1024,504786.47,61715549,151408036,47166997,238365
1024,489986.52,61337262,151276634,47120091,232989
1024,218557.52,62259477,151420224,47175330,234409
2048,756177.54,35525123,84855615,27313453,232299
2048,257774.96,37355490,86106655,27729258,226463
2048,750247.37,35476462,84666874,27276580,221612
2048,756367.53,35501799,84692927,27277839,221323
2048,737824.21,35751358,85182522,27429841,220938
2048,743094.08,35534996,84951387,27350512,219907
4096,948104.24,23359980,52649838,17724783,204553
4096,1071212.34,23177502,52332436,17665940,199455
4096,980290.64,22273540,51135561,17252348,200323
4096,284110.03,22405387,51670762,17426324,200654
4096,288951.56,23294873,52805774,17792528,206320
4096,289957.83,22454347,51836665,17475883,204726
8192,1341195.06,16742484,36745372,13013757,204814
8192,1241892.60,16543385,36221025,12846598,189520
8192,1216417.31,16381266,36264149,12845701,190430
8192,1539307.04,17040632,36351433,12890437,212046
8192,1366488.14,16682084,36682099,12998101,213228
8192,1595347.83,18211581,36180506,12840715,203089
16384,1652904.30,12256594,26226886,9816100,178248
16384,1652950.42,12141000,25692511,9653644,165670
16384,1676329.96,12231122,26154819,9795481,170004
16384,1669755.60,12458944,26588497,9928596,172239
16384,1717925.52,12308134,26192666,9808767,184242
16384,1621234.37,12144996,25781834,9674636,179690
32768,1946842.86,9629745,19984311,7895616,163396
32768,1980832.34,9912458,20554437,8076176,163696
32768,1909496.97,9897751,20453104,8046739,167948
32768,2034719.64,9647697,20034667,7912364,167562
32768,2048262.44,9735491,20075792,7927326,160026
32768,1936593.74,10023483,20548483,8073700,164919
65536,1972204.24,9669582,19884551,7862496,196477
65536,1964627.92,9692748,19746370,7827242,194701
65536,2023458.16,9515148,19613894,7773871,190051
65536,2067789.45,9626648,19733447,7822123,193376
65536,1890620.71,9433829,19560460,7753602,190199
65536,2007006.89,9615314,19795185,7838282,195635
131072,2174195.71,8025952,15708142,6560981,166694
131072,2266736.63,7945438,15497363,6484662,162846
131072,2225640.95,8059066,15814495,6586338,167709
131072,2297540.20,8180074,15429274,6473376,166103
131072,2148238.10,7983946,15538901,6493732,160737
131072,2239590.50,7884795,15634102,6522752,163963
262144,2498014.52,7429511,13758648,5934924,161451
262144,2532580.94,7718021,13680722,5917009,160929
262144,2568020.33,7662808,14259705,6095168,162658
262144,2672210.63,7313469,13687115,5919733,155810
262144,2497366.10,7488448,13705800,5916722,162872
262144,2391691.49,7573912,13761430,5942575,161433
524288,2129930.18,10741973,11204062,5138934,154964
524288,2388333.95,8414234,12729761,5607685,159317
524288,2359990.86,8538841,12534121,5550300,158161
524288,2543165.89,7965735,13254438,5774305,161332
524288,2461629.77,8091533,13067881,5711071,157960
524288,2444753.53,8157262,12902835,5657903,158082
1048576,937299.63,28860718,13068082,5715361,201677
1048576,1334064.42,18679683,11774903,5295701,181229
1048576,1445051.06,19296616,12376343,5474066,177495
1048576,1228691.92,25058741,11759481,5292435,186951
1048576,1189103.28,21325521,11638458,5247320,189056
1048576,1138046.74,21442339,12084716,5397102,188597
2097152,910475.14,31094824,16166458,6631249,220236
2097152,870116.25,32672042,17963938,7210612,230601
2097152,937759.69,28265035,16242985,6658697,219543
2097152,958850.22,27560584,15351236,6370322,210654
2097152,910148.23,28647008,16201674,6645836,216450
2097152,1016681.80,24463906,14933921,6233564,202946
4194304,801979.75,36169244,23168197,8728558,257529
4194304,850941.67,31477144,21736689,8273855,244890
4194304,814004.00,34276751,21975799,8353683,249615
4194304,837687.24,32659357,21271726,8126773,244717
4194304,781470.93,41077019,23137289,8728849,260288
4194304,832590.03,34389479,21592740,8227981,250059
8388608,747713.15,39124682,35076408,12251334,326746
8388608,761202.77,36295471,35226404,12299914,324741
8388608,730156.19,37348040,34932346,12210330,323443
8388608,744652.82,37407222,34974986,12222771,324016
8388608,729486.70,38434571,35467475,12390629,324265
8388608,700657.91,41486123,36714073,12801070,329165
16777216,624217.25,49812768,61105981,19995681,476969
16777216,600445.66,50306318,61049093,20009287,474170
16777216,603110.72,50827611,60674481,19888685,463968
16777216,621657.98,48138578,60469072,19805030,472535
16777216,619497.66,49901254,60124754,19720828,445774
16777216,592389.97,50543606,63040890,20650805,467560
