BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,499295.91,60711704,150318073,424608,6530
1024,498934.93,60943940,150024340,445190,14814
1024,538910.48,60909288,150035842,433015,8697
1024,486419.77,61573174,151368865,446144,10299
1024,493647.53,61205439,150532881,450302,13639
1024,493070.63,60988269,150932485,435916,8936
2048,726978.25,35832194,85355787,437029,11181
2048,743262.80,35507030,84898779,425441,8496
2048,745763.16,35518534,84835614,434041,8168
2048,260776.39,35631037,85089708,430354,10869
2048,715986.08,35864700,85293468,439183,12096
2048,742831.58,36508458,85508470,464098,19533
4096,909352.12,23199706,53201154,430246,8025
4096,982977.66,22217269,51350855,406554,6194
4096,906242.87,22224581,51481931,395051,5029
4096,285864.95,22347326,51270814,414404,7653
4096,921022.33,22391269,51529232,422001,9589
4096,286339.62,22562399,51799116,424274,8733
8192,1305552.93,16653583,36484202,421382,5838
8192,1389060.18,16603800,36469806,412568,5686
8192,1325241.80,17357244,38025927,430665,6475
8192,1265652.30,16587687,36567084,414448,5408
8192,1647495.05,16861410,36726254,413103,6971
8192,1365496.95,16625647,36475181,415895,6918
16384,1652208.53,12334490,26338097,410835,6501
16384,1707444.45,12086056,25919652,407424,6286
16384,1694225.24,12479902,26748097,428452,6294
16384,2140531.10,13365831,25963551,400326,12860
16384,1663166.26,12039939,25723951,408497,5547
16384,1670164.59,12326058,26420704,399617,5190
32768,2002265.16,9840006,20515505,465875,10160
32768,2689248.15,10281315,20564483,494193,10386
32768,1662719.36,14028869,18237715,580110,87703
32768,2149742.82,9739684,20265467,483506,6989
32768,1909443.71,9748527,20321096,461633,8965
32768,2036106.49,9641014,20119328,453638,9353
65536,2058169.83,9579367,19487939,513475,12458
65536,2037213.03,8775888,17713897,492339,13464
65536,2018100.31,9511564,19685532,462384,9699
65536,1970685.14,9485979,19521526,502643,10086
65536,2025233.19,9543248,19525926,507714,10752
65536,1958448.87,9561889,19755185,484388,9958
131072,2178582.57,7922622,15683252,542283,14317
131072,2219145.22,7928563,15728267,546095,13658
131072,2192354.25,7951074,15657933,562658,19303
131072,2222082.36,8278868,16005958,620967,17822
131072,2265067.97,8001428,15559178,561071,19462
131072,2415911.23,8166958,15612259,542539,21690
262144,2521031.63,7590284,13904873,723999,19871
262144,2650942.32,7409590,13580986,719416,20613
262144,2546896.53,7586199,13838607,720403,24566
262144,2431721.70,7565434,13922467,728717,24985
262144,2476330.13,7485467,13724852,695847,23218
262144,2466871.02,7562711,13892513,736507,24181
524288,2304533.44,8891807,12991105,783843,69402
524288,2183664.18,10503334,11597015,777080,111595
524288,2388944.17,8817846,13297783,796330,58698
524288,2552643.51,8384516,12808089,767619,65568
524288,2379704.23,8836972,12663147,786429,76364
524288,2431274.72,9046056,13252596,792155,66101
1048576,1191942.44,20174965,11929735,794992,281216
1048576,1502130.09,16640350,11590081,777778,201031
1048576,1208677.16,20942161,11953542,801900,276231
1048576,1153244.69,21486525,12069592,804434,299304
1048576,1134198.25,23119623,11771306,729381,295075
1048576,1152391.64,22698248,11766721,848246,306267
2097152,946807.24,28782924,15707974,863413,343664
2097152,936098.24,27981524,15292935,920864,339398
2097152,1000640.92,26600696,16339631,909976,289817
2097152,866099.62,31651932,15739974,897502,342371
2097152,859498.83,31145443,16954268,938481,361586
2097152,895111.65,27968509,17104465,905598,352920
4194304,840852.96,43231732,23492514,956891,388800
4194304,817871.15,35687949,23170153,1000441,379690
4194304,813950.29,34902016,22147876,924484,380747
4194304,846147.80,33900666,21842069,930032,327929
4194304,854964.77,30899972,22117334,966436,321659
4194304,851774.42,31969302,21787106,929477,308329
8388608,717566.67,41489940,35834429,1099541,407400
8388608,773629.83,37138421,34581251,1035177,364908
8388608,681527.02,43171003,35504697,992611,425521
8388608,679680.95,41168896,36672404,1084312,460289
8388608,726869.46,44032697,36604714,983029,439926
8388608,720625.84,38491619,35002288,1082113,391811
16777216,610616.16,50263850,61513935,1235667,486125
16777216,603511.90,49352669,61318040,1253871,496268
16777216,622728.90,47765447,61223829,1260606,495485
16777216,611875.48,51046131,61582074,1236719,513049
16777216,627946.58,50027577,60497637,1183519,489876
16777216,606585.90,49647367,62961470,1296660,549354
