BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,474596.62,59661844,147089964,26925606,19020912
1024,221201.49,60876808,150086543,27505678,19459750
1024,483444.03,60428063,151155805,27659512,19586950
1024,485576.88,61423863,151256681,27746763,19603713
1024,494464.04,61354931,150488171,27585114,19489891
1024,519550.08,61176778,150590980,27615168,19518955
2048,702523.44,36418394,86523786,16151039,11948590
2048,261351.03,35350326,84409551,15728524,11665896
2048,744807.24,35308095,84552626,15768359,11697973
2048,737081.35,35426991,84666675,15767203,11698574
2048,743611.59,35044379,84076942,15660272,11624587
2048,726833.96,35209191,84288205,15691950,11652053
4096,285681.88,22946608,52515409,9993529,7902484
4096,950296.13,22602663,51890829,9863897,7824883
4096,974968.54,23286632,52774279,10036337,7940549
4096,957329.42,22710551,52078898,9902785,7853870
4096,978906.00,23229746,52924126,10076513,7956696
4096,962019.03,22880083,52435136,9975063,7904216
8192,1188291.72,16982269,37276834,7262948,6113461
8192,1290540.97,16884058,37272690,7271355,6112208
8192,1260391.55,17213567,37715430,7361402,6174103
8192,1270771.98,16733080,37128179,7219632,6086953
8192,1329352.12,16736195,36649245,7136403,6037949
8192,1276065.31,16902150,37408910,7283510,6121255
16384,1780464.71,11901178,25426798,5049205,4686108
16384,1755839.84,12225330,26057801,5158662,4755411
16384,1625558.22,12021149,25924030,5138867,4740938
16384,1761878.69,12470572,26306301,5235130,4792721
16384,1828107.17,11924572,25403563,5038892,4678558
16384,1773093.06,11958428,25606005,5079637,4701460
32768,2115693.75,9757582,19783016,3987703,4008110
32768,2070246.91,9783246,19854286,3997017,4014161
32768,1950558.87,9683479,20077085,4049709,4042302
32768,2001263.18,9676650,20226503,4078260,4057536
32768,1975228.40,9749719,20282572,4093990,4063271
32768,1938039.79,9547116,20179445,4049118,4051049
65536,2496506.86,10247442,18348332,3719050,3841827
65536,2039334.21,9473767,19730453,3994350,4007623
65536,1986029.98,9368371,19593419,3947821,3992845
65536,2042535.66,9302083,19416674,3919560,3969967
65536,2486921.05,9747764,19266753,3891097,3954339
65536,2099094.05,9432569,19284255,3893100,3957092
131072,2130196.60,7912362,15314007,3123239,3458320
131072,2849460.30,8349083,15249803,3122295,3451792
131072,2553081.21,8139832,15449006,3170901,3477918
131072,2170643.18,7926610,15271867,3122468,3456573
131072,2179826.07,7973715,15232616,3114992,3452842
131072,2298203.07,7877123,15361611,3131122,3466027
262144,2524005.71,7474055,14176663,2914970,3317058
262144,2471940.30,7602473,14096119,2890457,3307562
262144,2618898.68,7506280,13971902,2868037,3291348
262144,2491192.84,7736725,14272730,2936946,3332504
262144,2494648.81,7841697,14440610,2957633,3350122
262144,2573167.43,7585754,14161969,2910657,3313683
524288,2438770.22,8185129,12731646,2623050,3139941
524288,2172765.12,9911419,12753279,2631579,3142778
524288,2166688.54,16350953,11811852,2463944,3027506
524288,2233597.39,9410333,13329855,2746524,3218282
524288,1808600.26,16109233,11620934,2429372,3006517
524288,2214987.64,9669078,12384743,2566367,3101042
1048576,1490338.20,15219194,12056897,2486307,3065934
1048576,1394684.48,16530744,11701125,2419125,3018868
1048576,1325219.04,17502910,11772538,2436600,3027619
1048576,1174377.30,22503674,11952654,2487096,3051696
1048576,1810680.68,12179215,12688469,2595777,3144020
1048576,1394625.11,17705864,11834877,2446383,3036624
2097152,903424.85,29124124,16658665,3350877,3665010
2097152,915951.41,31407124,15656444,3147827,3538995
2097152,930967.72,36050845,17019606,3429458,3699089
2097152,946044.32,28096103,15802660,3173826,3559331
2097152,958356.91,27004814,16561391,3324819,3646398
2097152,955151.47,29013980,15862408,3184040,3569282
4194304,852211.06,32533090,22343555,4301090,4415651
4194304,787708.81,38509221,23567205,4563859,4570840
4194304,871000.94,32672802,21959589,4213507,4367936
4194304,835257.62,33479602,23227978,4494870,4519738
4194304,798082.32,35169326,23713985,4584132,4588254
4194304,786397.45,34573465,23012078,4436848,4499710
8388608,618532.71,58095470,36525724,6791069,6267309
8388608,763097.25,43119361,36693705,6835476,6277141
8388608,726844.71,37216047,35294401,6520460,6123731
8388608,750216.66,39253805,35896586,6661214,6190886
8388608,699305.70,39099853,36546549,6761954,6270661
8388608,704160.69,41321553,36815267,6857677,6300516
16777216,598069.51,51283714,63646396,11486425,9801848
16777216,590336.54,51409472,63002326,11375411,9708002
16777216,605201.54,46354423,61722831,11116864,9573485
16777216,611147.06,47517638,61238686,10989425,9516596
16777216,608327.49,49538436,62097445,11183147,9624142
16777216,586382.08,51293662,61469784,11066878,9545309
