BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,318878.87,109515749,251920168,76823411,616447
1024,318368.27,108822654,251372416,76634026,603384
1024,318690.48,108555298,251896206,76792939,573562
1024,320044.39,108719303,251726483,76738244,599122
1024,320427.57,109027510,252052795,76839207,612309
1024,314049.38,109095195,252698923,77070374,581258
2048,524959.48,60940387,141972616,43969681,333140
2048,543834.58,61009357,140410828,43446551,332742
2048,546617.95,60207404,140358605,43490708,354312
2048,545428.76,60830609,141054373,43678021,343338
2048,531684.49,61052751,143498689,44429615,333998
2048,527156.80,61265836,144092498,44610001,345828
4096,844800.40,43278419,78412441,25226512,259572
4096,787997.50,37655327,77780121,25013738,262854
4096,813322.09,38005304,77464215,24960368,229304
4096,781157.59,38265175,78369410,25209613,254673
4096,807621.77,38180051,77936967,25080284,245965
4096,830998.55,37687060,77921489,25088932,231744
8192,1311135.25,19514014,44603780,15072152,171275
8192,1348238.55,19767940,44717170,15110462,166984
8192,1400392.19,19715738,44544132,15076885,187389
8192,1242400.67,19656740,44643432,15104989,168797
8192,1454767.00,19534951,44620542,15090310,168836
8192,1312796.70,19556053,44738934,15118045,168312
16384,2169694.01,11480825,25033309,9231295,138185
16384,2135883.34,11570086,25081142,9248186,136490
16384,2093178.04,11393683,24959509,9206749,136757
16384,2124099.62,11649747,25026250,9234098,132832
16384,2218879.87,11564286,25106411,9262662,139947
16384,2240553.17,11444430,24975741,9223034,133911
32768,3126936.06,7745259,15712603,6450676,140007
32768,2875533.72,7555459,15768786,6468340,124895
32768,3008679.63,7833273,15665818,6438903,128334
32768,2919562.77,7605580,15618032,6430119,130814
32768,2911548.99,7684719,15651031,6430104,126501
32768,2936500.61,7563517,15541432,6401268,127949
65536,2601957.33,9018176,17404927,6914467,218369
65536,2563983.37,9415683,17812217,7041417,225145
65536,2611018.08,8934755,17447100,6934339,216443
65536,2556892.11,9315428,17669806,7005051,225619
65536,2576062.53,9091432,17540734,6959302,219265
65536,2664537.63,8934552,17451010,6933112,219281
131072,3282120.89,8579068,16079936,6547126,201180
131072,2773239.69,8321636,15927540,6492774,197831
131072,2693628.29,8403016,15841744,6468898,195687
131072,2647102.02,8466224,16051735,6531114,200191
131072,2667920.24,8426883,15951615,6497289,199262
131072,3122653.38,10234754,15330946,6305491,194248
262144,2692160.62,8655182,16325567,6610514,193925
262144,2577976.64,8669112,16243202,6589452,196045
262144,2594692.64,8905523,16188086,6577570,196118
262144,2692701.87,8972922,16217469,6580558,196109
262144,2574937.78,8995855,16347166,6624260,197889
262144,2532570.37,8834223,16364419,6624657,195987
524288,2521246.79,9124955,16471989,6660790,199996
524288,2558548.03,9032445,16331242,6615688,197422
524288,2528763.42,9088689,16454129,6650710,199521
524288,2678168.32,12369658,15718150,6417122,193642
524288,2522001.66,9049714,16506945,6674565,200300
524288,2567555.02,8993678,16262303,6592708,198354
1048576,2330417.74,10210839,17179590,6862311,200316
1048576,2407982.23,13785658,16947262,6789674,201167
1048576,2538653.16,14508291,16973670,6796865,203254
1048576,2421784.27,11128883,17210577,6872775,204479
1048576,2398425.18,10538772,17269168,6884630,201505
1048576,2291640.93,10340986,17270591,6892681,201611
2097152,1624097.28,14915834,20002127,7700776,218168
2097152,1621867.36,14927509,19886732,7670538,216839
2097152,1666578.82,14545047,19820556,7644729,217296
2097152,1696578.06,14332391,19886753,7665617,215618
2097152,1718038.59,14097153,19822877,7651448,214748
2097152,1655040.59,15937953,20027235,7713696,220418
4194304,1154786.27,24467349,26049132,9516939,265557
4194304,1171114.44,22542681,26033315,9511368,258485
4194304,1179935.91,22594867,26049022,9518028,259037
4194304,1246138.52,29954503,26024755,9513613,261436
4194304,1171207.54,22701463,26229288,9573309,259079
4194304,1205945.60,22019867,25967695,9493753,261148
8388608,796228.06,37804392,38462208,13239319,337287
8388608,827623.23,35774027,38442981,13240225,342676
8388608,788103.47,38146191,38555236,13263594,335615
8388608,814777.46,36467280,38489807,13249294,336993
8388608,739601.86,48948203,38722632,13317827,348949
8388608,812085.15,36209262,38481126,13247370,339857
16777216,599270.05,51127687,63594716,20769910,495843
16777216,589807.11,55183706,63208900,20648429,476949
16777216,590538.16,55705334,63201304,20652692,491228
16777216,583257.70,60783283,64199198,20981047,488347
16777216,606162.87,52812659,63190695,20648555,495566
16777216,600041.10,53157522,63710319,20803383,488103
