BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,317012.58,108747054,251741930,76764039,602163
1024,317489.23,108606850,252269809,76902683,615213
1024,321088.22,108602415,251077955,76514699,617274
1024,320604.76,108734122,251445970,76637969,623505
1024,321057.23,108368835,250866035,76455871,616335
1024,322068.42,108507835,251112951,76549700,620843
2048,537068.61,61594607,144790557,44825504,352083
2048,529781.56,61604106,145803663,45133053,335319
2048,552546.38,60261835,140432910,43511576,336569
2048,541916.55,60631186,140450490,43479259,347787
2048,527513.57,61606544,145053925,44905257,351377
2048,538778.80,61367207,144763706,44813855,334479
4096,833777.08,37314688,77996482,25095786,228277
4096,812811.78,37700235,77805926,25044815,232874
4096,762198.89,47871639,78786899,25328952,254098
4096,796821.83,36580273,76914410,24790991,212765
4096,803371.37,38196029,78528958,25251837,227511
4096,816161.25,38482683,78113989,25132612,251158
8192,1277393.92,19945863,44722486,15113635,179520
8192,1243497.26,19989219,44792984,15145581,188366
8192,1348974.43,19731827,44863074,15166365,169067
8192,1308072.51,19635938,44625024,15091737,167790
8192,1287234.88,19955854,44733824,15138966,175876
8192,1329557.88,19558237,44542741,15077999,187141
16384,2380594.31,11430335,24842776,9175872,140609
16384,2952572.79,11867980,25017148,9231315,150613
16384,2949934.41,11884650,24944587,9206686,146805
16384,2339364.67,11452389,24931971,9203571,134314
16384,2135924.57,11495550,25068515,9248061,132838
16384,1966281.85,12654227,25748362,9454547,149985
32768,3040139.11,7676268,15794130,6486160,135650
32768,2990304.31,7960720,15793916,6482575,129884
32768,3002573.72,7508170,15663927,6440183,132380
32768,2821169.39,7696893,15850717,6492246,128992
32768,2864890.62,7751755,15647542,6435443,128114
32768,2879220.58,7863788,15728415,6460137,129073
65536,2700979.75,9104642,17528841,6964491,222124
65536,2561696.75,9158584,17646155,6988439,222541
65536,2601643.33,8991820,17458200,6930694,218475
65536,2590688.76,9386559,17561247,6967130,221563
65536,2630824.22,9123141,17493716,6948341,218975
65536,2615085.48,8998431,17386305,6914435,218888
131072,3032990.15,8910025,16135559,6553639,196837
131072,2664617.94,8449253,16064023,6540814,199775
131072,2890933.73,8453751,15866650,6479365,201183
131072,3477854.82,8785517,15752798,6437935,201111
131072,2890017.38,8314675,15860259,6476110,195905
131072,2863156.82,8401855,15913448,6483039,196148
262144,2592776.76,8674109,16365420,6625259,197030
262144,2598075.66,8796880,16357331,6626325,198619
262144,2636461.09,8801021,16361983,6626144,197144
262144,2626185.65,8569844,16329286,6611268,195427
262144,2582680.05,8689243,16494864,6658993,199868
262144,2495510.49,8957795,16522197,6670144,200598
524288,2563003.19,9184530,16356168,6626551,196933
524288,2561800.83,8975126,16345680,6620169,198476
524288,2693431.37,9098225,16388290,6629740,199567
524288,2278239.49,10816293,16014322,6518820,202099
524288,2449434.79,9262519,16681542,6724413,198862
524288,2519079.19,9216330,16554959,6691405,201479
1048576,2388937.84,10478976,17126690,6847523,201193
1048576,2196655.95,11218513,17427172,6941856,205524
1048576,2471688.15,10478677,17294324,6900491,201552
1048576,3114453.64,12113927,16955809,6787534,203631
1048576,2307028.22,10312849,17232370,6883156,200493
1048576,2307046.07,10326603,17137462,6844622,202036
2097152,1740908.60,14166026,19780994,7633682,215311
2097152,1492257.09,16252168,20113889,7735947,219124
2097152,1508880.92,15982241,20231669,7777916,219030
2097152,1587615.33,16494164,19946849,7687397,220197
2097152,1626013.47,15779719,20210383,7776599,221314
2097152,1638219.24,15863681,20291815,7794576,219004
4194304,1030463.37,26481804,26098691,9534079,264275
4194304,1098989.68,24051453,25954470,9489969,260051
4194304,1046615.17,23996809,26009426,9508228,261628
4194304,1042246.93,27176252,26130007,9537713,266487
4194304,1326931.72,29466462,26049442,9506887,260738
4194304,1168857.15,21841503,26076175,9520811,259420
8388608,789381.78,37832915,38704150,13311178,344720
8388608,823092.10,36656976,38408596,13218388,345464
8388608,819011.16,37988016,38529328,13267549,339662
8388608,806847.62,37076942,38517909,13260823,340412
8388608,809968.53,37468620,38576923,13267577,345791
8388608,800434.19,38620429,38576543,13279155,345393
16777216,568335.67,65652697,64393914,21031602,485495
16777216,595535.16,54344539,63340782,20692626,493277
16777216,614285.17,52419490,63062753,20624503,488254
16777216,600218.55,53861665,63252101,20672221,480820
16777216,596330.74,53243042,63292414,20689854,488326
16777216,610159.76,53341652,63332799,20689246,493076
