BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,328882.76,108650257,251340955,44542046,32680943
1024,316911.28,108823929,251460935,44611284,32727675
1024,324472.33,108176251,250683760,44404126,32573581
1024,322602.75,108257356,250394220,44360219,32576059
1024,319764.93,108357216,250935656,44455034,32626970
1024,321725.95,108224546,250916391,44449421,32612533
2048,535587.06,61563117,145261754,25765396,19533256
2048,541568.92,60969046,142453647,25282286,19183474
2048,537998.73,61724314,146387388,25977318,19669471
2048,529453.71,60813280,142639525,25306677,19186967
2048,550755.33,61182270,143153186,25412154,19263595
2048,541414.14,61262934,142230103,25242554,19132488
4096,798044.38,38081841,78835047,14258534,11318866
4096,780507.76,38526655,79056524,14323340,11352378
4096,827840.07,36845206,77431015,13977034,11145055
4096,785750.33,36593808,78915520,14242466,11322553
4096,778346.91,38653062,78500217,14222468,11280598
4096,741237.65,38447181,78432328,14188295,11267383
8192,1298969.34,19539936,45005289,8221846,7151229
8192,1297380.76,19796186,44815131,8197597,7124204
8192,1336579.98,20049020,44788604,8198629,7123785
8192,1247023.70,19561360,44636808,8165802,7105067
8192,1295063.74,19593016,44678832,8174286,7104006
8192,1297074.47,19611165,44614576,8162673,7099280
16384,2130277.73,11718407,25262418,4739819,4691951
16384,2220149.22,11349976,24932263,4688365,4647653
16384,2138423.28,11452058,24938450,4684435,4649200
16384,2047877.36,11568060,25102728,4715408,4668535
16384,2115773.77,11384565,25071454,4720202,4666905
16384,2088760.71,11392170,24990696,4698861,4654675
32768,2941392.48,7692425,15614107,3055238,3489460
32768,2839267.18,7643704,15686929,3071403,3498910
32768,2890073.88,7547689,15671004,3071988,3504452
32768,2849885.43,7583568,15818595,3092727,3520581
32768,2887300.70,7618455,15673320,3070420,3496985
32768,2902971.06,7595461,15582531,3046359,3487822
65536,3068407.40,9857242,17639035,3416352,3783890
65536,2623288.92,8985091,17405462,3378171,3756826
65536,3005827.58,9445821,17500515,3399416,3767612
65536,2541738.03,9110206,17549527,3407662,3775415
65536,2591622.28,9116901,17564506,3407997,3779109
65536,2635094.90,8918747,17488301,3394434,3766426
131072,2703571.55,8297576,15866651,3114982,3560702
131072,2676127.23,8344921,15908142,3113923,3563214
131072,2709333.92,8227944,15939795,3121160,3569070
131072,2716955.04,8264389,15862137,3109782,3558475
131072,2734489.01,8361918,15882793,3111373,3565008
131072,2675649.59,8371425,15908371,3114777,3564712
262144,2753012.47,8662760,16224904,3169518,3607476
262144,2632170.42,8654549,16301257,3181533,3617047
262144,3895723.63,9348562,15847196,3094746,3557375
262144,2470694.14,8960645,16539646,3227665,3645724
262144,2957122.19,8840614,16136691,3153110,3596412
262144,2568106.37,8605869,16286111,3183955,3612934
524288,2673466.88,9053609,16357453,3189322,3630449
524288,2464122.83,9397811,16545807,3222302,3654041
524288,2561118.51,9202865,16430566,3203587,3641600
524288,2518269.11,9045537,16368619,3192466,3629623
524288,3147627.77,9548518,15982724,3118561,3580656
524288,2544713.34,8946216,16350374,3190788,3626878
1048576,2298696.46,10517274,17337823,3355254,3759903
1048576,2335603.66,10034792,17247204,3335748,3746915
1048576,2309087.35,10028330,17274661,3341944,3750503
1048576,2700806.62,11221829,17346503,3353463,3756803
1048576,2323654.19,10261706,17435351,3372380,3771274
1048576,2298612.81,10166384,17341636,3355728,3755021
2097152,1413263.56,18872342,19913926,3796238,4098521
2097152,1548974.04,16294184,20321907,3858609,4153248
2097152,1631654.24,14804604,19866831,3780996,4093401
2097152,1754962.99,14950181,19969232,3796135,4104692
2097152,1702585.50,14939772,19815448,3771597,4085989
2097152,1544487.98,15871236,20075275,3816755,4118285
4194304,1146280.67,24085792,26220681,4900024,4930335
4194304,1135782.78,23267882,25986748,4851584,4898613
4194304,1023096.90,26986943,26107145,4881619,4914145
4194304,1097246.50,23503470,26008331,4858643,4902264
4194304,1159616.05,22851219,26150650,4879415,4922768
4194304,1194675.36,22370476,25936261,4844990,4890558
8388608,797702.63,37288284,38875758,7105127,6583507
8388608,914289.11,42369673,38496490,7042153,6552722
8388608,820521.04,37269927,38505996,7035424,6551902
8388608,795018.18,37858693,38644926,7062190,6565681
8388608,800404.55,35126388,38521048,7040610,6557585
8388608,817380.49,36350802,38475741,7032180,6551710
16777216,607836.15,52093183,63333164,11346766,9800189
16777216,605948.61,52910291,63363655,11349537,9831005
16777216,597384.05,53103585,63419556,11360560,9836854
16777216,612488.92,53506249,63243075,11329579,9816845
16777216,592553.67,53051925,63457329,11361893,9850121
16777216,621861.86,51293997,63002411,11292884,9762193
