BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,878039.89,38370917,76264865,24736535,248203
1024,800869.06,37581712,75595792,24451052,245518
1024,801812.63,37137215,75680695,24548029,184485
1024,799268.66,37129658,75701809,24559656,203847
1024,814766.37,37098493,75703017,24556146,174302
1024,773034.99,37124643,75757842,24576630,188635
2048,1180800.12,20688292,40417469,13873532,174264
2048,1304171.22,20639022,40435229,13951464,174293
2048,1250145.57,20477894,40445432,13911445,178085
2048,1269229.51,21259073,40451687,13903736,201019
2048,1242972.75,20652636,40333082,13896468,186555
2048,1481030.19,22258645,42505365,14588163,160735
4096,1988897.70,12257055,22842188,8559529,184637
4096,2270949.62,12600757,22733111,8552380,215510
4096,2130654.16,12277827,22678750,8519655,196724
4096,1999772.20,12194628,22804972,8560565,183197
4096,2795110.65,12785865,22750477,8572592,195778
4096,1978259.84,12319222,22923995,8612814,169381
8192,1382690.21,18154738,32580669,12306231,241375
8192,1532323.62,16911724,31614751,11956759,216047
8192,1441135.85,17636133,31647717,11916576,270396
8192,1415709.56,18574279,34287640,12901430,233155
8192,1463094.68,16647183,32063160,11965104,223851
8192,1415120.80,17719734,31948748,12021845,246093
16384,1207403.22,20534388,37351196,14087130,271421
16384,1392360.34,24971885,40299970,15094456,302368
16384,1355427.74,24592439,41619170,15590986,293075
16384,1301925.67,21380808,38708685,14583996,261195
16384,1239232.98,21088819,37305712,14052125,303742
16384,1236351.30,21596550,38858993,14579906,267090
32768,1082149.22,24587120,42290825,15858249,367382
32768,957365.89,34481657,54023689,20101835,389577
32768,1182983.54,23360124,42090922,15883701,365260
32768,1191126.77,23291580,42394077,15957962,337595
32768,1188542.53,22894372,41594068,15657431,381650
32768,1057839.81,22747162,42065405,15778715,358893
65536,1061464.49,25351782,44836689,16745682,450430
65536,1226093.35,31857681,50970060,18988343,426596
65536,1093331.50,23179612,41290879,15533727,430387
65536,1033379.35,23535615,41328933,15465841,437134
65536,1042601.61,24321089,41221242,15403094,492748
65536,1042019.50,25948453,45030835,16897603,442039
131072,906899.17,16479022,26699162,9857619,443637
131072,898559.01,17170872,27035308,9984363,454035
131072,920783.23,16674666,27103036,9983243,439109
131072,902073.36,16769767,26771968,9875097,451062
131072,856115.69,18177055,26939750,9946254,463499
131072,901594.50,15620843,26354602,9759127,446427
262144,858514.15,18632423,27826465,10189768,450873
262144,801423.18,22431926,27834429,10226030,469025
262144,868883.80,17975424,27411945,10047197,448042
262144,839410.92,20285613,27633459,10145912,460689
262144,841391.53,19004111,27299944,10018091,451905
262144,871984.67,17999365,26980350,9963751,466131
524288,816099.46,20563565,28417380,10375193,464089
524288,823993.53,19636955,28289483,10322498,449525
524288,770417.63,22955552,28527125,10431307,474173
524288,757055.56,22727624,28640539,10448087,458266
524288,774936.12,21609336,28674247,10475368,452222
524288,780707.48,20468292,28712268,10465080,478511
1048576,671365.13,32616989,29689103,10801940,460414
1048576,646635.09,33130276,29587076,10737535,458716
1048576,631863.97,32684663,29822509,10801190,459769
1048576,630298.33,33720138,29566803,10711595,467952
1048576,621312.53,33864360,30050011,10888309,463452
1048576,599598.32,37178175,29654998,10737523,469223
2097152,564127.78,42053979,34283511,12228109,488174
2097152,550567.63,40724827,33186482,11812305,481616
2097152,532033.03,38670438,33655764,11973639,477287
2097152,557240.81,39885161,33179009,11801119,475922
2097152,554519.45,39286500,32667057,11683547,460957
2097152,530839.48,43802993,33683796,11968788,493532
4194304,526873.44,41545912,39910040,13903224,484352
4194304,522808.00,42917949,39709689,13820784,483226
4194304,521344.31,45310299,40022784,13896522,498298
4194304,515159.81,42659901,39683703,13834078,480072
4194304,511327.09,44922370,39591650,13756396,496020
4194304,514245.91,44320347,39416881,13674627,472922
8388608,457278.40,49390780,51569200,17367909,500272
8388608,461856.16,48331635,51631812,17374627,489640
8388608,470734.60,47892011,51998584,17507570,519566
8388608,457872.20,49363182,51925919,17502601,506386
8388608,456581.32,47913942,51981451,17528328,492724
8388608,456003.11,48488378,51989541,17552870,506976
16777216,393987.46,58878020,76947038,25032620,528822
16777216,398389.48,55188941,76654760,24970025,499517
16777216,399485.53,55690307,76723062,24941608,520252
16777216,389121.88,56511519,76520252,24921760,537919
16777216,389708.07,60505424,76895239,25026967,532022
16777216,400813.22,57069576,76671172,24949965,516681
