BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,811239.87,37239659,75518436,371844,1891
1024,811448.22,37159069,75604173,361196,1043
1024,912553.68,39058974,76183548,370679,5497
1024,808761.47,37223731,75691859,371628,2323
1024,809251.97,36990988,75524742,367156,1660
1024,984890.56,37253053,75394119,351380,1148
2048,1206054.89,20410440,40356315,337648,1532
2048,1242904.16,20490222,40443723,332817,1253
2048,1247159.93,20674139,40421354,366430,1521
2048,1255805.76,20587805,40453354,337640,1416
2048,1287001.62,20459050,40422540,342422,1504
2048,1289327.28,20442223,40388695,336324,1804
4096,2879653.23,12409055,22662211,353546,1721
4096,1996301.80,12341106,22671273,363084,1858
4096,2036218.66,12427051,23408513,362069,1881
4096,2031356.37,12577739,22711841,347147,2056
4096,1977264.85,12323782,23078150,324966,1058
4096,2216268.87,12411129,23607149,330314,1828
8192,1375031.07,18897498,35676880,491830,74652
8192,1484057.94,18023576,31939793,558672,82884
8192,1487171.01,17714011,32146071,466057,37330
8192,1495441.30,17298819,32377834,462321,32871
8192,1529586.79,16975634,31787549,434648,26052
8192,1427212.34,17632680,31924779,485200,46883
16384,1254943.52,22154169,38700284,602919,94478
16384,1264557.66,19240950,36931141,431645,21237
16384,1174753.96,20707725,37991270,529923,66228
16384,1526443.59,25371133,41777059,532469,67130
16384,1249853.72,21662068,39039062,469319,37423
16384,1242197.32,22185726,38112005,524389,61645
32768,1086246.25,23229594,41838790,521203,61483
32768,1066715.20,25509733,44124761,603630,109025
32768,1294710.23,25806993,44717148,494144,47919
32768,1155828.05,24285045,42377294,621023,107871
32768,1149988.35,24494872,42935043,596806,105592
32768,1090634.34,23169492,41583135,584825,93349
65536,934982.02,20847950,35362935,559571,81885
65536,1060333.31,26056452,44723976,609890,97387
65536,1081274.65,24683027,44056502,481806,44257
65536,1043348.81,20701596,36452893,472203,40779
65536,1039602.21,24472838,44144171,573192,82934
65536,1029799.48,22519873,40247968,510169,49235
131072,879428.93,17738621,27273083,656826,63132
131072,926722.19,16620435,26652148,719211,84313
131072,963131.07,19214791,27266258,777975,110299
131072,966199.21,18869161,27161910,766845,113097
131072,898319.68,16650379,26287750,638059,68932
131072,911796.45,16508044,26449350,628472,56789
262144,858867.98,18581532,27648741,917603,109014
262144,840350.80,18906173,27994370,900377,88636
262144,862435.45,17876727,27140541,917475,104227
262144,862088.39,17505555,27400676,898592,91334
262144,885948.26,17555481,27364545,819959,55006
262144,882516.67,18248748,27082090,874337,87498
524288,747464.08,23392863,28780553,997541,158911
524288,875976.54,19397907,28267471,974478,85355
524288,795283.05,21827889,27852832,982550,127433
524288,801713.46,20210000,28357958,1029584,126196
524288,828701.19,20271351,28594351,1004270,113737
524288,830761.68,20516708,28790543,1091665,142858
1048576,630437.87,32418481,29846847,1032069,272858
1048576,607079.94,33444263,29412767,1011491,266594
1048576,597085.68,36420282,29504178,985790,263567
1048576,638137.13,38023043,30498475,990417,309914
1048576,617755.48,31400493,29853058,1057259,267358
1048576,645510.66,32354935,29556649,1027505,256642
2097152,542994.11,40176202,33459331,1087534,341742
2097152,555274.48,40912665,33203501,963727,294856
2097152,551410.63,40589450,33484428,1041132,324451
2097152,547982.00,40818490,33369279,1025662,321052
2097152,556416.78,38329522,32998873,982540,300406
2097152,541201.78,40217240,33839579,1041591,324820
4194304,533180.11,50810179,39687832,1046521,326562
4194304,504221.52,44373413,39558069,1041483,322670
4194304,500737.09,46635775,40078801,1067579,333319
4194304,500163.25,42547588,39568816,1054336,329982
4194304,517646.04,43081621,39525837,1064791,337793
4194304,508536.63,44830391,39647452,1092489,347688
8388608,463403.03,47816730,52482695,1065452,328274
8388608,454207.90,55336334,52836726,1044480,355938
8388608,476796.99,49544380,52331483,1100162,358479
8388608,465850.34,49880741,51318608,1058035,318540
8388608,461879.92,49138837,51982468,1080459,330516
8388608,458443.59,50455103,51995449,1070364,324603
16777216,392406.29,58870846,76892491,1123997,328105
16777216,394601.69,57315526,76553373,1143487,334536
16777216,436887.16,62793327,76668358,1062680,314343
16777216,427968.91,57960826,76901904,1127239,336227
16777216,393297.85,59592020,76629574,1106692,320049
16777216,387082.61,57590061,77174814,1179573,342624
