BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,813496.90,37566100,75609553,14195572,10526022
1024,790063.86,37253879,75692000,14172284,10587736
1024,823005.22,37075817,75663850,14154763,10578019
1024,821607.28,37026814,75500300,14138498,10539520
1024,823489.33,37117405,75301419,14089358,10501948
1024,833473.54,37037487,75549538,14166866,10553317
2048,1243188.56,21173435,40098491,7697426,6308388
2048,1331132.91,21155133,40097374,7727569,6320234
2048,1278033.03,20802425,40485583,7757228,6370980
2048,1269946.55,20496214,40526071,7732060,6364111
2048,1266467.32,20517809,40479779,7742737,6376889
2048,1271704.56,20873600,40542920,7775768,6371655
4096,1996751.80,12203802,22984925,4550033,4248231
4096,1998560.63,12239950,22700192,4471754,4250796
4096,1981915.11,12242649,23133991,4603879,4247397
4096,1987650.09,12257865,22791956,4504199,4239648
4096,2084779.67,12279051,22812780,4494557,4258257
4096,2057479.23,12254179,22857996,4510998,4250137
8192,1471362.07,17664542,32553099,8061233,4398315
8192,1385129.16,18168925,33277178,8246114,4468580
8192,1682649.47,21623459,35528914,8640078,4774409
8192,1400129.16,18646533,33903877,8631597,4358610
8192,1507863.23,18334787,33020091,8050326,4529363
8192,1452462.94,17377057,31263344,7643204,4397855
16384,1219569.05,22977601,39906482,10668170,4564473
16384,1165911.06,21864012,38788954,10475093,4418061
16384,1228979.64,21907441,38589824,10360530,4432732
16384,1135904.22,21427428,37827578,10127989,4427255
16384,1149790.83,21366763,38180485,10252251,4402609
16384,1239732.41,19921843,37700794,10037876,4413504
32768,1121464.15,23871411,41765143,11380812,4663205
32768,1089593.20,23626563,41403447,11366843,4609136
32768,1088151.19,24678323,42448098,11695385,4604047
32768,1180868.76,23361057,42242018,11664136,4561379
32768,1159019.61,23197581,42406002,11635061,4614756
32768,1084495.17,22655600,40480312,11122461,4547487
65536,980687.27,18560388,33230445,8013468,4810944
65536,994059.44,24098457,40790931,10906863,4801418
65536,960783.81,21043689,36310154,9079681,4874591
65536,1060662.35,23517701,39923920,10639222,4777546
65536,1032090.21,22530296,39857454,10666216,4724141
65536,1001038.36,22120497,37775676,9837480,4764764
131072,880954.17,16316212,26808542,5312643,5012108
131072,908731.14,17120311,26510525,5285631,4970527
131072,910479.76,17065824,27716107,5736902,4974732
131072,863995.01,17840190,26745262,5276195,5033882
131072,881572.12,15684014,26828207,5407607,4971022
131072,974512.82,18681186,26575227,5218098,5034594
262144,855371.25,19110384,27509510,5418429,5152335
262144,861127.44,18438232,27751188,5477719,5157619
262144,862377.36,17999680,27142526,5324962,5092490
262144,824194.27,17750289,27264535,5401625,5096011
262144,882821.18,17899202,27439188,5466596,5085890
262144,872016.83,18474155,27719896,5449037,5150607
524288,755313.48,22575713,28304715,5584869,5230868
524288,772719.14,22393026,28347116,5645780,5190035
524288,770544.71,22666566,27792585,5459939,5176136
524288,791908.09,21598363,28572116,5643373,5258897
524288,772209.28,21073611,27991665,5523121,5179289
524288,790136.46,22299198,28340110,5554327,5246632
1048576,608756.07,34339042,29799294,5779899,5444875
1048576,598252.80,35743441,29816115,5825999,5427531
1048576,603748.68,35480356,30088698,5916065,5427061
1048576,596115.65,36551516,30420306,6004082,5452935
1048576,599014.25,34845770,30030034,5863968,5482849
1048576,622400.54,33586678,29557657,5856105,5350489
2097152,627510.30,42453595,32687858,6401347,5713377
2097152,551434.90,40555377,33335756,6462533,5865767
2097152,557287.27,37943724,33052470,6454264,5811004
2097152,537402.18,41450351,33108418,6446378,5822939
2097152,551130.26,40189173,33245499,6439079,5848409
2097152,551897.56,39357344,32951464,6430804,5816744
4194304,502999.73,44975166,39396909,7638472,6585301
4194304,502861.58,46904981,39917974,7690612,6667201
4194304,510177.81,43581329,39585928,7618322,6641490
4194304,515067.50,42999468,39813277,7758703,6609793
4194304,528352.04,43100154,39856160,7737823,6625508
4194304,495892.25,43399841,39684452,7586667,6677344
8388608,461889.48,50033889,51779009,9751285,8213632
8388608,458378.23,49711094,52023245,9749032,8247184
8388608,459347.98,46970000,51413170,9654439,8199574
8388608,456808.67,49448790,51996790,9754474,8244962
8388608,463905.03,48215838,51344984,9603310,8177620
8388608,501573.36,51210836,51916996,9698380,8274983
16777216,392459.86,56911874,76854433,14059268,11458915
16777216,404089.00,57593924,76447452,13919771,11453597
16777216,388804.57,58524318,76797850,14054601,11459036
16777216,398647.49,55066482,76325345,13968843,11405658
16777216,382987.87,61200337,76577183,13984640,11469634
16777216,396589.81,55196144,76564624,14028852,11419013
