BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,468367.78,64338435,154621234,48170053,255844
1024,476294.89,62855818,153573716,47834016,234301
1024,477301.14,62855237,154255533,48051912,244399
1024,474171.87,63562172,154820213,48230316,245324
1024,484541.44,62649660,153271015,47757794,243337
1024,218303.67,63379633,154564556,48159495,242545
2048,261785.34,36419341,86639531,27891627,225933
2048,259388.40,36571281,86511715,27842663,236323
2048,889296.86,37397600,87549996,28170839,231761
2048,712105.44,37025248,87291152,28099214,238192
2048,726685.65,36386648,86229097,27764522,225286
2048,725832.53,36726313,86985792,28004556,228660
4096,943359.66,22441455,51498745,17364042,202649
4096,263592.14,23616570,52101355,17574387,206175
4096,962152.14,22777344,51964308,17524448,214374
4096,961790.24,22748459,51848857,17484467,204801
4096,280342.89,22770329,51975253,17522705,199157
4096,947502.81,23190327,52916097,17821372,208244
8192,1643789.10,17182637,33819551,12068221,179273
8192,1234130.51,16965410,36199711,12870567,199462
8192,1524435.95,16010496,35096731,12483354,189201
8192,1230284.66,16540067,36374510,12876813,192431
8192,1370654.61,16805910,36479104,12925482,196576
8192,1538940.24,18011650,36300679,12856942,205507
16384,1756266.15,12503989,26452735,9896811,168485
16384,1669761.78,12610520,26547645,9925082,184576
16384,1685042.53,12749072,27149357,10103035,191384
16384,1678037.02,12367015,26269396,9831567,173393
16384,1688518.96,12514923,26397212,9860530,181490
16384,1716915.02,12374647,26224951,9814825,181838
32768,2033549.28,9689021,20310407,7994823,167250
32768,1941786.97,9523503,19928291,7875330,159805
32768,2054363.46,9736685,20434023,8028550,176176
32768,2035814.08,9736977,20189684,7953180,164389
32768,2013638.16,9620976,20353018,7994201,170028
32768,1988086.75,9458129,19774951,7820510,161660
65536,1936631.26,9209204,19103727,7618436,186087
65536,1940866.86,9478583,19775754,7829539,190641
65536,2085771.35,9478269,19880474,7851776,186863
65536,2056182.57,9654118,19823136,7841537,191617
65536,2028983.76,9575369,19700053,7805970,190950
65536,2051795.63,9576321,19897541,7877038,194104
131072,2887357.81,8019359,15349689,6433878,161313
131072,2200321.72,7790676,15553212,6495080,160779
131072,2366939.41,8244640,16098614,6680404,165049
131072,2304786.30,7719389,15389294,6444550,158123
131072,2194601.54,7689188,15558197,6496914,158037
131072,2306114.15,7664812,15506237,6473226,158437
262144,2450934.60,7825190,13787614,5948989,162877
262144,2535546.17,7557105,13683167,5917562,161322
262144,2419770.44,7631149,13623754,5904301,161306
262144,3080973.21,9126766,14641591,6227900,177253
262144,2544449.81,7431400,13781353,5955263,160942
262144,2529218.23,7376901,13526252,5867111,161625
524288,2506639.10,8159768,12848058,5643786,155533
524288,2456794.25,8381488,13272356,5785715,162654
524288,2337004.22,9086318,12561722,5557715,159834
524288,2286683.41,8779655,13291719,5785469,164652
524288,2363361.04,8398605,13418948,5823994,165887
524288,2494814.02,8042737,12733630,5607024,154933
1048576,918010.70,36713465,13614671,5884353,209915
1048576,1602737.42,14967029,12307146,5463687,171243
1048576,1190827.48,25462091,11970976,5357452,186694
1048576,1201140.34,30694858,12107814,5401268,203707
1048576,1168037.78,22337001,11740540,5284817,189018
1048576,1159342.54,23137134,11804582,5310031,187848
2097152,926715.84,29729835,15490322,6421941,213462
2097152,910364.13,30568445,15918025,6559933,215336
2097152,953549.43,27810507,15288276,6358079,208737
2097152,922257.53,30109492,16542036,6762008,222240
2097152,945098.99,28878099,15959147,6572868,217675
2097152,1040568.74,26036668,14693190,6166712,202705
4194304,788516.49,35855986,23358523,8817673,259974
4194304,804100.78,33608831,21426941,8198635,251013
4194304,770341.86,35042342,23471389,8849736,263111
4194304,781493.64,36186196,23221138,8784850,259251
4194304,903090.00,30989467,21461235,8192435,243544
4194304,779604.73,35000467,22454841,8521548,258913
8388608,715483.59,41057952,36541367,12782330,330066
8388608,728535.88,37815179,34450787,12105938,323379
8388608,715601.00,40439134,35227642,12330300,327761
8388608,745774.48,40464399,34769540,12198039,325991
8388608,738114.15,39943650,35344726,12372601,328703
8388608,714833.76,44603415,36197489,12660627,332999
16777216,598183.40,53240942,60296268,19837090,464376
16777216,593906.13,52748148,61955016,20385365,478903
16777216,639460.96,49459150,60410191,19858677,471445
16777216,611433.18,51255776,60569622,19919643,472962
16777216,579283.72,56130070,62971560,20661921,484418
16777216,590879.28,48221557,61951628,20331054,474767
