BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,213687.98,65081576,155684202,50033833,667452
1024,477285.71,63126516,154319740,49525884,632165
1024,472786.62,62941264,153380329,49269612,613200
1024,489104.58,62451279,153119196,49131788,599742
1024,343323.99,63211342,154826963,49693383,642921
1024,469616.32,63209585,154029579,49437382,618129
2048,733752.57,37290044,88005152,28083454,548664
2048,729309.42,36838060,87141268,27830599,538044
2048,796833.95,36844195,86883893,27751605,525867
2048,701128.27,37322668,87504030,27904372,541635
2048,715614.91,36834564,86711315,27717420,522988
2048,732474.45,36938759,86973763,27808584,531816
4096,1079450.78,24826869,50097405,15914241,383477
4096,285852.94,22900155,52183054,16558124,452939
4096,286506.21,22164664,51003200,16173324,426178
4096,279931.33,23580336,53118918,16870291,474141
4096,966714.75,22466683,51540703,16340289,431790
4096,945746.59,22892685,52186203,16563901,451903
8192,1232904.41,16876978,36860278,11576636,472894
8192,1340642.73,16580598,36299038,11370910,459474
8192,1317568.96,17060671,37091400,11619019,469853
8192,1328463.81,16513769,36256662,11363498,457278
8192,1294461.11,16694602,36733173,11495781,467141
8192,1255049.52,16792576,36610229,11471498,467927
16384,1602485.00,12539224,26466876,8211355,369841
16384,1684522.98,12523037,26578546,8260107,376409
16384,1662935.63,12391726,26443881,8183298,366241
16384,1607414.10,12221025,26263395,8125702,358205
16384,1616010.65,12682905,26632321,8247732,360826
16384,1635814.25,12389148,26518817,8208471,369125
32768,1915913.72,9414329,19904033,6069488,293464
32768,1953483.12,9629263,20188963,6196619,299031
32768,2063934.12,9549617,20040740,6152250,298847
32768,1951307.46,9730411,20447964,6269557,308049
32768,1982149.36,9483176,19945698,6117048,292794
32768,1957346.72,9399399,19657673,6024331,295051
65536,2054831.13,9497593,19546359,5984006,313291
65536,1974721.32,9483497,19662638,6000537,314678
65536,1950025.69,9486078,19712515,6019199,315696
65536,2012420.09,9534507,19869455,6054712,321684
65536,2071617.97,9445256,19544127,5978063,314532
65536,2091985.51,9586076,19860200,6058962,318926
131072,2339482.26,7817937,15403040,4687818,198080
131072,2266276.13,7750120,15647298,4730750,201874
131072,2199391.79,7650400,15560081,4702302,200222
131072,2229419.30,7679372,15471360,4698873,198072
131072,2202918.57,7684231,15598003,4718069,197078
131072,2192241.83,7581340,15478007,4671523,195230
262144,2505524.72,7851524,14199886,4272589,173943
262144,2457149.07,7657796,13976302,4194125,163659
262144,2411486.69,7854681,14021080,4235167,166694
262144,2519889.62,7682423,13802782,4162482,166442
262144,2561444.43,7603846,13675680,4088937,161721
262144,2640529.13,12420932,11974564,3565776,108614
524288,2853561.86,11606144,12393866,3687322,101863
524288,2344099.89,8595895,12774217,3807874,112431
524288,2777610.23,9017383,12997307,3881710,117107
524288,2468199.20,8605267,12495797,3730543,106042
524288,2276984.65,9241210,12941953,3865528,109514
524288,2476753.20,8719180,12883464,3855399,115756
1048576,1190622.29,21309751,11867670,3498838,42963
1048576,1223300.12,21867735,11667578,3471447,38340
1048576,1199684.29,19679604,11525622,3419295,39469
1048576,1153309.55,22363608,11907995,3517105,39465
1048576,1125745.87,23535654,13193786,3921098,48537
1048576,1638707.71,13876693,12301398,3628132,46873
2097152,929425.19,28996638,15918926,4767468,49644
2097152,924717.58,27917856,15709752,4738805,50495
2097152,873929.55,31004981,16751403,5040754,48869
2097152,900839.11,29747595,16546000,5001223,54790
2097152,921542.05,29546339,16247762,4910752,51114
2097152,935528.16,26921006,15527895,4680248,50316
4194304,756742.87,37461857,23279483,7107729,67625
4194304,832059.04,35452637,22734246,6927018,66707
4194304,845468.03,31638234,21574779,6571942,56231
4194304,818051.65,32934103,21857724,6661743,60593
4194304,820948.97,42051579,22734949,6936278,61692
4194304,781041.13,36547977,23968076,7357866,69451
8388608,734339.72,41088805,35715579,11035940,99811
8388608,712138.71,42270841,35106882,10852767,94442
8388608,693760.62,42044305,35779153,11060040,103553
8388608,730202.62,39173830,34782272,10745243,89374
8388608,743468.23,41408310,35314764,10859254,99410
8388608,727201.11,39969796,34794836,10762548,80594
16777216,587172.30,51025656,61006666,18951539,164518
16777216,583853.86,51608731,60179219,18786152,149232
16777216,608492.91,53143042,60439764,18764962,155199
16777216,598498.18,49792326,60013187,18686656,165163
16777216,556044.36,56244277,64161131,19847758,172797
16777216,588681.18,52374941,61492660,19075733,163027
