BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,476144.22,62647050,153578843,459050,9535
1024,472607.03,63096662,154318020,451593,9372
1024,479678.61,64173042,156177523,472483,11364
1024,468087.08,62957889,154383443,451997,6261
1024,487686.44,62767497,153580454,452668,8297
1024,475974.11,63163867,154396923,441384,8418
2048,708180.48,37431564,86569913,490305,21786
2048,706176.63,36913136,87142991,456715,11240
2048,701228.88,38102199,89420019,443203,9189
2048,256053.73,36993758,86782162,468065,19713
2048,731236.51,36705174,86803178,447842,9557
2048,736990.20,36401933,86534441,441545,9295
4096,939524.97,22861753,52390685,411839,5963
4096,290275.15,22524267,51445634,426554,5684
4096,282110.42,23262723,52715196,443476,10944
4096,1021228.58,23492671,53385824,423529,8782
4096,944585.45,23070105,52343127,434422,12144
4096,1016670.64,22763855,51933392,424900,8501
8192,1329032.56,16588036,36504687,417519,4182
8192,1260752.95,17072485,37233562,438038,4662
8192,1272561.64,16417765,35971985,425042,4863
8192,1309947.10,16716452,36455444,427090,5507
8192,1355810.69,16391286,35931626,407720,5064
8192,1270060.88,16898723,36792421,434685,6046
16384,1555996.99,12341570,26472698,417294,4516
16384,1679869.15,12437225,26434385,413851,4025
16384,1645287.23,12333868,26505559,392028,3572
16384,1680360.62,12273524,26198422,405946,4445
16384,1693275.84,12602162,26361932,435597,10477
16384,1627072.19,12615577,26494072,419732,9673
32768,1915988.42,9384231,19814648,473022,4283
32768,1877149.99,9440582,19974307,408530,2234
32768,1985325.32,9727735,20468900,458100,2756
32768,1969762.37,9812888,20631624,493195,4639
32768,2038267.16,9478925,19861170,489559,3413
32768,1985752.90,9879241,20776247,472567,2822
65536,1992752.68,9399863,19516475,481704,3532
65536,1954518.82,9476121,19740078,476881,2751
65536,2107202.06,9463747,19764191,483788,3081
65536,1952590.47,9395213,19705300,478009,2475
65536,1935521.16,9427900,19743026,461972,2382
65536,2070837.39,9510698,19763231,469994,2363
131072,2610309.69,7932903,15551377,527512,3531
131072,2195620.32,7765013,15658167,516545,4601
131072,2277617.72,7735141,15419524,536786,4259
131072,2185256.82,7746620,15532026,533933,3940
131072,2223284.57,7831228,15747604,521080,3568
131072,2217856.18,7827549,15777835,529793,3135
262144,2494919.63,7786208,14225038,729565,21335
262144,2588074.60,7549679,13877371,716523,25738
262144,2492002.90,7701487,14013828,716544,24041
262144,2530998.33,7538377,13757893,722940,26245
262144,2557106.55,7923048,13939940,736523,30897
262144,2547585.68,7604598,13837567,728088,24901
524288,2361758.45,8384878,13303432,789735,52719
524288,2365047.68,8985163,13000368,782869,68081
524288,2513939.96,8377846,12930096,773158,64988
524288,2317093.96,8594697,13300021,778503,49920
524288,2323581.15,9017264,12821535,789820,74886
524288,2328406.24,8974440,12761694,791354,70580
1048576,1513239.81,15468432,11661198,815294,163916
1048576,1129065.92,26811001,11627262,743167,279289
1048576,1256857.37,18859957,11840004,795486,266673
1048576,1179647.99,22096999,11837784,764722,288603
1048576,1219376.74,20476160,11749540,796222,286525
1048576,1371502.41,18262764,11608732,814768,225953
2097152,1052850.04,24331690,14865295,887429,270197
2097152,1051978.76,24195772,14732923,864441,274100
2097152,916327.84,30144336,17100333,929933,358643
2097152,902006.39,30837895,15902732,878248,356198
2097152,945225.13,26209389,15542037,905575,329992
2097152,951092.25,29446516,16090985,889934,347250
4194304,775938.63,37435049,23693169,973148,392674
4194304,776631.26,35028854,23192756,949986,380904
4194304,788831.38,36483943,23205716,966890,387884
4194304,775048.17,35536351,23139134,965297,399045
4194304,844122.56,32638027,22342346,967802,305161
4194304,760402.65,38414686,22494220,935158,400091
8388608,729621.58,41233338,35356137,1053574,416179
8388608,694625.58,41069205,36664650,1083872,437581
8388608,713027.76,39458421,35435147,1055510,416451
8388608,713251.34,40988711,36717153,1087677,446022
8388608,739778.08,46448668,36273725,1071913,432134
8388608,616688.96,56256153,36386190,965857,433131
16777216,606680.37,50585047,60734227,1220331,500423
16777216,605040.73,53116615,61319526,1270777,506705
16777216,614225.46,49470066,60511593,1172027,529013
16777216,602598.67,52708560,60840018,1264663,506611
16777216,586826.13,52857877,61249400,1253160,528652
16777216,594820.49,50808734,62889428,1327002,553083
