BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,482727.85,62599108,153191998,28120031,19866181
1024,478880.22,62927788,153862621,28245727,19943775
1024,477163.50,63629546,155173927,28513057,20112161
1024,473913.59,63292075,154509076,28366508,20028458
1024,477494.33,62356554,154213636,28255734,19982044
1024,474647.63,63383936,154894348,28446818,20067387
2048,255442.71,36231265,85781271,15984021,11854542
2048,720199.43,36526363,86217430,16081704,11907863
2048,717119.55,36420972,85928381,16028815,11867532
2048,255104.50,36776102,86855314,16199397,11987302
2048,259988.31,36285811,85952953,16028501,11869409
2048,761325.24,36588473,86319696,16093263,11909777
4096,991579.00,23008172,52228647,9927027,7890076
4096,932793.16,23591069,53449818,10161127,8035110
4096,1033362.84,23105136,52681287,10024416,7923603
4096,280666.51,23402546,52874348,10053063,7962573
4096,989475.30,23335993,53084691,10113346,7978564
4096,283335.14,23956523,54114792,10311145,8116092
8192,1302417.05,17068272,37268328,7260395,6121403
8192,1266424.93,16822685,36913251,7194393,6074590
8192,1288063.05,16891226,37068978,7212995,6094322
8192,1217738.85,16935947,36920514,7196227,6083842
8192,1266022.64,16873009,36972381,7208003,6075322
8192,1234163.23,17107067,37537854,7305758,6144189
16384,1703880.65,12219085,26038604,5166544,4756853
16384,2172410.95,13774874,25858689,5131043,4734223
16384,1613779.32,12088279,25995204,5150028,4752935
16384,323169.18,12551231,26383736,5238321,4813205
16384,1602464.56,12714146,26967228,5340091,4881276
16384,1662464.03,12292969,26301358,5217927,4790493
32768,2392710.97,10464722,20757762,4174729,4123815
32768,1919405.05,9498692,20040975,4021383,4033372
32768,1919713.57,9779918,20094744,4052716,4052221
32768,2331350.88,9621040,20316177,4083205,4073265
32768,2032516.69,9659073,20481150,4110199,4086345
32768,2513954.15,11161819,20556657,4140533,4098695
65536,2040519.05,9353426,19633074,3970131,3993459
65536,2000267.66,9400981,19743085,3996531,4008869
65536,1960864.93,9310698,19513481,3939559,3980274
65536,1989785.61,9732061,19645776,3970284,3999705
65536,2087296.78,9338044,19488128,3934751,3980532
65536,2101221.88,9625075,19650616,3958577,4001852
131072,2376208.03,7605123,15335594,3139946,3453998
131072,2263765.10,8035627,15631843,3187494,3498597
131072,2218679.37,7496819,15097727,3084696,3426212
131072,2402437.32,7471620,15229438,3103720,3441691
131072,2197507.11,7655808,15169420,3111320,3436945
131072,2229705.96,7705617,15289048,3121102,3452583
262144,2515490.69,7612648,13993113,2880087,3293284
262144,2475596.08,7749996,13999312,2873252,3296902
262144,2562832.37,7914293,13836105,2844061,3279476
262144,2590400.37,7667639,13756788,2829779,3269399
262144,2568307.70,7516499,13865378,2863912,3278972
262144,2525990.64,7669256,14191179,2924629,3317050
524288,2186158.40,10580611,11923888,2482545,3040931
524288,3003633.37,10856392,13323066,2745276,3214175
524288,2168646.35,11794989,11373328,2381551,2973297
524288,2497983.66,8160649,12745863,2626613,3145716
524288,2461990.46,7991018,13082977,2690931,3185517
524288,2596169.91,8948276,12588372,2599507,3127016
1048576,1164348.52,22024799,11754156,2446008,3029722
1048576,1229387.25,18938946,11725439,2437445,3025943
1048576,1127650.02,21771461,11827245,2466212,3042338
1048576,1250084.19,18729868,11764164,2442761,3029992
1048576,1341707.94,18014612,11699898,2426688,3022346
1048576,1172174.27,21179313,11922612,2478341,3050520
2097152,903680.36,30295033,17524388,3522442,3774197
2097152,932604.36,34522163,16588410,3332907,3662104
2097152,903744.99,30949968,15932108,3207530,3575177
2097152,973604.06,28419450,16354960,3288958,3628632
2097152,973509.88,26644798,16469105,3314634,3639266
2097152,954901.68,28305258,16388119,3299039,3631614
4194304,771831.05,35898026,23451044,4544533,4562850
4194304,792099.85,37521397,23807201,4617193,4605492
4194304,854810.56,31919961,21851576,4188143,4364465
4194304,779208.59,37440417,23767631,4598823,4604076
4194304,814556.91,32507735,22941354,4426413,4505572
4194304,820786.72,34553429,23379161,4527878,4551073
8388608,770941.21,47302575,35169816,6515914,6126539
8388608,718804.47,40477447,36649710,6831511,6305195
8388608,716793.64,41479678,36969905,6908630,6334205
8388608,720321.98,39727042,36582385,6811211,6295331
8388608,713448.62,41622152,36850855,6883008,6327334
8388608,724981.42,40538925,34632376,6423251,6057124
16777216,628527.29,49581881,62352921,11280999,9689727
16777216,623169.73,49679315,61361052,11055231,9588747
16777216,590741.22,50830436,64070814,11586599,9909084
16777216,599355.72,52684823,62806590,11323725,9748701
16777216,616528.21,50673245,62785830,11367365,9752745
16777216,591051.00,50135252,61203604,11015250,9575239
