BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,178125.79,207986394,558651889,180910918,913293
1024,179075.00,208123074,558691059,180646195,937726
1024,178124.04,207749758,558635340,180773470,901144
1024,177065.23,208100790,558672096,180908995,933554
1024,179585.96,208239892,558701866,180784411,930868
1024,179623.91,208071687,558659181,180632047,938881
2048,329387.95,108798087,287081520,92860420,486571
2048,329552.35,107984658,287100542,92993228,491122
2048,326315.53,108050813,287134334,92938515,484267
2048,331298.52,107990436,287100715,92943252,484942
2048,328683.45,108190976,287301989,92901262,511258
2048,358847.97,108049878,287336368,93049395,501685
4096,520112.03,66843701,177897111,57080820,414021
4096,501609.97,66869661,178021517,57094862,428062
4096,505174.37,66851816,178005972,56998590,424725
4096,500948.75,66811913,177893103,57041009,428036
4096,503652.76,66723128,177890320,56941811,434255
4096,500286.77,66793148,177907733,57152943,443365
8192,846963.27,35623562,94510943,29900870,241664
8192,1048743.21,36770799,94476459,29909021,247558
8192,814029.61,35428243,94492900,29941658,242724
8192,845316.50,35529474,94495398,29955873,241462
8192,873123.39,35526303,94472260,29929437,246556
8192,815449.95,35592112,94488514,29904748,242434
16384,1381911.78,19795039,52378519,16323202,132540
16384,1387102.87,20319473,52371242,16336639,128415
16384,1240246.59,19753406,52378326,16323295,132323
16384,1529068.03,20978304,52943275,16545413,130021
16384,1371022.39,19750981,52358694,16269956,125227
16384,1604869.04,21207629,53469553,16694707,133150
32768,1995072.03,12267783,31301524,9554421,67106
32768,2603581.02,13156427,31294693,9501834,66030
32768,2031164.28,12233256,31308907,9515492,66647
32768,2549216.08,12915861,31307955,9434246,69482
32768,1997959.82,12252364,31305757,9531392,67765
32768,2649854.02,12918444,31285664,9554811,66511
65536,1740237.66,14074583,33921779,10328457,51021
65536,2321283.21,14070650,33883273,10291172,47860
65536,1857344.53,14063585,33908290,10331960,49796
65536,2020703.03,14037741,33926560,10378362,51638
65536,2725962.97,14154302,33899524,10300012,47222
65536,1840804.53,14082178,33929627,10336261,50155
131072,2042615.58,12317723,29220091,8739924,34747
131072,1991174.28,12246736,29207861,8790044,34389
131072,1999291.76,12242881,29190554,8747573,32942
131072,2183402.38,12233176,29192131,8745086,30462
131072,1993750.00,12240238,29215463,8768372,34270
131072,2002708.51,12223077,29204414,8725032,31538
262144,2061107.35,12626179,29616674,8868128,37527
262144,2019342.42,12943472,30370934,9117234,42846
262144,1945485.19,12583863,29610722,8974033,37390
262144,1955452.35,12655852,29633077,8908124,40340
262144,2039992.34,12567220,29623855,8910812,36356
262144,1947103.80,12573131,29603695,8947861,34362
524288,1992466.04,13116573,30036129,8990164,37704
524288,1888477.53,12953310,29320266,8846199,37491
524288,2929529.92,13318205,29282421,8813909,34639
524288,2042040.62,12801152,29315334,8810723,37785
524288,2006851.43,12659615,29293749,8751284,34515
524288,1935415.76,12645230,29305455,8725915,33978
1048576,1773172.23,13741374,30830667,9267304,39876
1048576,1811121.92,13571034,30811761,9264975,42217
1048576,1786827.05,13681266,30800832,9280315,38386
1048576,1914508.82,13584332,30802757,9300843,41074
1048576,1837234.18,13901131,31664019,9563316,48526
1048576,1906562.52,14018295,31677531,9534748,49470
2097152,1500589.33,17769422,36373726,11048815,64632
2097152,1484644.95,17179222,35419856,10787018,56663
2097152,1419440.12,18395183,35856718,10883462,63071
2097152,1390678.40,17529708,35897674,10897554,62828
2097152,1609426.10,19360121,35861030,10898494,61061
2097152,1669560.53,19115568,35876930,10831226,64406
4194304,893938.97,32321844,44902506,13747877,89284
4194304,764824.65,39042844,44949804,13770272,91737
4194304,893955.23,32753953,44478507,13601894,84419
4194304,835320.84,35883671,45041668,13769527,91326
4194304,814485.86,41403530,45331355,13864458,107839
4194304,824785.64,40955239,44652006,13619065,85982
8388608,635256.68,47925658,62877916,19461867,144199
8388608,681122.40,46565509,63182474,19538595,145950
8388608,661266.71,46819002,62539060,19375642,145891
8388608,681505.37,47745942,62544876,19381978,148216
8388608,679858.40,46140764,62076852,19267765,132351
8388608,706930.05,44369884,62276380,19294232,124739
16777216,543829.97,60022609,98908204,30941475,248115
16777216,619177.14,60024452,98842509,30928424,235965
16777216,664129.35,55674868,98606428,30831146,265994
16777216,629084.69,53297366,98648179,30914480,231483
16777216,709775.84,53673258,98535881,30814103,227108
16777216,593473.52,55156004,99345290,31171926,270818
