BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,178824.55,208101724,558703457,75091,2290
1024,179479.14,207718064,558631233,65129,1284
1024,178856.48,208094449,558675932,71362,1193
1024,223617.23,162472454,434887423,74250,1289
1024,225622.05,161086469,430852170,73138,1116
1024,178469.10,208440173,558708730,73963,1553
2048,330896.89,108026620,287146881,39156,1629
2048,324675.16,108233410,287129789,39632,1891
2048,328437.09,108170868,287176345,41886,1681
2048,346405.46,108892791,287152537,38202,3633
2048,325576.64,108526318,287156844,38740,1581
2048,326560.49,108230723,287170363,38857,1883
4096,497747.82,66997399,177901868,37330,2795
4096,495535.11,66531236,177924698,31863,1801
4096,504354.57,68080900,177925699,39326,3527
4096,539658.17,67241995,178720942,37224,2879
4096,549664.12,66911883,177864612,30160,1552
4096,504398.24,66632488,177931257,30105,1139
8192,808041.32,35390922,94489849,17956,1487
8192,834702.08,35542539,94508623,19047,1930
8192,830276.28,35521987,94527307,18675,1562
8192,963713.55,35439673,94487607,19745,1563
8192,1109510.68,35378772,94423099,17500,1082
8192,876543.50,33077800,87802493,22646,1967
16384,1336149.87,19697279,52367682,13879,1827
16384,1350825.75,19744660,52372725,15598,1885
16384,1395856.06,19675766,52365158,12698,1807
16384,1248482.33,19769801,52380910,30941,1878
16384,1380979.29,19767251,52342936,12029,2152
16384,1548699.95,19773441,52382459,17923,2649
32768,3109100.77,12487850,31337596,139583,4022
32768,2409037.25,12302235,31332633,114114,2914
32768,3065599.70,12242283,31281735,89695,2611
32768,2000398.22,12232252,31304518,144468,2693
32768,2410632.33,12186483,31279948,144439,2567
32768,2035626.33,12266041,31329575,134280,3043
65536,2426872.45,13391392,31889073,88893,3700
65536,1996255.14,13350471,31920372,86721,3614
65536,1820524.02,13422787,31914795,83272,3106
65536,1831312.43,13366232,31897153,44493,3445
65536,1959136.54,13388072,31882234,87009,3341
65536,1822090.95,13394301,31897631,81473,3464
131072,2133575.30,11896545,28195799,146877,6011
131072,2075529.75,11932266,28218552,155895,5840
131072,2061788.55,11872459,28194993,138900,5949
131072,2050958.18,11930280,28198444,139743,5779
131072,2052685.51,11923741,28197671,147956,5961
131072,2041507.20,11931289,28208931,132577,6537
262144,2167530.13,12215172,28595536,392484,11494
262144,2010960.72,12305298,28630090,297691,14479
262144,1995188.10,12276038,28612115,334673,14712
262144,1984870.60,12328201,28606153,355346,15744
262144,2038055.59,12272049,28602391,253246,14000
262144,1957835.76,12648022,29098656,418816,22452
524288,2017591.58,12697973,28596994,502015,22652
524288,1949200.56,12578705,28566344,571108,21972
524288,2691333.19,13340458,29307218,437905,24033
524288,1943736.33,12589247,28558463,555748,24152
524288,1139464.23,31513235,29332848,465694,100264
524288,2037872.38,12598376,28560798,560633,22715
1048576,937287.14,40204922,30404156,609306,142955
1048576,2089253.36,15617002,30239459,509080,53001
1048576,995590.18,37092162,30692461,513579,120577
1048576,1922641.60,13993353,30196877,600544,40096
1048576,980020.65,36764294,30269109,535347,124937
1048576,1817416.27,13465950,30189500,553343,30671
2097152,709072.54,50761507,35386447,569418,170437
2097152,1446331.30,18317557,34808292,557085,81997
2097152,784457.02,46222166,35425297,539600,185080
2097152,1390546.71,17533078,34860577,542367,71275
2097152,1391257.44,17537541,35266681,618061,73387
2097152,1524162.30,17053477,35258620,676024,59547
4194304,1024266.81,31865725,44309140,761573,139572
4194304,930036.53,32912235,43836763,624599,146748
4194304,999551.71,28303989,43867861,586125,146079
4194304,913801.56,32195768,43841085,582465,174019
4194304,1001312.99,32319396,44262877,616111,157782
4194304,972173.43,29618091,44282121,628543,155005
8388608,761854.15,40136347,62036363,706373,190624
8388608,736447.70,43118531,62607341,732258,218013
8388608,742337.76,41345503,62635952,756036,203620
8388608,487200.00,68581843,62909021,707130,309381
8388608,716316.39,41980663,62229918,707959,194976
8388608,719854.10,43470282,62091208,730862,194525
16777216,564922.10,56978869,99438941,986634,303905
16777216,618064.80,52712564,99073124,1005397,290873
16777216,716476.49,54751018,98936198,960882,286890
16777216,588347.08,53622774,99269446,981777,289007
16777216,597742.35,53490067,98599958,956392,283061
16777216,653237.83,55215333,99163948,965129,289080
