BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,222533.52,165142264,441131504,77824282,55330875
1024,178471.52,208197733,558854613,97933958,69945901
1024,177765.47,208706748,558756786,97952424,69839178
1024,181484.48,208290468,558718387,97812495,69874003
1024,180041.17,208167484,558683730,97862848,69838797
1024,178081.32,208766278,558661481,97809283,69854840
2048,328657.14,108284374,287173791,51130789,36888081
2048,329462.59,108533465,287170313,51162532,36872445
2048,327580.56,108282691,287166145,51170268,36876737
2048,326932.58,108266209,287215808,51122016,36909991
2048,328257.18,108046904,287169555,51122038,36923001
2048,329762.19,107698732,287149561,51097074,36817585
4096,581360.77,55243925,145725805,26833017,19746433
4096,602392.95,55065332,145705583,26797507,19722186
4096,588962.38,55681892,145941157,26838487,19743991
4096,583023.50,55365286,145742731,26830220,19734193
4096,605904.49,55188740,145721264,26827945,19711367
4096,662550.98,55376330,145732417,26847272,19773412
8192,971686.62,29736492,78424871,15125695,11534433
8192,978432.88,29798787,78465475,15122000,11528300
8192,940193.49,29791238,78374347,15137041,11532211
8192,979031.52,29792943,78380782,15133122,11536558
8192,959317.35,29807596,78334255,15117817,11506303
8192,960076.17,29672195,78376144,15095473,11521094
16384,1535715.75,16813090,44332182,9219458,7403739
16384,1466723.93,16829664,44332939,9227481,7399223
16384,1598581.47,16781202,44298767,9217916,7398551
16384,1522247.98,16847083,44343246,9237982,7429357
16384,1539242.40,16840371,44336678,9241410,7433744
16384,1461727.04,16832638,44312082,9232529,7425169
32768,2360371.62,10683231,27266571,6330567,5399869
32768,3595809.32,10859115,27310678,6332658,5421751
32768,2587044.33,10692858,27267796,6328578,5388446
32768,2811736.04,10785486,27305788,6327934,5434095
32768,2405042.34,10783819,27284250,6335420,5417763
32768,2265213.65,10779941,27272189,6331443,5408494
65536,1791040.38,13651682,32728043,7321691,6289964
65536,1947192.38,13721645,32781909,7329733,6309219
65536,2339332.94,14865936,32720900,7344493,6291526
65536,2765445.85,13720811,32725559,7311253,6288443
65536,2352107.21,15375783,32713973,7337573,6305881
65536,2256904.39,13684103,32732550,7318207,6296892
131072,2317833.82,14734151,28617718,6612829,5797421
131072,2018908.36,12093906,28657525,6595789,5788750
131072,2308502.09,15462589,28626647,6615657,5796722
131072,2093801.86,12153790,28673015,6600058,5801036
131072,2345248.47,12096650,28646580,6597285,5798259
131072,2158224.05,12044085,28623670,6588916,5791157
262144,2051856.42,12407124,29149072,6676424,5829277
262144,1973896.64,12419399,29152382,6676406,5830618
262144,2270055.12,12512396,29157152,6679769,5829613
262144,2499909.91,14274785,30391601,6908521,6001223
262144,2430658.98,13362172,30408721,6905057,5999668
262144,1977576.47,12461452,29136461,6671529,5828909
524288,1922858.69,12708478,29334535,6713313,5875638
524288,1933667.73,12635531,29334234,6713793,5875104
524288,1926291.66,12733403,29340751,6716244,5875870
524288,2014004.47,12736031,29342256,6717159,5873166
524288,1693226.62,21024565,29410234,6744611,5881815
524288,1973271.39,12894815,29357892,6719800,5877360
1048576,1850130.70,14310552,30904118,6991499,6086445
1048576,1816546.26,14413178,31577382,7111238,6173270
1048576,2643636.88,14418961,30798150,6967787,6069783
1048576,2059834.57,14374362,30833597,6975332,6073152
1048576,1805771.95,13533836,30811919,6968740,6069695
1048576,1879605.86,13895103,31586823,7114260,6174278
2097152,1627367.95,19244824,35437234,7786946,6668107
2097152,1502242.20,17252468,35466325,7789629,6675002
2097152,1475470.81,17702188,35464137,7789149,6672272
2097152,1525168.40,17734852,36392689,7955316,6796707
2097152,1387208.42,17692338,35515895,7796090,6679228
2097152,1445621.99,16920441,35457086,7784682,6669572
4194304,1049482.60,27735650,44476196,9376365,7841709
4194304,1019174.20,27747758,44429795,9367952,7835278
4194304,1053964.68,26481605,45009917,9466962,7913609
4194304,994987.56,26031378,44460817,9370406,7837707
4194304,1035815.82,26057512,45330106,9525449,7953434
4194304,1157081.42,26602636,44537926,9385409,7852014
8388608,806950.44,37288869,63680989,12717398,10335577
8388608,799396.06,37985810,63973150,12768050,10371446
8388608,850942.00,40019564,63022977,12598460,10249135
8388608,793327.62,38980890,64026034,12778063,10376224
8388608,933799.86,40502897,63237644,12641307,10282508
8388608,773156.07,39510158,63127408,12621773,10260822
16777216,586302.82,55786000,99593375,18950154,14997640
16777216,605064.54,53518182,99597189,18938981,14999503
16777216,609082.89,52898522,100190295,19044810,15080854
16777216,595594.64,55390988,101005555,19188506,15158274
16777216,607525.78,53536013,99599589,18955291,14998420
16777216,734365.66,53452764,99197019,18875929,14944701
