BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,480184.15,68072960,170761797,54311080,2578
1024,492553.48,68236257,170759938,54314386,2063
1024,497113.54,68274002,170739143,54370995,2680
1024,488358.09,68128698,170770455,54422740,2245
1024,490993.20,68110938,170706444,54292901,1209
1024,493925.61,67956399,170755082,54340303,2499
2048,820959.31,35921390,90172854,30310134,42679
2048,824761.35,35759120,90180449,30356556,1757
2048,837870.13,35634645,90121625,30300807,1086
2048,810364.32,35952369,90178658,30319585,43365
2048,1099028.19,35721065,90102178,30294766,1442
2048,818741.67,35684155,90139455,30326947,1429
4096,1336823.24,19405439,49587687,18237836,1259
4096,1695644.32,22160882,49564095,18263253,22681
4096,1258579.84,20474068,49645145,18258765,9821
4096,825831.41,20190825,49654324,18278412,4009
4096,1293062.19,19601901,49571235,18238209,2362
4096,874793.48,20026415,49880023,18343846,3571
8192,1046147.51,18825777,46392120,17264587,36710
8192,1377223.06,17758867,46042182,17166213,41876
8192,1520939.15,17660293,46071182,17149611,29258
8192,1503334.40,17677759,46037571,17134765,39136
8192,2185624.42,17936192,45999116,17134532,65246
8192,1503950.14,17677509,46017440,17126642,34960
16384,1528290.14,17061973,44263156,16644845,177498
16384,1596253.57,16895891,44279367,16628084,127477
16384,1453895.83,17294535,44344061,16637973,259816
16384,1434483.52,17023461,44270328,16628562,183854
16384,1530233.01,17075350,44253896,16607310,224952
16384,2125216.86,17173383,44238617,16588142,167039
32768,1887530.27,17248910,43366977,16319685,569976
32768,1587495.13,17067219,43385064,16322182,573619
32768,2283278.81,17157290,43355441,16315997,568766
32768,1590914.63,17057773,43387324,16329458,567384
32768,1524450.75,17164109,43404233,16330369,565040
32768,1602472.59,17150559,43365474,16314761,564394
65536,1546944.69,17603237,43441169,16328626,658368
65536,1486469.70,17560486,43411088,16323256,660606
65536,1499179.61,17656805,43415504,16320985,650396
65536,1504056.22,17772155,43434229,16326067,673800
65536,1412454.64,17534606,43389889,16313473,664141
65536,1515393.72,17672910,43407636,16318805,675500
131072,1444028.13,17629005,43490645,16337002,657715
131072,1424551.21,17689402,43504583,16343510,667921
131072,1505530.15,17410264,43511200,16348423,635372
131072,1832131.58,18301453,43497028,16345171,660618
131072,1448655.30,17891310,43541656,16363420,650372
131072,871036.30,19730801,43531488,16361669,682614
262144,894927.14,21469762,44761082,16731817,688819
262144,857015.13,19211760,44515644,16653480,682314
262144,1421538.75,18391233,44473395,16641918,668556
262144,1526958.45,19771614,44464630,16637784,675521
262144,1020456.72,18818238,44505047,16652763,672810
262144,1467834.03,18859609,44468386,16638196,670496
524288,735652.48,22854127,45705795,17021724,692030
524288,742218.25,22526252,45701029,17019911,687432
524288,773883.64,25841477,46124676,17155503,699458
524288,1070315.10,22538823,45870228,17072151,692949
524288,806789.45,24341533,45714653,17024103,688290
524288,625644.50,27150628,45689759,17020353,693792
1048576,569279.54,30701923,48405854,17846386,714912
1048576,574256.35,39261749,48352127,17823846,719175
1048576,965211.81,29932238,47941459,17694902,698708
1048576,963269.76,29034270,47987080,17704095,688886
1048576,450681.58,42228380,48411222,17854773,708624
1048576,410669.54,46273790,48537673,17889393,709767
2097152,349984.55,54531526,52916430,19231070,730062
2097152,410213.53,58766430,53345239,19345297,727565
2097152,325204.65,66312687,52874646,19208896,734276
2097152,332507.86,58545408,52950378,19237444,731049
2097152,553657.75,56722441,52644787,19123641,729366
2097152,300784.80,61821762,52888889,19214647,732262
4194304,324214.40,63633734,62150110,22014579,747053
4194304,307586.72,79273799,62025740,21969464,760307
4194304,313139.79,74337317,62069823,21982324,752806
4194304,267931.56,66970692,62079508,22005141,748185
4194304,287715.86,77585736,62373667,22079709,744247
4194304,263631.15,83632048,62435956,22104973,756310
8388608,237681.39,90098775,80626067,27598449,770075
8388608,276150.91,79088899,80383768,27514621,761217
8388608,376264.55,86553604,80420107,27526544,777654
8388608,345222.90,99949446,80141084,27436795,784557
8388608,346789.72,98378536,80502863,27554584,770752
8388608,342386.75,98273957,80406607,27515112,778821
16777216,306635.54,114135675,117104856,38611123,822827
16777216,351006.44,97937269,117155436,38622922,822583
16777216,431534.38,79005430,116558452,38457344,786442
16777216,436711.25,76505566,116590477,38458312,787988
16777216,405341.09,92019480,117432308,38707446,797789
16777216,449235.50,80731266,117029914,38573896,779996
