BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,432589.83,76352911,170933323,54400840,8875
1024,414082.31,78428277,170864636,54363944,59041
1024,435482.66,77148053,170735508,54392553,8359
1024,437278.15,77769701,170699547,54241908,7389
1024,396614.59,79040257,170753575,54285301,8250
1024,460616.98,78659296,170783741,54380398,8033
2048,740004.99,41003834,90129013,30307807,5429
2048,916039.46,35774358,90157328,30334178,2094
2048,1102738.52,35593902,90088286,30305280,1407
2048,817598.62,35813967,90121428,30316857,1484
2048,836998.07,35640456,90113115,30322184,1173
2048,838261.39,35898596,90168625,30331549,2671
4096,2020080.49,19396198,49554407,18229270,1222
4096,1319637.86,19431128,49618398,18267226,1770
4096,1419821.38,19494954,49605448,18270601,2192
4096,1609115.19,19428122,49595216,18252280,1362
4096,1460090.09,19506210,49603384,18291924,1437
4096,1373163.88,19504193,49585705,18243555,5249
8192,1218836.06,17937232,46066106,17150866,130199
8192,1380668.01,17847252,46067999,17158593,20025
8192,1136842.77,17841782,46045554,17144957,34065
8192,875106.18,17835725,46053399,17153900,30438
8192,1639848.92,17744233,46046596,17143457,38972
8192,1122522.93,18473126,46078456,17154137,12353
16384,743083.09,21280274,44360251,16652985,189740
16384,1421545.76,18649209,44254408,16608439,104779
16384,1544493.27,17229559,44291112,16618581,286056
16384,589001.81,20185509,44306996,16628576,126388
16384,1462003.16,16765865,44255687,16622686,127166
16384,1572118.71,16990740,44252051,16602448,270438
32768,1543536.40,16920839,43375155,16322503,569679
32768,1462715.98,16980021,43366556,16315256,549941
32768,1542863.61,16961404,43362250,16323747,552702
32768,1536913.45,16965247,43383413,16328736,558223
32768,1547724.25,17022959,43376369,16325215,560784
32768,1448915.88,16986551,43391399,16334048,540310
65536,2244700.53,17469412,43366626,16305171,649974
65536,1400485.61,17501436,43398431,16306708,656671
65536,1499352.99,17529954,43392462,16310366,656471
65536,1486682.75,17578679,43414066,16316938,650942
65536,1640295.38,18045255,43442964,16328225,673149
65536,1484146.46,17763457,43432060,16325534,654468
131072,1375890.22,17812925,43501769,16344676,675227
131072,1391028.41,18061875,43535395,16358230,653277
131072,1526370.88,18034580,43506055,16349935,665241
131072,1139225.38,22065807,43860732,16463581,667451
131072,824218.44,19759640,43530386,16356447,677222
131072,1452180.82,18115954,43552339,16366068,655397
262144,1125247.66,19793024,44797032,16744248,657789
262144,1166137.66,21131417,44597698,16686585,680478
262144,1274604.81,19881216,44490276,16640844,690415
262144,1277629.00,21090252,44522125,16658609,669831
262144,1206828.31,20444599,44495148,16643500,684987
262144,962323.62,22054588,44530096,16661769,675580
524288,777682.02,26907841,45719256,17032415,683293
524288,632223.66,27736705,45741279,17026663,668623
524288,539697.14,33956780,45800293,17056847,690076
524288,435087.69,39871942,45849493,17081305,709857
524288,599577.60,31996818,45954473,17098415,677665
524288,648413.89,31280637,45792190,17048169,685262
1048576,627311.06,50054008,48072153,17733781,715585
1048576,1036886.17,31346859,47997292,17714310,690993
1048576,610350.88,51813315,48098827,17747153,724463
1048576,903771.82,29105614,48138192,17757624,700629
1048576,665870.27,47719050,48085961,17738967,714855
1048576,609540.08,42344769,48369698,17830436,703034
2097152,287062.86,69868644,53245867,19327892,736592
2097152,341468.22,69996461,53393854,19379819,736791
2097152,273347.30,69540486,52862289,19210133,722169
2097152,328396.23,74016256,52858921,19195918,727025
2097152,361631.02,64189319,52849930,19189935,733010
2097152,299558.33,67257406,53072152,19275636,721378
4194304,351867.48,100963349,61882844,21905383,756334
4194304,343919.81,104889487,61854733,21901845,749167
4194304,328502.39,105770525,61870879,21913878,749202
4194304,339297.24,102551951,61923655,21933680,746303
4194304,337676.31,98682962,61910443,21928687,759801
4194304,311684.41,99275747,61873177,21913923,756374
8388608,307386.01,114471747,80287446,27469728,774784
8388608,277129.38,128267822,80382731,27500402,777029
8388608,284595.93,127494955,80420050,27512494,779137
8388608,303326.88,114771864,80372466,27506390,780316
8388608,309684.18,119661649,80359809,27496861,777389
8388608,312384.29,115952087,80186787,27441176,767866
16777216,264720.82,136523143,117202639,38635060,829959
16777216,244100.22,144668206,117205783,38625747,834382
16777216,173177.86,137565215,117841116,38849785,846794
16777216,421122.72,82778444,116987870,38575791,802792
16777216,418312.71,80190547,116912436,38544044,792674
16777216,475757.55,75271962,117021547,38587812,781371
