BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,485116.52,70012842,170792567,42335,3343
1024,484507.33,69677226,170928905,42145,2731
1024,488265.54,69726588,170768066,44097,4477
1024,482250.46,69533821,170743808,38686,2039
1024,494906.78,69390609,170728698,37751,1683
1024,489242.89,69063085,170791127,39862,2216
2048,1095695.39,35830946,90083913,19239,848
2048,1079106.66,36288242,90097215,19009,1478
2048,802270.73,43076532,90192381,32553,9844
2048,714353.60,40113271,90160020,27642,6756
2048,805584.17,35998966,90549671,23192,1165
2048,846389.20,35753691,90169095,20058,674
4096,1400843.48,19422605,49585419,11063,585
4096,1362409.48,19497474,49610308,11285,718
4096,1375807.58,19428967,49595142,10225,577
4096,1360026.17,19426189,49617214,11610,671
4096,2023764.49,19381229,49550375,11284,689
4096,1304467.33,19453765,49617024,11255,608
8192,1487948.74,17610132,46061616,12286,952
8192,2090153.68,18126350,46053372,19848,3818
8192,1538103.47,17565217,46056054,13158,1131
8192,1400994.08,17629894,46055508,12563,1209
8192,1486626.09,17552971,46057065,12690,1135
8192,2163186.16,17920062,46048147,14417,2614
16384,1450260.72,17098828,44265234,20897,3263
16384,2229167.45,16659808,44253294,13777,2046
16384,2289340.60,17117694,44228677,13948,2102
16384,2308569.34,16953723,44539516,17526,2745
16384,1456815.59,16819161,44251900,17876,2418
16384,1544294.10,16864120,44264122,18710,2245
32768,2233697.64,17178240,43360291,25988,3369
32768,1542748.33,17018411,43380597,25395,3954
32768,1499015.71,17088779,43398938,29470,3809
32768,1464033.20,16933536,43367734,20598,3173
32768,1449832.71,16904784,43366250,19949,3325
32768,1597885.97,16991131,43356016,27373,3339
65536,2246778.10,17424404,43379724,25323,3842
65536,1511825.58,17426778,43391540,30908,5082
65536,1508471.95,17494729,43407503,33586,6431
65536,1518223.02,17433501,43402296,28867,5252
65536,1511306.33,17405232,43395363,25826,4521
65536,1389213.64,17645780,43413898,29322,5490
131072,1354601.35,18020745,43515337,89012,12322
131072,1367067.61,17864823,43515900,79643,12196
131072,1496601.55,17798922,43496150,43981,10461
131072,1458486.92,18781034,43922752,118205,22647
131072,1496555.84,17938961,43492913,117256,16245
131072,1436637.11,18112608,43507980,50548,14346
262144,1262408.93,19591248,44508993,279634,44258
262144,1242461.04,20156875,44516630,274536,50683
262144,1304614.96,19534497,44495774,210330,33442
262144,1252837.93,20041031,44476634,191409,44082
262144,1285402.90,19596087,44478073,211271,38351
262144,1180645.67,25014395,44518218,262613,62129
524288,1584268.90,24764840,45582296,426461,48162
524288,907827.11,32665569,45676834,449909,162488
524288,745751.21,30198320,46119288,448835,101698
524288,765773.08,41401488,45669810,393380,180666
524288,702122.21,41950134,45822640,478543,198617
524288,653062.85,47119541,45723526,430476,211094
1048576,525697.91,42957552,48392784,585007,231015
1048576,520397.71,44347631,48375420,596276,262883
1048576,685109.41,44484317,48175049,557803,247315
1048576,449893.56,53732048,48365672,588066,283583
1048576,350378.30,58766726,48183284,541299,316331
1048576,455405.52,53696217,48344352,561326,301802
2097152,575039.21,58500864,52638482,569527,305437
2097152,540891.15,60847092,52622188,555991,311332
2097152,535518.32,62763267,52636866,571246,316241
2097152,495568.94,65627171,52611559,566152,313361
2097152,505651.85,65067318,52602637,541855,314950
2097152,501206.17,65394401,52677574,576425,341600
4194304,468648.41,70152458,61814851,580640,324588
4194304,446341.32,74074250,61862020,529613,344752
4194304,457465.85,72637203,61877245,520399,345304
4194304,417375.71,79566459,61846608,600346,373114
4194304,404314.97,79806479,61839635,585786,365795
4194304,551959.89,67382898,61754829,580371,346448
8388608,360393.35,89499130,80457066,648722,398944
8388608,423132.51,77795512,80323060,641435,369976
8388608,550255.79,65232562,80230263,706779,286030
8388608,541790.98,62206196,80217015,651002,289416
8388608,533906.92,61793124,80165097,718882,291483
8388608,564216.62,66688141,80404258,697438,293433
16777216,496183.33,69158384,116950731,750674,287833
16777216,432418.68,77025748,116595931,766929,302697
16777216,446519.64,76313539,117012890,730240,291785
16777216,446524.17,76594665,116928392,786893,302705
16777216,459049.14,75250106,116989816,843249,299682
16777216,515501.87,60827274,116933277,745049,283836
