BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,92670.48,411162373,984608643,312730416,1002354
1024,96194.90,408550550,984611293,312675805,144205
1024,95003.23,408132760,984580565,312664122,364731
1024,93558.50,409303928,984562531,312635861,116777
1024,93003.32,409961143,984690232,312793953,550079
1024,92865.77,414426010,984697252,312648300,362872
2048,179488.91,206984706,497029333,159456975,343309
2048,179722.25,206644217,497110903,159572078,342144
2048,180589.77,206039898,497069942,159501314,230753
2048,181965.10,206148357,497052743,159499584,184525
2048,177438.29,206154683,497037643,159465105,84660
2048,179234.12,206554810,497035494,159537771,133527
4096,322714.01,110361299,266418189,86800853,358567
4096,322590.45,110655848,266492566,86873756,150399
4096,321214.39,109654247,266464444,86791837,187488
4096,358611.49,109563860,266304310,86752497,133785
4096,320033.56,109899676,266410083,86783672,102046
4096,321280.21,109846602,266398578,86802230,139020
8192,565522.80,56901798,137934823,46564886,121443
8192,575530.93,57013640,137978896,46592872,176077
8192,576282.91,56705010,137967085,46571553,194652
8192,560219.88,56907534,137954567,46571711,135208
8192,684551.81,57219950,138027117,46610412,171769
8192,688268.36,56858127,137861556,46529367,88450
16384,791247.03,34451277,74073433,26582676,157263
16384,938919.43,30606001,73661421,26459552,179905
16384,843708.01,33384097,73663914,26437744,189570
16384,878733.91,32305897,73683243,26441833,182793
16384,806700.66,35139160,73698070,26475476,164405
16384,845297.57,35061612,73771849,26487217,163453
32768,1422695.26,18496655,41594610,16395956,231968
32768,1605075.21,19195908,41593857,16395351,229955
32768,1723896.65,18298820,41684236,16414152,258222
32768,1504649.64,18423280,41594479,16391220,225354
32768,1435779.07,19787591,41795453,16462779,239054
32768,1454910.78,18242545,41550226,16374790,264690
65536,1726759.84,15556060,34524371,14190986,279824
65536,2397299.07,15642532,34439721,14144680,273082
65536,1686327.11,14904093,34428513,14146837,262149
65536,906179.29,15849054,34614012,14219521,277005
65536,1004712.71,15919078,34587364,14206035,275273
65536,1109526.77,15514971,34612716,14210912,280388
131072,1286484.55,24175686,27793656,12070708,354286
131072,1220672.70,15765696,27797707,12071627,330494
131072,855533.64,21921829,28703871,12356913,347477
131072,1304770.26,15146112,27367116,11944917,326950
131072,1088791.39,14927056,27489862,11979716,319345
131072,1631930.93,13918034,27470179,11963060,320630
262144,1825783.19,13412337,25872681,11421226,322536
262144,1890788.97,13231282,25889519,11430383,322649
262144,1001641.49,17467483,25941685,11459251,337384
262144,1588225.05,15405558,25926142,11446285,331875
262144,1741672.30,14061908,26412963,11574196,320449
262144,1273958.32,17772216,26030441,11485103,331493
524288,798373.45,34381401,25761617,11384544,375152
524288,626284.27,38497358,26766268,11712461,396957
524288,600746.95,48886898,25802784,11408814,398942
524288,599929.78,54028239,25889811,11436332,403148
524288,762387.37,39412813,25730338,11372994,393762
524288,737379.68,40220921,25762720,11389939,391237
1048576,526843.49,59887627,27375667,11859745,427265
1048576,424307.17,78079765,27466033,11889975,434524
1048576,428285.78,66035127,27509514,11916147,428069
1048576,609836.53,56775153,27635389,11933314,425812
1048576,475705.48,51801160,27839526,12024299,424146
1048576,397105.63,67552438,27596380,11945378,423144
2097152,419261.07,71614306,31063273,12961430,470491
2097152,497435.82,77536944,30601213,12790768,462100
2097152,469775.43,70987115,30468027,12752905,460453
2097152,489510.47,77713684,30417769,12731667,460937
2097152,521951.03,63199617,30522906,12764320,455582
2097152,506173.28,65368922,30442072,12741073,459287
4194304,475074.00,71603090,39939874,15567626,533177
4194304,418732.20,81789404,39862037,15543696,538388
4194304,408133.23,82865414,39802239,15540408,536758
4194304,410272.80,92438186,40004749,15587957,550237
4194304,338748.05,106185575,40298821,15711083,556155
4194304,335565.06,101249047,39957516,15595065,553226
8388608,320476.83,110052103,58427962,21091267,675052
8388608,312418.37,108403774,58879760,21241547,672210
8388608,306479.14,103827169,58771063,21219792,668962
8388608,337279.25,89421788,58955150,21260933,666303
8388608,392694.22,93965701,58655752,21167285,660795
8388608,373094.78,92949407,58269337,21046967,657744
16777216,335475.85,103201897,95896275,32274557,921465
16777216,394617.26,96790153,96037080,32301508,894963
16777216,401682.09,96188634,95992399,32300050,916120
16777216,470641.56,83140090,96601956,32450948,925376
16777216,474921.69,82280713,95749416,32227396,911451
16777216,528976.24,67605861,95942769,32276071,902993
