BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,328960.39,105814132,248770167,75756492,600062
1024,327983.57,105760027,248625392,75691592,553820
1024,328060.69,105968970,248644294,75693438,578385
1024,326745.27,106231252,248840549,75956518,588430
1024,329949.69,105613273,248428380,75643993,573447
1024,327939.31,105942194,248713390,75746296,597124
2048,543396.41,60974921,146049295,45177114,333022
2048,535255.31,60333886,144810899,44806083,336531
2048,552256.47,60090276,145321187,44945485,314862
2048,618294.19,60782568,144794425,44816369,330666
2048,535937.50,60531463,144843847,44823691,335229
2048,557535.88,60611315,145730589,45087390,347766
4096,788448.71,37891731,77167095,24841293,270380
4096,823388.27,37415007,77095413,24820954,246885
4096,764725.71,36527411,77180005,24841687,235761
4096,818307.82,36254824,77085169,24814804,231230
4096,833971.70,35810850,77471609,24928315,217214
4096,818225.30,35396000,76666001,24687052,230451
8192,1232855.25,19728406,44635790,15087709,178515
8192,1308797.12,19858127,44728193,15102631,175702
8192,1271052.47,19176137,44044323,14917209,181434
8192,1557938.97,19653689,44650044,15092639,173469
8192,1316777.83,19225322,44072198,14931778,184693
8192,1237712.08,19678996,44448089,15044259,180123
16384,2120780.12,11195678,24787311,9157584,134303
16384,2028193.35,11498280,25127479,9263256,135473
16384,2089456.34,11752973,25310731,9318745,139824
16384,2096914.53,11252493,24902731,9199003,142218
16384,2152308.34,11694737,25307313,9318969,141847
16384,2157536.00,11372562,24980307,9224765,137423
32768,3267652.40,7443671,15231958,6307434,129911
32768,2761677.18,7764438,15904819,6511027,126483
32768,2935403.30,7476461,15593099,6419329,124931
32768,2886672.96,7604417,15711521,6459647,127715
32768,2986814.92,7502640,15695182,6452542,131919
32768,2867791.05,7797294,15811846,6483416,124834
65536,2606328.36,9088069,17584371,6972140,218354
65536,2549701.93,9127425,17688503,7004047,220358
65536,2542207.25,9330808,17741839,7025282,222404
65536,2319002.35,9989341,18487106,7221393,234284
65536,2603506.27,8973225,17538464,6965049,218763
65536,2615768.27,8947313,17532815,6959695,216783
131072,2647255.18,8534899,16220467,6586204,198334
131072,2502769.53,9672147,17139625,6850200,210601
131072,2718669.17,8605870,16190620,6585948,199423
131072,3114808.76,9679486,16933250,6785663,208367
131072,3859618.62,9421581,16357059,6619659,205402
131072,3804680.44,9224472,15595571,6391101,199143
262144,2566938.73,9960146,17137687,6835176,201821
262144,2417220.46,9569880,17172785,6847561,202190
262144,2517339.41,8986394,16635600,6706371,198144
262144,2517912.64,8849494,16429308,6641028,196838
262144,2661013.84,8582406,16163031,6569840,195458
262144,2886824.06,8637629,16107521,6546377,191558
524288,2781245.55,9268428,16288654,6599660,197686
524288,2581122.84,9038578,16402941,6638124,195575
524288,2647295.02,8918378,16257236,6599052,194515
524288,2752518.84,8915830,16358083,6620381,195357
524288,2612955.98,8907587,16212946,6580868,193082
524288,2544130.23,9021313,16141151,6557004,193681
1048576,1947313.51,12696305,17352398,6904726,205595
1048576,2272611.26,10713706,17616253,6999446,210400
1048576,1485157.58,17193940,17223020,6861959,206307
1048576,340482.11,41334742,18423697,7349773,224111
1048576,456380.77,31855217,18670605,7398356,213085
1048576,1601538.93,12037020,17885916,7098265,192483
2097152,1057997.40,20826221,20690829,7936748,220146
2097152,1160444.23,17638840,20511862,7873227,215807
2097152,919213.53,19749321,21013765,8043715,216188
2097152,1025592.44,21211690,20893699,7995625,221514
2097152,954184.03,23153511,20718317,7955907,223904
2097152,1018561.22,22491600,21018520,8028930,224394
4194304,396215.37,57752962,27632506,10025616,278417
4194304,485394.88,46615395,27331105,9931224,270466
4194304,484688.40,44763879,27385441,9955933,269077
4194304,400753.43,52671925,27632420,10043775,279013
4194304,403759.06,47223372,26959855,9842380,271624
4194304,438552.67,40806775,27332680,9963781,263548
8388608,374247.27,52698387,39173737,13466368,346383
8388608,431325.95,55478091,38870021,13369892,346927
8388608,359295.27,63445127,39375349,13555182,352473
8388608,373413.39,64608049,41103228,14051837,359457
8388608,355483.82,63210161,40087086,13750247,349650
8388608,321652.73,56839305,40134151,13793753,344075
16777216,265646.01,66180189,64724529,21144738,501512
16777216,350991.96,73093845,64921513,21206599,486314
16777216,342154.51,80587967,64504134,21036475,493534
16777216,405234.46,86986122,63990259,20833261,498235
16777216,393484.77,86804702,63937358,20802300,495925
16777216,420006.75,73489216,64438698,20993628,490321
