BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,310043.90,113913860,249231004,80571523,262036
1024,356702.06,107345127,249654053,80796532,296860
1024,337462.03,105897294,249423071,80748656,302552
1024,321367.07,105474553,249031444,80620161,286587
1024,317480.98,105581359,249801949,80949473,294571
1024,321394.15,105707582,248944494,80447732,297867
2048,544030.84,60496015,145348813,47260289,130866
2048,551314.73,60474179,144291605,46868895,120792
2048,546526.42,60687548,145288650,47177301,133018
2048,542909.82,60546269,146189110,47519340,130314
2048,550525.38,61283974,146278632,47470591,137969
2048,644402.32,60745820,144829622,47041616,131685
4096,776914.83,37408805,77069145,24679913,117931
4096,775048.72,37280213,76893009,24639439,114968
4096,872278.85,37900140,77535796,24837866,122585
4096,776026.25,37645734,77419223,24833705,119954
4096,816481.26,37062788,76675541,24566226,116193
4096,835779.28,37612313,77642844,24855068,117119
8192,1396333.90,19113558,44359368,14074490,89141
8192,1302345.51,20426745,45449743,14360917,88691
8192,1594476.50,19532956,44016522,13963614,80993
8192,1100002.92,27194805,45014021,14297055,138397
8192,1050061.54,22147577,44655868,14213544,138888
8192,312574.78,34725026,46915495,15285554,376782
16384,956283.02,16215224,26359439,8421538,204930
16384,513454.28,20192755,26824612,8671590,263133
16384,936949.19,17347874,25848840,8196274,140569
16384,810524.34,17492873,26883627,8559625,249338
16384,595401.00,20953740,26734928,8539647,193460
16384,863548.76,17344741,26587120,8445204,217865
32768,621929.31,16430970,16237468,5194363,181159
32768,1068463.22,11509086,16919685,5305256,160651
32768,1205391.24,10758198,16609298,5210426,152051
32768,1235874.64,9913668,16433864,5144543,155526
32768,1145936.97,10858979,16348612,5114411,155586
32768,1110207.72,11678849,16641550,5209223,157954
65536,882513.65,18777672,18918915,6043612,153077
65536,1034568.16,13394789,19075186,6006966,136250
65536,960458.28,15570834,19658607,6203438,151337
65536,894574.37,17853285,18956654,6012427,134355
65536,995487.76,14800420,19461854,6134449,148323
65536,940563.96,14988602,19294188,6082026,147482
131072,943824.88,15490562,18197035,5733795,149989
131072,987037.25,14293677,17692580,5564398,146999
131072,885745.66,16414691,17772319,5578631,147325
131072,843263.39,19382016,18014616,5677179,149701
131072,834865.28,17912499,17756766,5582587,147691
131072,1019760.14,13779318,17823919,5590423,142577
262144,790106.51,18221623,17767296,5644865,163295
262144,798639.41,21501052,17668695,5569570,144720
262144,902755.87,18627596,17609995,5546422,140896
262144,848940.31,23873452,17501893,5500245,145692
262144,681624.35,31797787,17325849,5445775,136898
262144,771192.58,13918413,17472291,5577597,165457
524288,1143559.84,14642819,17458076,5448553,118444
524288,593589.02,21991642,17548140,5553618,155112
524288,789162.87,16766954,17491058,5453189,121349
524288,786117.59,16031790,17719193,5633657,151799
524288,1151785.03,15469276,17317746,5390959,116714
524288,1239019.49,12591118,17290119,5373147,114127
1048576,1152235.10,16984532,18404498,5699019,111397
1048576,1019488.77,24476313,18002012,5526204,49089
1048576,1155176.33,20188785,17303476,5245803,36097
1048576,1345271.86,18947408,16998353,5186329,30658
1048576,1976040.88,11989586,16966736,5150223,24366
1048576,2176083.39,11296769,17132412,5188319,27002
2097152,1192311.38,18918171,20630515,6375606,72304
2097152,1303109.16,17081634,20666083,6368684,60912
2097152,904473.27,22727590,21070534,6551400,108795
2097152,1066386.14,22624076,20628732,6391942,88315
2097152,675181.96,28564083,21669764,6761238,128530
2097152,723104.83,25822649,21539528,6712684,128878
4194304,585958.76,36066074,27606044,8619104,143326
4194304,577253.54,33679771,27761957,8696708,154971
4194304,344407.39,36834248,27454499,8623586,161151
4194304,444355.34,40162912,27577724,8676364,170047
4194304,345782.24,43673222,27510321,8649890,161595
4194304,338869.28,35649531,27753496,8763741,182107
8388608,522482.49,46911913,40002253,12534135,187261
8388608,596738.77,37015384,39654771,12381647,180706
8388608,476141.59,44912324,40091713,12548078,196093
8388608,595739.05,36036200,39891437,12487969,195089
8388608,500626.35,43820282,40233617,12599156,198782
8388608,337526.70,51596120,40114591,12686465,206552
16777216,365519.71,69454531,64928628,20335884,262920
16777216,311195.05,62368089,64523412,20348231,269336
16777216,362124.52,64610895,65464268,20576093,300422
16777216,301902.63,62806864,64374644,20271306,263558
16777216,425942.40,56364517,65314537,20503745,286692
16777216,368828.79,64385952,65279731,20486710,292991
