BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,276151.92,111605863,251286974,76583266,559518
1024,341759.78,109364402,248187854,75560356,595331
1024,295690.55,107437283,250606268,76360151,588483
1024,350416.66,106350598,249225111,75898112,561101
1024,295638.27,108772800,254204459,77493131,561003
1024,325050.05,105930172,248856928,75787098,599555
2048,633348.24,60410533,144421191,44700948,330298
2048,636728.10,61457317,147991009,45753202,325546
2048,628375.44,60877516,145118544,44898735,335897
2048,421001.34,62798665,147462947,45722489,332938
2048,547455.17,60345527,146107183,45172302,317013
2048,536031.37,60457640,145986337,45132788,318989
4096,618581.60,37565418,80412389,25859714,252269
4096,693638.73,37077002,78561166,25284108,243794
4096,764346.87,36776843,77097509,24827129,241267
4096,787552.81,37261990,77248591,24861553,249540
4096,798218.04,35496404,76312584,24596035,250304
4096,795756.97,36961522,77088887,24812590,267422
8192,1303420.24,19325935,44446332,15032748,173852
8192,1280577.43,19101775,44014358,14904104,172977
8192,1327688.21,19087135,44076132,14927049,171497
8192,1375915.30,19089341,44084159,14927964,170767
8192,1344235.60,19396983,44676223,15111185,179420
8192,1368676.17,19198703,44281602,14981759,171382
16384,2249218.50,11182722,24841947,9184505,129912
16384,2070102.45,11356541,24932294,9205871,136262
16384,2072852.12,11390411,24912512,9203998,136596
16384,2121574.64,11197776,24781526,9161409,135252
16384,2047433.34,11477688,25054873,9247579,138282
16384,2060364.34,11346939,25020091,9232874,136079
32768,3005486.35,7552692,15571816,6413565,122403
32768,2919287.59,7517911,15663810,6441369,129186
32768,2981120.62,7544122,15714379,6458153,124732
32768,3058960.54,7568833,15717026,6461196,126187
32768,4049935.80,7690207,15489496,6385630,130132
32768,2860773.20,7596797,15716806,6455085,126955
65536,2550254.88,9089055,17523287,6955751,218114
65536,2558788.61,9100412,17555542,6968848,218557
65536,2674852.21,9186408,17618871,6992304,220484
65536,3116434.05,9314701,17701733,7017366,218844
65536,2525287.21,9175575,17625942,6984002,219017
65536,2075857.93,11473786,17313332,6893785,225460
131072,1919781.24,12557245,15785688,6458085,206138
131072,2055581.92,11382295,15787938,6455018,203211
131072,2167548.42,10854645,15731955,6430048,203299
131072,2615112.30,8644599,16259854,6597715,197049
131072,2579814.14,8952367,16322712,6621641,200261
131072,3982468.01,9039679,16235382,6590004,202820
262144,2509201.13,9328435,16457355,6644021,198817
262144,2452221.40,9167738,16671115,6713691,199526
262144,792713.98,20233083,17385159,6999341,185492
262144,551836.51,25433036,18053784,7225155,196696
262144,694209.15,22106602,17318566,6980375,188592
262144,558060.20,17744225,17532083,7094570,187796
524288,329217.05,29305037,17583120,7099307,204252
524288,338254.81,26768053,17977446,7217353,205654
524288,268049.14,38456423,17856612,7238458,225331
524288,798946.83,21307350,17568588,7050423,191688
524288,936963.26,15826145,17468723,7007161,183808
524288,1162654.29,14110929,16697319,6766015,182836
1048576,971886.96,22848999,19748855,7638875,219098
1048576,1011717.68,17489436,18552833,7306973,197456
1048576,962560.98,22367133,18273285,7231559,210031
1048576,709052.76,29737376,18183133,7235985,213749
1048576,548447.18,36342929,18332085,7264759,214168
1048576,497696.96,38910038,18482035,7317112,216076
2097152,453708.46,39426206,21474214,8238293,235865
2097152,447826.80,40544274,21368881,8205268,238341
2097152,631889.07,36655620,21244172,8138057,231385
2097152,698498.38,34981904,20949042,8025278,235149
2097152,696083.10,35803581,20893190,8025708,240645
2097152,719207.71,35022906,20846126,7981149,235434
4194304,674646.60,38837653,26946130,9818306,272648
4194304,698189.73,38938929,26765604,9743599,274138
4194304,621845.11,42308404,27179230,9895445,283115
4194304,711150.14,41989407,26798842,9771598,275919
4194304,704383.77,46375816,26281192,9580983,274828
4194304,675518.69,44284031,26356859,9597668,273985
8388608,583536.06,61472998,38780681,13301773,341423
8388608,551873.42,57680958,38877769,13348828,349653
8388608,536092.46,59369767,38899363,13340640,347481
8388608,538858.68,60086482,38934100,13347153,347788
8388608,517854.92,63486088,38777155,13300745,353048
8388608,512136.03,64019143,38794542,13308603,352302
16777216,439367.61,77990187,63710643,20732843,468710
16777216,437617.48,76979226,63550564,20679587,493486
16777216,398422.50,85749427,63838951,20772543,493173
16777216,393519.52,84540074,63707427,20740011,490569
16777216,388789.76,87307995,63651895,20708729,485313
16777216,402632.82,80814608,63781323,20762168,488844
