BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,311094.63,113139438,248845826,633262,12233
1024,347739.50,106176965,248721563,632255,3131
1024,354133.78,106063238,249097089,628945,2674
1024,350743.84,105772236,249017374,641411,4270
1024,313694.15,107237350,251777791,651263,16284
1024,325896.16,105566457,248680200,641166,3650
2048,543341.06,60039428,144534365,515869,4189
2048,551969.83,60080174,144855750,500210,3289
2048,556580.50,60088829,143810694,502075,2725
2048,543349.79,59758825,140640422,464758,2875
2048,548821.14,59781216,143957691,513219,6884
2048,513982.98,59952207,142422058,504611,4229
4096,820838.04,35133207,76364956,515968,49192
4096,826459.21,36184036,77040766,617593,85665
4096,688114.48,43664211,77450329,569410,78098
4096,686862.82,42823863,77423881,534453,65967
4096,668437.88,44207964,77784364,573094,78556
4096,679670.81,42858253,77305679,541633,66993
8192,1261112.11,21645785,44530118,465542,28183
8192,1216288.81,21580110,44598308,468902,30810
8192,1314476.03,20443103,44343882,477031,16405
8192,1754229.75,20848857,44303545,482505,21173
8192,1259903.48,19887964,44250235,475069,12495
8192,1333449.41,20029528,44322020,474530,12583
16384,1439931.39,12084996,25397355,387101,23691
16384,2185253.29,11824042,24737627,403490,15392
16384,2092338.57,11685304,24755886,389465,11509
16384,1971233.65,11827984,24737929,400290,8406
16384,1991354.59,11718276,24740600,402869,8831
16384,2114572.01,11719723,24914527,392944,7545
32768,2895546.40,7878987,15768401,481089,11817
32768,2948995.60,7780305,15552477,455000,5955
32768,2839727.79,7752357,15582122,446712,6622
32768,2826735.12,7784362,15629777,456400,8262
32768,2897907.42,7813611,15537253,448599,6168
32768,2775401.46,7874524,15595349,452231,6993
65536,2321004.98,9369669,17529769,551667,33578
65536,2377954.52,9382810,17565893,531340,32981
65536,2312614.55,10284266,17382934,519653,48184
65536,2261482.29,10608212,17533045,532299,53553
65536,2269144.21,10124253,17412963,529554,52092
65536,2197711.36,10554833,17491403,526833,44492
131072,2281008.40,10017511,16013978,563243,40671
131072,2571543.47,10786331,15763912,547571,37188
131072,1193820.78,20233777,16220800,537765,59175
131072,560308.74,29590870,18122825,445575,104510
131072,548804.80,25879893,17915510,482946,99225
131072,802222.07,23926404,18566426,394504,80878
262144,777287.83,20804742,17574089,473610,80079
262144,795220.57,20614385,17459982,515308,70865
262144,666512.72,25685422,17314590,464273,88716
262144,725030.84,24465628,17386642,525589,83616
262144,664992.84,25720238,18185184,495429,100256
262144,819938.14,18428977,17900888,461845,71854
524288,820841.87,20979624,17123972,478892,97113
524288,2433504.49,9859744,16234778,633650,31044
524288,2216686.23,12179212,15868874,629320,43591
524288,1833332.54,12180823,15921844,649991,51601
524288,1471075.14,15916071,16898751,697693,81229
524288,1879899.30,11837498,15977535,651081,48655
1048576,723962.33,39496694,17372820,705709,134624
1048576,1001888.83,25737018,17499790,717321,118958
1048576,756149.32,37095173,19316058,788934,152854
1048576,810815.72,34719477,17219536,701406,124307
1048576,813595.47,33982372,17299752,707055,129735
1048576,925127.03,28109118,17060711,684446,116105
2097152,991394.15,27404376,20050649,719007,129458
2097152,1030040.78,26957651,19990596,707298,122524
2097152,832144.68,34680523,20299354,723641,142858
2097152,811546.14,35926729,19972598,713228,135589
2097152,795832.93,35758220,20406422,727434,149923
2097152,786253.28,32392948,20686904,740433,152833
4194304,737952.40,47203042,26520014,731584,186712
4194304,711509.95,43033240,26398189,758896,174921
4194304,654234.05,41902169,26566137,744549,184644
4194304,690477.94,45677286,26119165,737206,171408
4194304,726835.65,40970346,26286174,755056,179659
4194304,663251.49,46280977,26405399,751615,182054
8388608,599891.28,50358326,38724219,828572,237732
8388608,593219.13,54304075,39164095,828213,236179
8388608,505488.95,60476111,38961045,803653,246609
8388608,505024.12,65606010,39284836,819144,257018
8388608,512416.65,63495815,38766685,811258,241804
8388608,479944.05,66763625,40335203,854263,273104
16777216,446495.75,77024823,63464885,960790,362171
16777216,446131.60,76135950,63067116,935385,352386
16777216,396938.01,83996382,63574414,926396,372370
16777216,402484.15,85774088,63638170,913628,361713
16777216,396024.36,87170100,63528140,914893,360783
16777216,400614.86,85416290,63277018,917655,369255
