BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,311893.71,112199742,248640751,43977953,32247987
1024,349242.20,108940591,248289616,43989695,32250111
1024,342096.73,106192738,249211299,44148361,32333571
1024,331202.77,105810429,248584151,44013479,32262235
1024,326231.33,106031402,248715314,44059196,32271393
1024,328650.76,105889225,249112876,44128688,32376970
2048,545625.06,60109722,144874057,25691201,19469675
2048,630527.31,60436202,143604263,25481442,19304385
2048,543651.63,60288008,144010792,25547760,19354964
2048,555464.39,60310431,144591242,25632110,19426158
2048,544121.07,60146590,144460332,25605251,19394563
2048,539556.08,60421782,145381975,25773396,19512163
4096,799075.37,36981524,76816994,13955356,11073876
4096,976534.23,36697221,76500612,13847383,11033292
4096,833099.84,38392019,77126577,13996146,11112883
4096,822838.93,37877246,77275610,14031638,11129062
4096,766343.17,37237294,77312009,14009451,11133969
4096,863346.70,36172367,76440721,13841699,11027899
8192,1343484.56,19014657,44140318,8064993,7056048
8192,1456935.28,18933182,44122222,8052328,7040475
8192,1268127.58,19429901,44275293,8096187,7061608
8192,1261939.67,19318781,44618606,8156844,7104159
8192,1257114.41,19362604,44215389,8088113,7050892
8192,1382935.32,19321111,44392431,8124368,7077833
16384,2228427.78,11200371,24691334,4636039,4624218
16384,2064749.74,11395649,24857583,4677784,4641897
16384,2112683.81,11418684,24820786,4663571,4641757
16384,2220441.08,11568265,25006105,4691528,4659148
16384,2183317.43,11266288,24762404,4660895,4633937
16384,2052882.89,11487111,24863711,4678233,4642726
32768,3284845.90,7702232,15677624,3065578,3502645
32768,2778278.09,7948681,15953425,3120087,3536645
32768,2826626.80,7738680,15778447,3083829,3511142
32768,2981703.71,7553568,15620261,3058150,3493521
32768,2820930.76,7729744,15682885,3080137,3506192
32768,3139725.97,7468559,15559206,3038406,3487280
65536,2399547.11,9728319,18039627,3490671,3835745
65536,2602833.71,9184542,17583042,3415197,3783789
65536,2548367.12,9100796,17519151,3400880,3777820
65536,1896241.59,13431396,17361488,3381596,3759197
65536,2408791.51,9820051,17719127,3445664,3806147
65536,2677386.76,9289765,17733461,3445603,3800936
131072,2776107.46,9656795,16241109,3174758,3612055
131072,1519352.24,15361819,15759118,3087582,3560838
131072,1088246.84,23916320,16061565,3164486,3600496
131072,1641100.56,14057464,16013819,3128164,3589512
131072,1772995.13,13551504,15594114,3051570,3533770
131072,2060547.51,11278739,15619082,3052485,3538630
262144,2269857.86,11255259,15569681,3030197,3526341
262144,1579040.60,22395996,15939405,3121324,3572878
262144,1821746.22,12588656,15730395,3071132,3548143
262144,2328791.06,9281126,15870438,3106527,3562489
262144,2244907.91,10242269,15520471,3027772,3520479
262144,2083969.88,12734451,15676976,3050922,3537484
524288,1663718.50,14281614,15746033,3064307,3550185
524288,1826797.51,13691071,15743575,3068141,3552259
524288,2477034.46,9163194,16447542,3202532,3639950
524288,2564365.34,8953817,16334012,3190845,3624660
524288,2719203.06,8914479,16205209,3158765,3610765
524288,2531935.42,9250368,16528077,3220404,3653865
1048576,1999432.19,11808626,17296465,3339093,3751804
1048576,1890545.13,12996458,17325338,3354415,3758127
1048576,2113469.23,11576754,17319898,3348084,3754575
1048576,1977463.10,12262148,16949077,3266539,3707090
1048576,1050754.33,26177021,17421954,3375451,3767516
1048576,2331618.31,13621882,17046978,3288463,3720958
2097152,1146488.79,22432478,20480568,3896099,4164562
2097152,1567548.77,15987950,19931656,3786862,4095097
2097152,1662104.50,14512497,19813468,3767627,4082582
2097152,1398472.43,18920204,19869101,3785545,4087790
2097152,1773806.75,14705251,19803363,3760799,4080224
2097152,1742820.41,14649330,19867489,3772573,4086425
4194304,1231611.08,21501651,25980653,4841119,4884729
4194304,1184813.22,21368679,26034856,4852867,4895045
4194304,1240570.28,22141332,26000319,4851095,4892010
4194304,1402320.02,27021023,25920281,4832923,4875637
4194304,1250104.00,25712071,26010531,4847242,4891531
4194304,1181780.70,22901259,26016075,4852005,4889367
8388608,847596.68,34775066,38398114,7000636,6511018
8388608,894602.66,35676078,38443342,7010959,6519407
8388608,854798.93,33860636,38445622,7008392,6518866
8388608,850939.70,35697620,38327955,6989106,6500749
8388608,847538.86,34566326,38478681,7015391,6521512
8388608,854685.64,33496574,38503171,7021917,6524632
16777216,603040.30,51844442,63176392,11297961,9748972
16777216,602564.70,53647336,63132332,11291495,9744093
16777216,627964.65,56220428,63321068,11318333,9770282
16777216,611300.94,53448912,63264229,11307470,9762605
16777216,615622.93,52333888,63271096,11307293,9764371
16777216,603697.26,53175191,63198704,11292164,9754661
