BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,938127.14,34265311,73231737,23698562,187164
1024,864796.38,34240125,73154490,23662004,190572
1024,925129.56,34223061,73225262,23698715,183222
1024,863974.64,34327329,73163726,23680430,196511
1024,880024.06,34423304,73108148,23617443,204134
1024,849428.59,35384005,72861460,23458018,245325
2048,1389844.94,19368803,39221845,13548203,160751
2048,1321717.64,19206993,39201717,13544096,145545
2048,1365403.58,19194596,39208744,13530356,158241
2048,1289998.91,18987298,39201742,13575106,132497
2048,1502562.46,19041324,39238372,13573510,141148
2048,1333611.35,19009656,39233496,13554865,151865
4096,2237846.96,11559259,22259602,8406739,138836
4096,2240226.91,11529284,22179767,8404616,160100
4096,2282055.86,11453333,22260444,8417404,150310
4096,2138048.78,11708717,22854765,8618989,178385
4096,3057380.29,12465025,23414482,8774870,187327
4096,2336148.76,11596686,22450486,8462944,141586
8192,1390626.51,18684026,33504536,12575469,243661
8192,1447269.03,18044006,33163521,12442514,217233
8192,1431736.51,17097812,31580846,11928894,225390
8192,1433624.90,18105510,31839822,11990530,248044
8192,1472787.13,16454634,32503849,12183644,201427
8192,1512732.98,16839243,30931747,11702778,229040
16384,1235180.89,21968314,38131689,14298183,294775
16384,1222140.18,22101646,38045855,14277830,283812
16384,1281901.45,20142121,36757218,13909411,245139
16384,1156387.16,21030582,37602523,14163693,262494
16384,1377222.31,19382045,36778617,13877795,214815
16384,1240245.28,20928281,38513119,14484010,242271
32768,1230069.94,24045177,44481783,16736950,342942
32768,1254699.53,24445644,42140972,15885428,389957
32768,1166141.84,22339369,40738098,15382132,346968
32768,1173132.51,27414630,43575095,16351612,387295
32768,1092049.45,23367055,40595550,15275868,390915
32768,1047151.31,24996985,42670596,15979290,372310
65536,1059226.59,23965782,43275947,16240759,428470
65536,958657.52,23025642,36203411,13546672,458343
65536,980472.58,18872049,31685817,11852210,422218
65536,1003675.77,24466604,38979917,14634508,485581
65536,965911.57,24933974,40847802,15283967,469344
65536,965543.55,21643057,34738289,12973468,473474
131072,863340.60,18445215,26729615,9851149,442710
131072,909495.69,16688481,25892902,9613935,459300
131072,871951.30,18300001,27128767,9991651,455887
131072,916567.03,16401650,26091478,9687906,435730
131072,883552.69,16841225,26777303,9948222,422904
131072,857727.72,19332349,27331854,10090039,463268
262144,983593.09,18580870,26695332,9877105,451716
262144,585956.07,30847290,27458028,10109593,459634
262144,642279.23,28363002,26969764,9970868,466125
262144,647937.36,26679592,26964135,9960640,460148
262144,643998.23,27719967,26905012,9953760,461946
262144,635413.99,27805687,26492295,9798330,459497
524288,542498.87,39346975,28786886,10604066,468406
524288,495630.37,41022962,28593018,10525353,464274
524288,508380.33,37920439,28220608,10386229,465736
524288,603952.06,30914603,28804665,10650606,469511
524288,952984.95,23801997,27490531,10229273,473214
524288,497591.61,40853098,28780123,10586534,463935
1048576,511787.75,41199003,30615406,11211937,467994
1048576,451012.03,46716152,30965598,11322960,477085
1048576,420006.51,54380490,30441142,11093520,474465
1048576,418566.50,52829394,31639378,11534531,474193
1048576,398935.97,54774902,30052982,10948159,480310
1048576,419552.92,53082136,31357511,11429677,474950
2097152,408627.67,52757936,33116264,11876884,473887
2097152,587186.30,40008403,33082970,11958439,467524
2097152,400597.60,55031815,34360134,12312584,467114
2097152,393984.81,55531811,33866760,12125001,478851
2097152,396609.98,55384500,33916678,12157936,480644
2097152,400130.87,53607786,33660745,12067153,474862
4194304,389200.77,57696485,39743420,13854992,484904
4194304,389089.69,55107682,40184227,14039696,477459
4194304,398145.82,55198870,39090690,13657729,483250
4194304,410398.91,51253838,39434220,13784731,469221
4194304,527186.06,40832850,39148023,13750114,474246
4194304,392471.95,58820889,38724820,13506913,486517
8388608,416840.18,50493791,51760032,17506610,487636
8388608,374444.31,61338560,52532676,17718012,500217
8388608,356039.52,63631702,52010413,17549375,495425
8388608,354733.44,63373996,51047347,17190744,505860
8388608,403262.98,53607326,51984148,17602379,494261
8388608,355735.27,62273978,52342318,17674693,505505
16777216,320001.36,69151357,76553949,24858954,516596
16777216,323673.20,70494450,76687154,24959172,530142
16777216,323321.06,70048522,76691948,24971428,531892
16777216,324094.44,67540269,76386206,24860089,543381
16777216,327835.90,70873024,77427602,25254094,535145
16777216,426749.16,60473380,77017634,25211393,552231
