BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,633258.19,36246742,81176581,26968619,60980
1024,644506.30,36329975,80877693,26896116,59538
1024,717287.91,35689807,78018857,26006470,44599
1024,815709.93,34826603,74689101,24920653,22539
1024,649110.97,35877619,79647457,26501339,52146
1024,769271.06,34894030,74569842,24861138,26382
2048,1175550.10,19046210,39328141,13148132,8720
2048,954314.37,21323311,46756545,15434821,50045
2048,922548.88,22265055,49270259,16223931,63648
2048,985958.54,20653620,44398717,14717132,38968
2048,978762.98,21007480,45606714,15048176,45978
2048,919472.19,21170205,46086395,15188744,46118
4096,1314023.70,13598724,28176802,9089210,41074
4096,1847920.64,12073425,24135846,7793557,17181
4096,1315066.67,13643985,28818039,9325175,44556
4096,1385755.87,13705489,28560896,9201713,39835
4096,1304197.23,14651805,29259890,9480333,42578
4096,1320330.06,14444049,29170048,9457424,41772
8192,1003169.03,20764959,35252496,11104970,80570
8192,916078.10,22230871,39166979,12270108,85429
8192,1001657.46,20376674,35673079,11143112,59114
8192,1062031.15,22314364,37227598,11464178,30668
8192,840799.75,23407790,38657172,11992014,50062
8192,1009096.92,21921862,36775083,11500885,67798
16384,946913.24,28428864,44697266,13764184,31335
16384,816024.81,27954910,42685357,13230958,59437
16384,827141.02,20476042,33150956,10457386,111371
16384,1029059.27,26455470,46855832,14321621,12295
16384,876407.87,21871166,35453666,11030887,70917
16384,908841.37,30139297,46210314,14204761,12880
32768,823528.65,33073053,50041384,15295819,30760
32768,764847.66,34673288,55174483,16818129,29851
32768,782925.80,33036344,53092229,16216800,23778
32768,827019.62,28859447,46762896,14339752,53893
32768,843267.91,17907662,30926446,9714215,105041
32768,861499.89,25821870,42952939,13195705,43710
65536,779148.75,34770090,50896717,15572956,38655
65536,748697.65,32434571,45015145,13782241,43476
65536,787510.50,30353626,43694589,13423651,54668
65536,789215.41,32858953,46828033,14298102,44121
65536,751582.55,23983629,30091409,9344266,92410
65536,753447.66,30425907,41134560,12640623,64615
131072,713670.09,22594145,26497888,8292073,115229
131072,690260.77,24166095,27450682,8573740,109372
131072,734731.68,22098055,26485615,8382675,143780
131072,817195.20,19401939,26715746,8753582,244205
131072,723144.96,26461812,26744206,8395872,121589
131072,688061.40,23730850,26297794,8255513,115186
262144,788464.18,21392117,26824688,8578334,170874
262144,868737.40,17359661,26925258,8828648,241472
262144,625298.25,28590292,27554290,8624427,113331
262144,676316.38,25739362,27241436,8531708,121893
262144,650046.20,26919705,27923962,8733345,124194
262144,606689.07,27748659,27397995,8562399,110808
524288,565624.04,31911346,28210985,8929606,155146
524288,506584.96,38998549,28076795,8801520,130930
524288,1016237.56,15093510,27043682,8470509,97604
524288,663766.86,30800457,28109705,8828095,123821
524288,508084.09,40580412,27887687,8706685,114714
524288,527393.16,38040988,29395378,9237187,129992
1048576,414629.98,52735770,30525569,9536105,133357
1048576,539109.38,37782267,30587484,9841631,210755
1048576,405291.41,55445394,31927858,9954069,135919
1048576,456968.00,45176703,31364196,9986460,194517
1048576,451847.42,46966979,31327436,10020316,203320
1048576,481698.76,42505254,30285159,9755114,226492
2097152,502259.35,46133392,31797447,10145432,199478
2097152,484272.33,53290899,33444584,10821349,267606
2097152,463429.50,45963686,33005531,10839769,315131
2097152,452664.63,51642012,33394816,10922364,304361
2097152,436860.00,50197776,33848789,11095246,310024
2097152,418866.64,49617194,33841442,11082480,308678
4194304,413228.40,53455590,40765595,13275671,332584
4194304,411648.93,54053739,40603736,13250918,348472
4194304,422493.04,52638077,39717126,13019534,357672
4194304,429321.06,51612611,40815383,13355774,357074
4194304,414002.99,52003332,40375616,13251992,363059
4194304,421293.60,52163190,40128991,13137796,357106
8388608,385575.20,59435307,53098333,17277046,423072
8388608,376539.11,60556761,52920651,17229312,422120
8388608,377319.88,59148110,52513254,17094091,409211
8388608,395520.23,54195437,52615470,17218727,441984
8388608,405115.05,54883232,52125657,17017756,426418
8388608,355500.57,61350145,51795749,16654759,336333
16777216,397377.71,67126069,75372158,23969201,385880
16777216,307034.04,70000621,77946875,25278981,557936
16777216,345397.50,66554030,77987952,25349554,581123
16777216,362729.43,63108860,77605915,25285459,589360
16777216,347950.71,62754944,77619920,25318097,602063
16777216,363040.65,61282296,76734694,24911289,558701
