BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,632592.22,36913092,80826691,25970237,164232
1024,786699.11,34809636,74918705,24174862,186127
1024,836362.34,34139108,73288043,23706077,180671
1024,865110.65,34162957,73085321,23656395,182522
1024,841458.66,34162571,73600167,23816051,158120
1024,854443.96,34200438,73395152,23778188,145052
2048,1257069.14,19404923,40276685,13890582,114214
2048,1910941.22,19228485,39036260,13473647,141565
2048,1342006.29,19069343,39333297,13593685,142450
2048,1284246.28,19111460,39311795,13578796,135767
2048,1380775.95,19247328,39693798,13702460,150579
2048,1245279.98,19215078,39588563,13662502,117609
4096,2190560.85,11489405,22269047,8416789,148532
4096,2352034.88,11522265,22203506,8375207,132209
4096,1574916.10,13528121,28868362,10397522,91843
4096,2896974.72,12521443,24167391,8981161,183259
4096,2287471.04,11585563,22655605,8565753,135327
4096,1118703.55,13032681,23095632,8702984,180046
8192,1266021.64,15266452,34022873,12096767,180476
8192,952184.11,14659776,33847405,11938749,150465
8192,943959.09,14606894,33908995,11960579,170278
8192,948335.25,16657726,34004711,12322119,203445
8192,984767.72,16495752,34212856,12262006,206619
8192,837371.29,20312110,37165111,13594853,193882
16384,1053613.14,14405690,31039579,11254778,245843
16384,880294.35,18533777,35129341,12950197,253762
16384,1018922.97,15607469,32236241,11699594,253464
16384,681141.60,18365145,32646687,11936294,250011
16384,1015730.61,13569914,29772271,10722977,242273
16384,630353.48,28135460,45053465,16769181,281166
32768,1094034.21,14443021,30038745,11005517,369189
32768,614560.75,32396586,51385026,19090702,371806
32768,982281.38,21217809,37495781,13943376,373742
32768,706723.07,21541777,37841797,14097359,392325
32768,1022701.27,12848889,27916797,10170968,351992
32768,923004.84,13864053,28672828,10477929,361192
65536,578238.77,27399743,35099911,13064658,435712
65536,954910.49,14324362,25554634,9440264,385534
65536,1057902.73,14181615,27411428,10133926,390884
65536,949641.06,14672782,26070420,9636749,396814
65536,631516.48,19242382,27786400,10365034,413568
65536,888660.49,17200888,25280757,9348901,394656
131072,1001736.62,14075444,25826991,9550846,383124
131072,541818.58,27761772,27038183,10101107,454808
131072,821772.16,16742725,25772966,9574184,404111
131072,1016569.59,14312040,25648454,9475578,391186
131072,870931.00,18753047,25532902,9439768,401613
131072,1165315.23,11814739,25449313,9399895,381338
262144,853733.66,17456544,26889887,10097606,483710
262144,838032.66,18346254,26928262,10114400,487108
262144,816939.35,18152797,27158266,10202446,493992
262144,816885.79,18774555,27092976,10170577,489477
262144,851180.88,18016790,26955272,10120096,485078
262144,844360.62,17787821,26768459,10026267,470801
524288,708500.60,26150210,27976669,10431717,477482
524288,768711.72,22407805,27753501,10325457,454745
524288,736154.69,25092226,27990283,10454587,479896
524288,639403.46,28017638,28056210,10472500,469989
524288,651878.53,27630375,27690140,10334281,471386
524288,636418.84,29070992,27759320,10353783,475772
1048576,508488.95,40300266,29554381,10913676,475577
1048576,519507.06,39443519,30254323,11170766,471864
1048576,536046.10,38938560,30588199,11280135,469339
1048576,366413.77,45172609,29497332,10855517,461829
1048576,533022.60,48915356,30003602,10932438,454595
1048576,554548.36,45566415,30924188,11278729,470865
2097152,460788.16,46987404,33568262,12195142,483237
2097152,466443.42,46804126,34802728,12613213,468851
2097152,456222.27,48080150,34026680,12351582,482586
2097152,572617.83,37679600,31016685,11074651,422420
2097152,420609.71,44100823,32374607,11647528,441760
2097152,620730.66,35712138,31061195,11084452,423909
4194304,378325.28,39620960,37806827,13224210,438815
4194304,368415.28,52246766,38901317,13573695,468034
4194304,411986.88,52304831,37855292,13214748,441884
4194304,458078.65,52913457,38155596,13310445,447434
4194304,550717.44,38945406,37899111,13175640,437533
4194304,532638.48,44093866,37621680,13086109,432651
8388608,426924.63,57092327,50061956,16817567,453607
8388608,366952.02,61693153,51219877,17348749,492111
8388608,376097.53,59677684,53045015,18090002,524430
8388608,393497.83,56289158,52802151,18037189,521944
8388608,387835.37,55512508,52553297,17930293,522792
8388608,396450.60,55223291,52700604,17970429,518502
16777216,344980.30,66479909,77278091,25334192,570964
16777216,339624.65,68816640,77220284,25319551,566667
16777216,346602.89,66412779,77440264,25403274,567092
16777216,353498.94,64668843,77518630,25460689,580780
16777216,367982.68,61655474,76206304,24868793,520746
16777216,344479.41,64021499,77884390,25591701,577393
