BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,853916.41,34116926,73327415,335089,2296
1024,805671.46,34471512,74811896,318977,2583
1024,608809.54,37210327,81997560,224483,3923
1024,657499.47,36435743,77290774,305525,4698
1024,830623.37,34155720,73294452,345597,2062
1024,845872.36,34073439,73192826,360207,2355
2048,1357877.22,19179104,39670299,331591,2451
2048,1321830.85,19232928,39353002,318881,2242
2048,1679550.47,19225776,39281767,330862,2406
2048,1280702.08,18997852,39217244,340645,2252
2048,1236013.48,19135661,39780100,306814,1901
2048,1337293.13,19322333,40215474,322656,1944
4096,1898063.06,12040875,22334971,338899,2548
4096,2259700.88,11629081,22511178,317137,2338
4096,2211298.59,11536991,22219506,347362,2998
4096,2243581.77,11482067,22409959,310944,1756
4096,2206902.45,11495932,22235974,313033,1764
4096,2248033.62,11494299,22177079,315571,1491
8192,1177437.61,22014812,38482315,425316,35381
8192,1291983.12,20856738,34854127,432678,41410
8192,1017169.94,19735138,34527081,333059,57383
8192,1059457.83,22227474,36042474,408655,30880
8192,859618.61,21934892,37345927,300146,39293
8192,893938.78,20558468,36838356,310286,44813
16384,866698.02,22443096,37953627,253147,43241
16384,678982.26,33861450,50942117,552856,106787
16384,774171.28,26913631,43306829,423133,69568
16384,721046.43,34158247,50114553,486913,89388
16384,904382.42,33295985,53347089,510706,84395
16384,841801.47,31753186,50009650,547480,90469
32768,802699.24,37466889,58828065,555481,107211
32768,843026.26,31072541,49542987,486499,89772
32768,894040.91,31980173,52919811,525799,91784
32768,804057.63,35338279,55174866,565791,106911
32768,837316.05,34760730,57137540,546192,101186
32768,817616.93,34585157,56619509,509134,76356
65536,862618.22,32211376,50042958,594261,111552
65536,762508.24,29360987,44303216,505008,78128
65536,767666.22,30254830,42517622,613715,119868
65536,745142.52,26974780,37390674,481043,66755
65536,794322.93,29376431,48381955,553141,70080
65536,1136681.54,28343098,44284748,464606,77221
131072,743169.73,21251422,26526246,662536,65058
131072,778522.86,20602711,26645335,752394,42565
131072,1570467.00,11148764,25418660,191902,10269
131072,895201.38,17564290,25426423,235706,62048
131072,348794.70,27165180,25745897,675048,96762
131072,831819.52,19128085,25530350,244914,65244
262144,310196.67,33057072,26408394,842880,167389
262144,723220.65,24920132,25819328,322325,113812
262144,305079.22,28333355,26109186,548185,147325
262144,443288.10,25331438,26200562,782243,102703
262144,290096.76,31912355,26591605,959913,147775
262144,317994.60,36233335,26370733,552256,167260
524288,248455.95,49044362,27965144,986416,271699
524288,588149.63,33172905,26540204,527513,184500
524288,291328.33,34427105,27531705,745272,220888
524288,352674.62,31320940,26649187,607037,218325
524288,343659.99,38875607,26611552,636274,230109
524288,310371.97,40521785,26728804,583067,231058
1048576,236248.22,53785471,28770046,820822,314207
1048576,685714.43,28972325,28171481,492550,180315
1048576,506164.02,43622973,29705648,851937,294992
1048576,588519.38,43264069,29108772,977151,274131
1048576,418528.90,53921657,31281870,995005,341839
1048576,288942.22,58073047,29566929,831365,345720
2097152,239720.26,47015065,31398640,665009,333737
2097152,316143.78,38187028,31153336,686167,306952
2097152,335676.62,43487161,31182452,659754,306076
2097152,790135.33,29806352,31225433,582109,230163
2097152,398026.19,42124990,31403021,691299,289454
2097152,426276.30,39805915,31234610,629832,316175
4194304,487941.93,44777949,37862051,620056,337551
4194304,328054.05,50731399,38003512,899449,349412
4194304,422541.14,49098189,37497624,644279,332596
4194304,354613.74,47494397,38003989,932246,357231
4194304,311952.29,50438431,38014880,878010,357361
4194304,533035.78,48623456,37679845,703500,338062
8388608,485780.36,47001999,50403361,723965,328269
8388608,379324.41,56711927,50708187,822833,334379
8388608,369508.13,68999118,51932406,1072926,381972
8388608,459391.35,50798613,50368870,731139,333291
8388608,385240.40,56400630,51370654,882150,353041
8388608,345687.93,62674838,51300695,892793,365847
16777216,369583.96,60687069,77074614,1106825,343694
16777216,323045.81,69069143,77058648,1073771,355175
16777216,338093.33,66070985,77288387,1057653,340595
16777216,329589.50,69119520,76946250,1045631,347353
16777216,254711.15,79136100,76674187,904692,402503
16777216,201414.27,77929490,75792513,848540,396411
