BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,233829.09,48968622,83175486,15585920,11379553
1024,217453.90,52246523,88674296,16654595,11930284
1024,378984.50,46442986,93636253,17227056,12602788
1024,649822.17,34521655,73212771,13685283,10164078
1024,670664.10,35392710,76957660,14359041,10601706
1024,585958.45,38217467,82405537,15364176,11252753
2048,1277827.13,19106469,39290872,7489610,6211130
2048,1288032.77,18933200,39093271,7457156,6173900
2048,1349834.36,18959467,39176763,7479328,6187026
2048,1297446.88,19986350,39222196,7520124,6194275
2048,1423562.04,19595056,39120683,7487318,6168279
2048,865651.37,22013671,44463526,8479379,6799600
4096,833834.14,17589847,35568572,6778981,5788742
4096,764301.04,21309829,38611853,7360692,6173286
4096,2032156.77,12365286,22438648,4475138,4177373
4096,2053604.44,11772409,22895138,4519236,4272026
4096,974284.52,16511413,33732562,6497014,5559542
4096,2046185.95,12075313,22428262,4483649,4179527
8192,885910.07,20669393,36020830,7916089,5287218
8192,687488.62,28342118,36374813,8615534,4941045
8192,845544.51,22468846,37194915,8985875,4883792
8192,808750.32,29063102,41888545,11040793,4684187
8192,878036.04,26970980,41571679,10675808,4812257
8192,757579.14,28051732,41708835,10485381,4975970
16384,670979.45,33930383,49354647,13927384,4656290
16384,766099.82,23968957,36414353,8731470,4924086
16384,705761.76,33230274,46206158,12708060,4701824
16384,779325.67,24849317,38028089,9299532,4935576
16384,735688.35,27249085,37852608,9348993,4873595
16384,707902.01,27552944,33017503,7160755,5106983
32768,719730.99,31507720,47300141,13225014,4730217
32768,662352.01,27502713,39688144,10311443,4804499
32768,652648.40,34637644,48633904,13839626,4667724
32768,598253.13,36254898,48012380,13545969,4722740
32768,520069.47,52147175,73278152,22936568,4592759
32768,814785.46,24955308,38647591,9915797,4817992
65536,662166.63,27529437,30518240,6902426,4852703
65536,603499.07,26717184,37173410,9476070,4803487
65536,672765.68,26083074,29889332,6697892,4852436
65536,466312.51,39697676,28155362,5903230,4909762
65536,510574.58,39497671,35602566,8663170,4938796
65536,440019.34,38922902,25738846,5004374,4907478
131072,414749.04,46424555,25600217,4982315,4884031
131072,383931.22,49141386,25435790,4951137,4876420
131072,406303.09,47195408,25698065,5001415,4897331
131072,408777.88,46465710,25717773,5010043,4904176
131072,309417.77,43986874,26690170,5239288,5022700
131072,293619.16,52205162,27058163,5515976,4931032
262144,494855.33,34742873,26573837,5228171,4992225
262144,560587.66,35010270,25805330,4996207,4908744
262144,468957.04,42157689,25967662,5058357,4916752
262144,573212.12,33431965,25778320,4991307,4906663
262144,670785.57,27233766,25742348,4984302,4908665
262144,548278.27,35508771,26351778,5179183,4939558
524288,473491.84,41043003,26843269,5230438,5028940
524288,338271.54,39238410,27472222,5462076,5117800
524288,445254.21,46223426,27720738,5545366,5085685
524288,446215.16,48393330,29425724,6194781,5101943
524288,420959.60,48098725,30433991,6536903,5144732
524288,416010.36,51075175,28315190,5754522,5110020
1048576,380658.17,60023871,32915064,7160019,5299302
1048576,372440.01,62014949,32848373,7095673,5344410
1048576,491623.82,49072296,29839892,6016844,5313649
1048576,378153.59,33230572,28324439,5477060,5253030
1048576,758228.26,24358165,28007513,5376095,5190044
1048576,668811.49,29281679,27991541,5376754,5188376
2097152,626699.47,31135086,31583726,6067420,5631093
2097152,570581.13,36810188,31335003,5975831,5614797
2097152,588832.15,34957786,31318006,5968352,5613393
2097152,536554.07,40364104,31170532,5939472,5595886
2097152,565064.18,37101388,31115582,5928750,5588144
2097152,540472.92,40803282,31532890,6048509,5630113
4194304,457584.08,47785384,37687348,7098858,6441141
4194304,456079.44,42785234,37773625,7139052,6436431
4194304,536191.18,41577242,37451595,7033925,6400923
4194304,457561.42,49437389,37630504,7078855,6429182
4194304,558671.51,45502674,37624902,7077541,6426449
4194304,386281.66,46991078,38051128,7237850,6462809
8388608,286767.11,83774602,50278456,9300009,8055663
8388608,241804.41,79747286,50183050,9290002,8060416
8388608,276247.44,88396353,50138294,9271476,8044248
8388608,158638.03,74272988,50389536,9351708,8104628
8388608,188950.14,86858355,50316741,9335480,8078870
8388608,255123.56,65574387,50400757,9343145,8075342
16777216,332947.81,75915947,78004776,14522131,11390965
16777216,300164.82,77515140,77631142,14382558,11393793
16777216,368345.51,70705965,78779108,14758987,11431679
16777216,329613.46,73527701,77046869,14125862,11431028
16777216,364080.25,69412345,79098246,14871990,11432108
16777216,384678.53,66332993,76843806,14067046,11421193
