BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,582559.64,59989269,148472678,46268019,219402
1024,571818.69,58946979,145386975,45285952,203208
1024,393481.81,60301588,141512355,43947540,175479
1024,423928.90,60121847,142551172,44344961,179573
1024,441135.56,58711685,143119134,44497812,182138
1024,198721.28,66029053,139086721,43170158,168246
2048,580114.17,35235448,79742986,25745673,186674
2048,626417.22,36073251,76336942,24603351,161189
2048,492537.87,35492837,75683424,24425361,155833
2048,611835.39,38044186,75366299,24290640,148465
2048,470566.43,37586727,79464828,25663855,194410
2048,578676.89,35983298,75651643,24402084,152491
4096,780516.35,23652159,41920773,14349948,135847
4096,735980.75,24475564,42801505,14612146,144680
4096,633044.03,25652324,44117047,15058507,146421
4096,624497.33,25543932,43627989,14881726,151280
4096,665163.46,23004694,43802014,14950102,146039
4096,683394.72,24249512,43273088,14797923,144588
8192,692704.31,23591439,27864740,10217468,187559
8192,718818.69,27036263,26242567,9688069,201838
8192,889972.68,21051009,26159148,9673275,157011
8192,846243.12,23210209,26056863,9640498,160614
8192,618581.90,26945205,27013842,9952537,180800
8192,820835.74,21784804,31428890,11381440,173187
16384,197183.79,40689634,18402713,7378043,182954
16384,360554.58,39567693,18178160,7324507,174061
16384,341418.73,39109885,17914351,7212569,186672
16384,326825.39,45268108,16791657,6845887,178447
16384,265592.30,48339669,16533044,6780034,173679
16384,385033.59,37840686,17771394,7194103,170338
32768,1101524.53,19069960,14267763,6142923,182539
32768,2063769.24,9492389,17018643,6976938,151297
32768,2112423.40,9131971,19344536,7696967,155674
32768,1602463.68,13024313,16895043,6955417,155343
32768,1443774.52,14399548,16149442,6750810,156789
32768,2099734.55,10139407,18899482,7574581,158340
65536,2020830.70,8415501,15363636,6448819,158918
65536,1973914.14,8015655,13852424,5982630,155869
65536,2380362.23,9383147,17969408,7265735,176190
65536,675731.98,20420202,13135640,5790504,189606
65536,2095770.41,8429999,16476118,6794187,167690
65536,2022553.68,8573861,15127028,6366523,159030
131072,1935240.75,8940738,12912672,5688719,157213
131072,2568686.64,9073771,13823729,5972152,156843
131072,1209036.42,19938255,13181492,5815180,203627
131072,1485102.41,12039243,13635449,5948723,173258
131072,715385.42,21161331,10402005,4932064,187280
131072,693335.61,21667911,10795606,5061823,210178
262144,1873003.97,11517279,11575521,5272272,156253
262144,2234631.98,9301927,12580206,5573372,152888
262144,1687374.91,13654379,10536279,4939856,155438
262144,2167901.14,10825756,12745079,5633514,159037
262144,1236192.23,22573740,11512468,5272694,174528
262144,1010403.74,31316687,10161248,4821720,180433
524288,776196.08,28832155,12365113,5545419,209338
524288,869434.91,34293402,10402177,4890502,194221
524288,701017.85,36881192,10226737,4827093,191565
524288,639942.51,46736663,10327899,4863445,201338
524288,628854.91,50570782,10561043,4934530,202166
524288,678227.64,34933952,10247090,4831802,191957
1048576,1147771.55,32262444,12575198,5556724,210959
1048576,424727.22,57034033,11982697,5380153,208138
1048576,1181373.66,21422277,11609357,5238289,194240
1048576,1174977.18,21852966,11828193,5317700,189679
1048576,1024182.25,25539404,12111659,5401765,202596
1048576,1136232.75,22219214,11618031,5241598,192817
2097152,867164.71,36520757,17067805,6939957,233511
2097152,936007.70,35250530,16639732,6802280,222309
2097152,889256.13,30110218,16550960,6772376,221009
2097152,888763.03,31177131,15738961,6506509,214117
2097152,829695.80,32059403,16060974,6604745,222195
2097152,894519.33,29501985,15548460,6434544,218912
4194304,452150.02,70627852,23394746,8838329,278886
4194304,447010.87,74121352,23039802,8717660,275063
4194304,454709.76,70763588,21960388,8357792,290260
4194304,488647.78,68126536,21775948,8302516,266144
4194304,440584.09,70113530,23676328,8920260,279134
4194304,454274.99,72355543,22102590,8406184,270806
8388608,416833.85,79179454,35519628,12413258,366614
8388608,322963.14,74653075,36992275,12891565,354574
8388608,193181.65,105685152,36990853,12898592,373252
8388608,181981.57,84088718,35426350,12410749,352199
8388608,170168.33,79369506,35297914,12368940,346857
8388608,214490.58,91026700,36069154,12600854,372719
16777216,277095.71,104203130,61506936,20182919,490686
16777216,291626.06,109349642,60759592,19914409,503188
16777216,317748.65,109090322,61872318,20235983,510870
16777216,291230.38,102770948,62408989,20473986,502288
16777216,262075.80,98368043,60875411,19960732,490237
16777216,211059.95,113409455,61832077,20305920,502556
