BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,239374.01,73565106,140460127,45310376,181631
1024,214270.90,71866116,141036176,45523941,309478
1024,326727.94,65902664,139621489,44996554,177368
1024,337047.08,61449734,141471302,45623714,177300
1024,351726.64,60623127,141288710,45550312,181480
1024,336266.02,61035119,140276399,45186534,257325
2048,455364.08,35557066,75076266,24099693,156732
2048,709468.47,34462469,75522499,24185985,186609
2048,552054.01,37404168,75713654,24282444,163611
2048,222270.62,37403153,76624742,24587044,227731
2048,266042.53,53743606,75464604,24396983,279253
2048,487761.40,39388698,77400431,24867970,273864
4096,567645.33,25533937,43437567,13948671,197126
4096,677704.52,22433554,42627626,13531131,143887
4096,788917.41,22777394,46283744,14748863,281039
4096,209666.01,48062345,44291859,14331290,264673
4096,209024.64,51680657,43737259,14187521,276730
4096,290990.72,35574188,42021161,13433717,152794
8192,454400.26,33677944,27621116,8836759,211106
8192,279899.96,34902166,25044024,7970747,152043
8192,170783.07,39171120,25162241,8121099,184714
8192,134273.33,44979073,26739606,8479519,176990
8192,182347.15,47914932,26488086,8494143,198423
8192,282865.63,45322302,27174310,8749673,253857
16384,257839.03,46341318,16809041,5260532,121445
16384,167099.03,33820127,18432475,5704224,95342
16384,204276.27,41229459,16294902,5141552,138282
16384,392624.85,37323313,17795025,5558922,128427
16384,837170.53,21719370,19590327,6080129,159089
16384,187146.12,41251673,18255099,5885828,208577
32768,469278.73,35631962,12912249,3953552,93984
32768,145191.36,44737599,12005838,3752696,114771
32768,348703.19,28179474,13659113,4222260,110859
32768,203370.93,41219485,13746336,4295875,112637
32768,244441.98,28103783,12985642,3976027,98463
32768,180380.62,41398870,13726661,4288439,113542
65536,267730.13,37940052,12035266,3624604,91562
65536,183224.71,44833806,11843707,3592437,89815
65536,217109.82,44336887,9790831,2979211,86574
65536,228821.06,42630663,12591177,3788987,81317
65536,206821.74,36858844,9832023,2947480,63615
65536,378003.86,46927232,11654709,3518862,60135
131072,193649.43,45232935,11326787,3411269,76339
131072,269455.50,40190402,11015973,3306960,79206
131072,227064.39,40024927,10735523,3300162,109618
131072,255823.38,36297388,9542273,2879603,59978
131072,203112.40,40219500,10091401,3017551,75036
131072,498564.01,30178124,10673510,3222762,99250
262144,436179.48,40649864,9952811,2942422,49975
262144,310569.75,42930346,9023687,2660407,60156
262144,181804.44,47933140,9995884,3008215,64656
262144,190722.19,57202659,10462288,3183456,78326
262144,335410.61,30316557,11693931,3510977,62397
262144,426865.13,37986865,9250289,2738341,45995
524288,263856.73,61875620,10482136,3142492,57881
524288,611787.04,48456213,10129170,2944463,43662
524288,194942.58,55506685,12386739,3745107,85111
524288,266806.07,55684709,11184725,3361185,62119
524288,351518.27,53547277,11369399,3423385,60492
524288,165275.30,59424427,11147206,3380081,85232
1048576,359405.20,69447467,13983787,4176285,67835
1048576,173385.21,57286447,13574879,4135523,70812
1048576,536155.98,56124284,13961739,4197969,68203
1048576,395344.42,64386065,14339605,4308215,69059
1048576,338618.01,62285548,13370597,4030128,69570
1048576,287005.58,55751482,11798746,3536924,51020
2097152,252677.30,66554414,16711220,5084839,84289
2097152,324554.46,58243190,16799476,5150261,77037
2097152,346408.79,66961895,17511963,5352764,88766
2097152,190051.55,61223352,16348764,5030430,76598
2097152,264805.42,56177232,15330137,4656345,63379
2097152,203847.37,55774676,15442738,4713904,75074
4194304,229542.06,77773973,22943514,7084662,105598
4194304,449186.13,46499077,21769617,6667026,70607
4194304,314885.76,72679101,21985535,6739020,81253
4194304,882350.15,40566091,23165319,7043521,62931
4194304,408176.52,73969339,22751215,6926116,73038
4194304,187761.84,79358680,23242937,7153864,110565
8388608,255850.68,76084259,36570746,11292977,133305
8388608,365076.06,60661503,34734341,10711825,121346
8388608,484252.55,50074190,34171250,10557667,84731
8388608,389800.22,59018850,37245264,11501269,133581
8388608,499212.99,54980821,35705244,11019519,101936
8388608,519314.69,53414532,34736892,10731623,99393
16777216,314734.33,85137017,60867486,18870002,171637
16777216,263155.64,90420363,63042441,19516837,191834
16777216,265535.17,89636729,63407734,19699380,213968
16777216,270230.43,90680820,62147148,19247446,194425
16777216,278237.77,91669258,60985486,18922061,179714
16777216,263856.08,84184985,61341504,19073049,161397
