BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,311100.24,65225693,139283980,43235061,163920
1024,357298.44,63121136,143582048,44656095,185428
1024,365362.48,66131840,145935385,45459737,198275
1024,518986.90,60457801,149784953,46701314,223488
1024,476754.56,59695419,148469784,46262703,223046
1024,501461.90,59958554,149216948,46612110,217225
2048,690057.64,34021951,81318700,26237096,194490
2048,738235.63,34041726,82315916,26543967,207673
2048,716190.70,34124602,81900694,26420072,214413
2048,682863.81,33734020,79863328,25768899,183762
2048,745317.98,34019650,81979954,26440098,203490
2048,715353.43,33677613,81131744,26170912,193646
4096,999748.48,21761574,50589835,17128698,190342
4096,1003179.90,22728193,52340481,17674662,204202
4096,1019661.19,21868154,50492552,17081686,194307
4096,1046522.78,21668684,50082213,16955656,187532
4096,281705.12,22365414,49695376,16824091,190491
4096,290298.51,21136879,49056258,16625024,178774
8192,1426143.16,14608329,32741758,11770397,166689
8192,1353474.13,14986651,33131460,11899053,172040
8192,1040322.11,15477312,28649752,10458713,172446
8192,281773.77,22491709,28204943,10313837,197423
8192,1420193.44,13638192,30152288,10948622,154635
8192,1354806.96,14791396,33204983,11924321,167223
16384,2116552.20,11423993,24216545,9209018,164782
16384,1779639.79,11493379,24336970,9248980,162077
16384,1773855.93,11844933,23520078,8975852,164444
16384,1791655.27,11254616,24261089,9222544,165043
16384,1898350.41,11384501,24498868,9298251,159305
16384,1835558.57,11794534,24254268,9211158,173640
32768,2093667.80,9392198,19304140,7696854,157226
32768,2153727.01,9276704,19361387,7707803,156567
32768,2125926.08,9685528,19323297,7710333,154731
32768,1948465.46,10840715,18856321,7564474,163114
32768,1181273.79,16058581,16578243,6854816,177217
32768,2014049.89,9753097,19279448,7679638,155448
65536,1900564.95,11037766,16015737,6664090,181033
65536,1916277.89,10714355,16269877,6739068,176097
65536,2053623.62,8389355,15166815,6378813,158776
65536,2074216.12,8122137,14405642,6172382,161881
65536,2001203.31,7907360,15094516,6348544,156116
65536,2163640.03,8719003,17013774,6961818,165889
131072,2101351.27,9198203,13754817,5945708,155842
131072,2051576.46,10418675,13174296,5774348,156104
131072,2048038.05,9527436,13703939,5938086,155854
131072,1232984.34,19406710,11177923,5163347,179312
131072,1857592.43,11895606,13282411,5817701,166205
131072,1993888.29,10123316,13654092,5917047,159197
262144,662453.77,52528313,10138178,4813687,204354
262144,906720.24,30014886,10075847,4795974,188850
262144,289285.20,39344216,9343561,4576578,188111
262144,268798.26,64831399,10874587,5071107,215320
262144,350281.16,49755812,8668945,4354057,197629
262144,317688.86,51982953,8426679,4284119,198161
524288,231756.70,63441747,10780587,5028773,210471
524288,2127404.32,10581595,11412051,5202803,156426
524288,630881.00,37290684,10134936,4800035,193665
524288,611458.73,49325812,10345686,4868222,204530
524288,758151.79,38758608,10055240,4773767,191218
524288,689130.79,44918109,10411337,4895081,198590
1048576,538750.46,59806832,12260765,5459752,215179
1048576,543353.51,57888615,11962974,5363762,210658
1048576,534597.21,42421041,12131487,5418671,207300
1048576,813434.38,39417417,12358919,5489413,214606
1048576,557375.87,55937970,12324153,5482665,215322
1048576,565193.69,54948776,12835225,5649856,219582
2097152,483230.92,67024463,16726329,6827377,249488
2097152,492000.22,65419806,16354721,6703884,247974
2097152,503264.49,64373134,16180336,6649402,229139
2097152,489669.29,64049655,16736030,6825844,236494
2097152,474449.22,70216826,15979269,6591992,232590
2097152,495265.58,63629271,15394769,6390540,226387
4194304,467400.04,71970167,22954601,8686143,269922
4194304,454245.57,73131249,22205762,8417919,288390
4194304,445116.58,64180501,22073870,8390642,266296
4194304,454637.05,69728441,22710806,8603292,293801
4194304,615251.40,54591517,22729166,8592158,267656
4194304,465589.51,70424509,21908768,8322856,287902
8388608,303546.86,75636862,36340399,12696846,372739
8388608,299488.12,74412874,36970284,12909342,370669
8388608,301607.64,73943548,35868346,12564553,370941
8388608,300902.12,73812396,34728732,12167767,343535
8388608,285520.60,76702368,35477253,12411299,363997
8388608,296045.03,75586052,35039084,12269363,348990
16777216,267233.25,85529826,61411247,20145122,503295
16777216,276087.39,88342781,60915217,19978718,494822
16777216,286800.68,80187238,63392424,20740714,506829
16777216,275710.47,97423647,63328159,20714871,511644
16777216,274751.59,83184056,60317725,19775724,499688
16777216,283730.53,92816884,62658765,20557436,502517
