BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,500580.36,58270878,145210374,442599,17368
1024,459710.48,59829566,148410437,433000,13074
1024,482554.01,59465512,146921960,475510,38765
1024,520845.26,58606410,142821821,487138,48965
1024,496663.99,58519423,144971323,477872,27450
1024,527622.86,58865387,144910986,495203,36702
2048,665625.13,34561856,79156614,505092,63669
2048,754193.10,34616076,84670685,411341,8548
2048,724771.93,34838716,84089385,413931,10991
2048,571831.51,39124755,75382268,483678,274822
2048,726295.09,33839289,80864622,438795,39644
2048,703270.77,34125615,83155689,438398,22438
4096,974135.19,21737363,48884407,473834,43196
4096,971156.22,21494191,47812278,507722,78047
4096,1000698.98,21208963,49108936,443844,26297
4096,1000828.10,21547769,50171548,393305,9817
4096,286686.81,21864359,50177546,433323,23150
4096,982610.90,21848640,49948568,455215,27138
8192,1346065.17,14581872,32457067,438819,21739
8192,1509554.84,14773226,33256267,416365,7903
8192,1245062.29,15008877,31087676,510385,70779
8192,1055793.72,17689861,26384562,516135,158821
8192,1425888.16,15649230,33344288,410258,11105
8192,1630661.64,14630211,31466672,460444,26281
16384,1876545.88,11121671,23991833,386659,8216
16384,1806776.58,11875452,24152032,387231,11653
16384,1842507.30,11247803,24380558,403963,6699
16384,1466998.64,12182003,19976332,547996,157965
16384,1483434.49,11415000,19722748,533305,136635
16384,1700387.08,13079099,23514919,408288,18971
32768,1305000.03,14899538,14015200,691992,260603
32768,2126936.20,9211794,19307838,448469,11009
32768,1920798.48,9659058,17073097,510697,53298
32768,2139527.41,9684809,19265121,500737,14636
32768,1861612.90,10226690,14865028,618246,130657
32768,1863683.47,10141002,17867872,583803,57760
65536,2153861.76,8564077,15038667,459527,23257
65536,2160910.87,8439842,14258512,560536,49081
65536,1177060.65,23906511,12189720,579827,218410
65536,2122257.74,8712424,17280604,456926,13663
65536,1951016.61,9024907,16001472,557669,56597
65536,2031459.82,9052812,17663583,457313,17154
131072,2274278.42,8434590,14541024,535754,22467
131072,632052.26,28525526,11373769,691148,308667
131072,662441.25,32337741,11177213,599547,293421
131072,668783.27,22626609,12357701,710361,284503
131072,653734.88,23469864,11326775,711218,277017
131072,685840.87,23444119,10625476,691164,272187
262144,620610.40,27085209,10974725,711987,298290
262144,530880.30,33401400,12084997,711139,304796
262144,553362.91,29749084,10134710,745565,308723
262144,562644.52,30764128,11270318,666736,299834
262144,681368.64,28145057,12186976,773216,307591
262144,1090888.22,15020645,11666696,729898,143696
524288,2244718.14,10279086,11428667,769016,120567
524288,2465597.67,8462120,11716637,768652,87981
524288,2034510.69,17930898,9955723,693249,186814
524288,2424637.10,9679849,12003698,786853,79870
524288,934837.14,26603981,10599991,720828,178397
524288,1896457.86,13744025,10351440,745860,164493
1048576,623725.22,50410086,12663155,761575,351706
1048576,1235255.21,20574685,11767860,846424,272515
1048576,627434.16,49545550,12269895,749791,352459
1048576,387011.38,55746175,13053080,748466,389434
1048576,480319.51,37804191,12245986,813425,369450
1048576,1092475.20,23469425,12071416,879828,319732
2097152,947629.79,29419347,15234200,890145,334703
2097152,906604.63,30477296,16365038,921122,350064
2097152,883694.62,31202641,15590217,926539,358890
2097152,993155.36,27748783,15586241,908938,329825
2097152,822112.02,40414689,16383675,891600,388957
2097152,1005792.86,31662559,15440469,884938,336546
4194304,763232.72,37547905,22998794,987034,405892
4194304,807035.87,33996747,22299970,953257,357772
4194304,728042.68,36976134,23020729,927657,414543
4194304,833155.00,33555331,23067931,980104,395944
4194304,809280.03,33534051,22037997,934868,381013
4194304,803427.94,35101864,22242878,958373,357121
8388608,694389.07,44832961,35540017,1077197,446924
8388608,685809.16,42390429,35787592,1080657,434682
8388608,752271.87,39249819,35357923,1057187,424985
8388608,679309.73,42688422,35574291,1094980,454102
8388608,686260.27,42673122,35998122,1071859,451135
8388608,678739.11,40337113,34531758,1031831,459784
16777216,580215.07,50729241,61500731,1238210,541850
16777216,607062.77,51911387,63525561,1323872,579844
16777216,581011.05,53028458,60261753,1214075,560341
16777216,572564.42,55524182,63459625,1321856,555818
16777216,618567.03,50741530,61954517,1218154,531806
16777216,604265.34,49485700,62009129,1238914,550659
