BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,498469.64,59791373,148493396,27193105,19311833
1024,497201.77,60791119,150494771,27585818,19563747
1024,501090.70,60097979,149140757,27312711,19389776
1024,493992.85,60328197,149400734,27373731,19423952
1024,501303.40,59831297,148620154,27220494,19323335
1024,506538.75,59795099,148667784,27225700,19334534
2048,932564.22,35662677,84933168,15826167,11788223
2048,791538.53,34477528,83029437,15454178,11552246
2048,745338.89,34278921,82554433,15361249,11488537
2048,735397.24,34633719,83073673,15467742,11554091
2048,817371.38,34524627,83350289,15508425,11584996
2048,725831.10,34521467,83096684,15471941,11548989
4096,290956.61,21531823,50073048,9512555,7653464
4096,1001154.00,21345927,49911246,9463817,7624400
4096,982371.89,21323673,49798429,9445097,7603824
4096,987457.09,22040137,50684581,9631110,7722892
4096,287591.33,22144936,50265989,9527701,7679772
4096,954929.87,21249578,49792472,9433336,7602624
8192,313196.84,14489215,31956886,6204623,5478190
8192,1383742.55,14563895,31593440,6121086,5437906
8192,1462018.22,14230050,31439780,6104604,5421137
8192,1364671.90,14141524,31844011,6178203,5468245
8192,1374628.91,14215529,31995147,6207377,5482121
8192,1411390.80,14459094,32379452,6276852,5537411
16384,2201733.87,11212659,23946180,4743673,4526127
16384,1815572.90,11124992,24398786,4840030,4584534
16384,1944278.11,11018001,24151437,4785306,4548267
16384,1888049.07,11186508,24107071,4773611,4550568
16384,1789825.88,11065794,24092095,4768743,4544004
16384,1867843.61,11114313,24288275,4798755,4563438
32768,2322891.60,9009358,19123790,3851339,3950563
32768,2154277.83,8947291,19179292,3854467,3950267
32768,2271256.01,8988448,18939807,3814400,3923741
32768,2315196.18,8922551,18992867,3825641,3932395
32768,2275403.28,8930307,18922575,3807403,3922267
32768,2231848.59,9128919,19408404,3911990,3980618
65536,3061455.31,7418172,14789719,2997420,3402404
65536,2857748.36,7333335,14756071,2995918,3397253
65536,2093712.90,7158088,14681709,2976071,3386081
65536,2069935.60,7209995,14414685,2924081,3357175
65536,1985217.78,7383968,14866240,3009261,3409399
65536,2139658.95,7504575,14791744,3001699,3404935
131072,2548423.41,7575331,14135100,2902334,3321406
131072,2490986.49,7628201,13942188,2858928,3302250
131072,1644023.37,11671665,12117786,2539707,3073361
131072,2285194.96,10118877,13562712,2806187,3251863
131072,1103107.21,22229556,11106513,2402347,2963197
131072,1495664.05,10492077,11989972,2534584,3067786
262144,2994952.72,11557549,11000516,2317718,2931151
262144,2427352.80,11438544,12137534,2522234,3079330
262144,2150408.30,11273436,12487730,2585984,3119342
262144,319994.61,49108588,11830774,2551659,3072106
262144,328885.83,33856033,9820283,2143783,2793409
262144,529467.61,38045326,11978077,2558769,3072639
524288,1588409.47,14790261,10117569,2149702,2814220
524288,2260099.04,9756484,11346016,2364749,2972948
524288,2397152.07,9273393,11948717,2475449,3050122
524288,1975249.91,11844758,10638107,2243570,2883465
524288,2282436.17,10277049,11134026,2320026,2949799
524288,2121089.52,11354080,11201288,2348610,2954548
1048576,1130731.26,31461711,11762625,2454262,3036202
1048576,547640.79,55211359,13969351,2878189,3323504
1048576,698608.11,34289558,11477130,2392881,3001301
1048576,494138.77,63183930,13174564,2751088,3236008
1048576,1156585.96,20797041,12093338,2510727,3079432
1048576,1247279.12,20471670,11661122,2426295,3021987
2097152,874993.28,32762781,16329861,3292522,3628737
2097152,855338.22,31896641,16441631,3312315,3648117
2097152,917212.83,29873918,16337025,3292687,3627801
2097152,1028851.52,24865281,15215036,3050217,3482775
2097152,914605.40,29111054,15354280,3084779,3506280
2097152,961067.14,26435754,15446226,3103523,3513067
4194304,797510.90,36116971,23000375,4443563,4505327
4194304,822306.70,34429382,22051116,4227824,4394248
4194304,808362.20,35303177,22604781,4373799,4452929
4194304,824413.11,34864281,22505398,4350642,4439518
4194304,788646.00,35340063,22797899,4411218,4477645
4194304,783861.83,36847255,21999708,4255040,4376305
8388608,684435.00,39275924,34689100,6425777,6038990
8388608,693553.95,41240310,35790203,6657191,6183652
8388608,681815.67,41586365,35435533,6589306,6137781
8388608,676697.76,43081563,35737109,6646043,6178389
8388608,676422.01,43614631,37140785,6899193,6356008
8388608,731709.52,43963109,35322129,6530404,6136906
16777216,555499.15,56915051,63222277,11401651,9770258
16777216,633264.94,55669143,61493220,11053615,9550451
16777216,558193.25,55562450,61109055,10976094,9499612
16777216,571744.87,53505676,60913260,10999639,9472384
16777216,571890.11,53585180,63450764,11439070,9802609
16777216,556518.10,55355470,62997222,11373490,9744714
