BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,325386.32,107225938,250910060,76433067,567689
1024,326840.31,106954568,250280756,76228167,588297
1024,325073.43,107454066,250740886,76391173,565642
1024,331323.73,107034180,250380138,76265754,557911
1024,326252.14,108243392,251888482,76727319,635556
1024,278907.17,110466462,258619204,78769011,538913
2048,489988.65,61676142,148084950,45820721,335456
2048,536333.14,61313293,146380890,45263518,329408
2048,533045.54,60901049,145301866,44980460,325180
2048,538726.30,61485088,146356985,45263547,364629
2048,550433.60,59800871,140267447,43456757,338658
2048,528538.65,61192231,146028445,45148803,328249
4096,824956.28,35396660,76739206,24726902,207737
4096,824597.98,35227381,76878798,24771964,228476
4096,877177.24,37342338,77890542,25095703,261624
4096,767478.34,37462617,77724319,25011837,253399
4096,832236.01,36345856,77935538,25082452,225631
4096,440370.88,51886635,81319861,26172005,263280
8192,383947.34,37736735,48134731,16183478,205657
8192,403409.86,40136429,49536394,16618027,204418
8192,335358.49,42360553,47043979,15867038,214623
8192,389348.79,42612337,49463659,16600308,191451
8192,507601.24,31324940,48837217,16389510,188822
8192,370633.72,32705523,48502117,16335715,197833
16384,790623.31,17228716,28601229,10314297,148644
16384,485613.23,31721746,28865727,10423601,171733
16384,783273.83,17178568,28352537,10249208,138840
16384,366965.86,19745238,26859580,9875248,155638
16384,331466.86,23074218,28154365,10299182,180929
16384,735459.77,15306625,27556115,10023288,142951
32768,554441.89,15494008,16895412,6887794,145403
32768,1199504.82,9306780,16794892,6791585,124688
32768,556865.17,13362169,16936161,6872479,141247
32768,463598.67,18211743,17079552,6956814,155434
32768,724391.30,13103688,16983556,6881630,144910
32768,1225690.92,9542051,16555638,6716243,132908
65536,2682288.49,9186889,17687999,6999362,216553
65536,3762067.58,9975361,17384279,6910867,219620
65536,2591602.24,9089798,17382493,6914441,212346
65536,2526916.76,9234282,17601956,6976218,219415
65536,3476632.10,10872368,18098608,7128477,228140
65536,866778.89,14544143,19425323,7542275,206553
131072,350378.33,23910488,17693368,7093605,205102
131072,851254.36,16099869,17856179,7085613,185551
131072,2704541.64,8991393,16558409,6672621,202564
131072,2570466.98,8957751,15998058,6528833,197504
131072,2688221.83,8401336,16020033,6529809,197706
131072,2899141.69,8302565,15860180,6476352,194770
262144,2397381.56,9473723,17057535,6817639,201535
262144,2634368.25,8568456,16296047,6600761,193465
262144,2679445.08,8736220,16193952,6572701,194641
262144,2678309.81,8433438,16210336,6574536,194044
262144,2849815.95,8547684,16139036,6558107,192685
262144,2656540.26,8460747,16177961,6569321,193507
524288,2506613.39,9194494,16279757,6598705,196597
524288,2589084.73,9022430,16312739,6615388,199594
524288,2543655.51,9285958,16330621,6613991,196970
524288,2553824.50,9050128,16240042,6582661,195231
524288,2721027.77,9107735,16266526,6591355,198150
524288,2309703.83,10043020,16942259,6780409,199998
1048576,2927594.73,12994434,16853107,6754846,198074
1048576,2469786.40,10837824,17173918,6861832,199274
1048576,2154169.54,10915809,17716763,7018749,204007
1048576,2630765.20,10804938,17232226,6871920,199709
1048576,2196319.31,11137473,17891264,7072848,206779
1048576,2254646.51,10460775,17376584,6925972,202985
2097152,1731474.50,15144631,20011128,7703119,215932
2097152,1621570.16,14920138,19809893,7637008,212767
2097152,1716232.47,15015573,19977932,7689602,216105
2097152,1515518.14,16008816,20016180,7702436,217648
2097152,1640917.48,14750409,19981408,7682451,215743
2097152,1720143.31,14973821,19805469,7641226,212981
4194304,1086802.83,23124382,26257480,9579091,260134
4194304,1116466.00,24057487,25951374,9486007,264648
4194304,1252318.60,21068717,25943003,9476465,258695
4194304,1170760.61,21015810,25953570,9487413,256312
4194304,1140880.45,24057499,25962610,9486023,262014
4194304,1119711.65,25412667,26079369,9517205,259496
8388608,804824.23,35005025,38324709,13195455,338019
8388608,820270.14,35594715,38352470,13202990,338877
8388608,825832.57,36659015,38789692,13331397,324931
8388608,824420.53,34403802,38779790,13330579,336779
8388608,857023.23,33760986,38576401,13275095,339831
8388608,848435.57,34225440,38423364,13215126,340425
16777216,615735.92,50836657,63345116,20687263,471767
16777216,609420.22,53430479,63121476,20617133,478817
16777216,614986.94,52355111,63193016,20642404,496105
16777216,650960.14,58773175,63130272,20617329,475375
16777216,604735.70,53438589,63263537,20666052,476581
16777216,645209.33,55036186,63279066,20660460,497380
