BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L2_ACCESS,L2_MISS
1024,305719.78,114679403,253599250,77226158,552291
1024,345043.28,108970694,251445559,76590479,606623
1024,324351.86,107248481,250973774,76435360,557792
1024,326226.90,107521521,250875201,76415433,580667
1024,327008.84,107139388,251154573,76492206,587462
1024,325451.94,107753553,250963677,76424333,631273
2048,548342.12,60705394,144908510,44841136,321100
2048,529137.13,61867365,147113654,45516382,335382
2048,523553.16,62873047,146307406,45247391,322200
2048,543064.51,59782794,140270927,43445482,326820
2048,543775.47,61324246,145524765,45020669,334020
2048,631831.20,60601075,141288441,43726322,332237
4096,899471.15,37972362,77395569,24934798,261935
4096,931966.04,38601329,77645326,25007264,265978
4096,683357.55,35578513,77558533,24956521,243252
4096,759719.03,37291056,78164183,25148655,243465
4096,793894.00,37438863,77945554,25087773,276639
4096,987429.60,37276007,76943560,24788058,224257
8192,1246714.04,19934022,44644637,15097302,180484
8192,1455008.49,19550118,44542533,15064653,176535
8192,1408991.62,19456403,44319744,15005893,180053
8192,1398749.19,19277675,44398280,15018255,174296
8192,1388654.60,19354499,44513528,15054178,178628
8192,1496305.34,19865986,44504575,15059678,176575
16384,2034102.31,11678914,25201049,9286239,135987
16384,2166773.27,11481342,25026452,9227576,133801
16384,2147414.58,11718311,24854453,9180466,134166
16384,2152000.30,11300897,24810117,9167739,135587
16384,2046135.74,11510510,25097222,9256757,142041
16384,2064614.53,11591785,25016639,9240272,136888
32768,2906962.33,7716898,15684599,6440612,124993
32768,2880199.42,7746370,15875047,6494125,130402
32768,2936057.57,7537524,15519221,6396368,130240
32768,2921399.06,8152951,16055158,6553966,131708
32768,3040437.03,7773388,16050229,6548041,130331
32768,3008644.38,8462942,15871243,6491662,131314
65536,2823559.50,8924016,17453281,6929790,214598
65536,2542274.30,9228226,17361606,6907643,214520
65536,1718709.82,18246876,18190392,7162424,230555
65536,2610821.24,9891408,18390891,7209346,225440
65536,1927300.40,12436166,17674875,6993166,230385
65536,2678934.23,9212739,17613773,6974679,216386
131072,1593098.71,15350776,15251985,6285842,214405
131072,2707778.65,12055626,16289540,6584194,202474
131072,3712203.46,9884700,16536329,6662014,201099
131072,2389346.50,8600723,15947925,6512579,195364
131072,2540923.58,9730069,17296940,6879701,211684
131072,1588838.55,16574245,15544398,6369007,220042
262144,1283616.96,22831919,16836798,6784064,201189
262144,1422703.89,13332391,16466540,6678568,194484
262144,2260955.78,10207412,16221703,6581110,195369
262144,1990176.16,10682223,15989312,6527675,196229
262144,1985901.07,12537130,16560943,6665928,206512
262144,1357705.98,18844173,16239924,6607381,199418
524288,2125105.96,10658982,15730872,6434821,189013
524288,2393308.61,10422634,16426975,6637734,201556
524288,2337648.75,11744820,16023000,6519939,189434
524288,1831806.50,15046332,16092099,6557322,195971
524288,1529607.00,16757780,17160206,6877552,195989
524288,2438104.38,9907522,16153638,6564885,198380
1048576,1575534.87,12787992,17312923,6912121,192492
1048576,1706072.57,16204237,16901759,6773038,198904
1048576,1309472.05,18008843,17607676,7004251,206655
1048576,874813.84,30983853,17896467,7132157,222535
1048576,1135990.78,22608002,16962821,6792256,211366
1048576,1518309.11,17311005,16914253,6772154,202598
2097152,1292292.23,20638434,20002248,7707400,222391
2097152,895894.24,31070910,20460149,7834720,234536
2097152,932897.63,29160029,20331758,7814213,232818
2097152,931813.99,29597134,20108530,7740915,233013
2097152,972893.65,29207771,19997684,7703043,231983
2097152,894301.51,31324986,21027906,8038770,224111
4194304,898849.72,31213598,26134718,9540461,265169
4194304,697731.05,50082294,26697324,9720023,281346
4194304,595623.96,37854363,27179547,9884666,262903
4194304,629684.86,34466952,27256996,9887263,259674
4194304,592856.84,34661297,27714084,10030855,260502
4194304,588129.97,37762370,27332100,9913134,264523
8388608,601071.87,40344517,39453374,13533416,335516
8388608,558519.58,44950041,39554997,13566357,341665
8388608,528599.38,45671002,39852319,13663724,343734
8388608,528819.90,46755222,40052620,13724388,343911
8388608,535097.62,44433776,39590106,13592294,345765
8388608,488294.22,43771762,39451123,13544722,335485
16777216,460987.25,59001880,64537833,21052692,490608
16777216,454882.69,60736068,64455203,21029029,488210
16777216,448596.29,59635895,64471420,21043628,493039
16777216,444616.20,62944964,64917009,21170994,488120
16777216,447406.67,64738427,64513316,21049896,489470
16777216,425703.64,62341219,65197683,21282170,498393
