BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,837618.40,35554345,75749313,25210195,10275
1024,897939.30,36161480,75332143,24932097,14305
1024,794722.67,35624161,75517406,25133822,11555
1024,812473.86,35649351,75484223,25114335,11480
1024,771644.78,36378070,77523499,25749462,22684
1024,585977.66,39356968,82805102,27408706,47297
2048,1383760.62,19604565,40091278,13166943,5221
2048,1270939.43,21221223,44575466,14573760,7118
2048,1330688.88,20758286,40656460,13400527,6367
2048,1330975.10,20478835,42174154,13887957,5888
2048,1374034.11,19916113,40386481,13289770,13056
2048,1397826.83,19687474,40155803,13158046,6048
4096,1139842.46,17850655,38012182,12015932,86383
4096,1700803.82,14597689,28373371,9095692,36430
4096,2193844.00,11845524,22639696,7248469,3419
4096,1095988.44,16900672,34713372,11071091,64572
4096,819132.66,18899830,38310884,12112235,81430
4096,2017912.81,12423670,23015835,7397858,7012
8192,1019382.91,27058825,39792321,12206387,22813
8192,837822.97,19107724,34149734,10661032,86890
8192,920537.60,23286546,36877861,11358123,49875
8192,887695.59,21672838,36070088,11181113,53001
8192,782610.24,20166247,34216804,10705843,85344
8192,666392.29,23996164,34459699,10825938,114829
16384,749452.55,21153301,31833922,9875100,88195
16384,786354.57,22967338,34032348,10525198,74684
16384,875947.58,19960363,30458104,9460469,98317
16384,778193.70,23135882,33682837,10395684,70510
16384,687073.56,22864396,30268614,9391669,102570
16384,932420.87,19210484,34256775,10580140,66813
32768,825061.05,19117455,31015317,9555459,74622
32768,866333.35,22285266,32317700,9889708,70512
32768,643069.59,30333308,42173087,12942534,45509
32768,883820.35,17852674,30726507,9437919,73273
32768,830158.90,19790413,31019842,9525170,76903
32768,794181.93,17087198,27603560,8495835,84221
65536,507952.94,21126126,25524068,7802879,68548
65536,954169.75,14516574,25545935,7797518,62728
65536,1004138.89,20196527,36342831,11109588,35237
65536,1121386.09,23299427,41577076,12783622,28596
65536,972098.23,22983346,38031985,11731785,45102
65536,1017215.82,23069473,39428340,12163182,30479
131072,914665.60,16571522,26682520,8314082,101041
131072,931387.16,15655478,25671265,8030706,101842
131072,888675.39,16973131,26765569,8332854,100408
131072,936447.35,15148268,25580834,7990267,98933
131072,872859.05,17122028,26646748,8338304,104178
131072,881214.61,17628255,26488608,8267199,103736
262144,1022886.79,21897047,26894405,8380877,107762
262144,881045.23,17988972,27077220,8467492,107145
262144,875336.52,17486199,26968635,8429626,108375
262144,895627.69,16584693,26668219,8358126,108682
262144,895328.50,17865006,27023947,8430096,108975
262144,906207.49,18376732,27063396,8448707,107535
524288,820247.42,19959663,28363391,8880419,114402
524288,873103.63,17992187,27200871,8545633,111277
524288,790418.62,21101338,27848432,8714982,111755
524288,858105.52,18447110,27692797,8644340,114043
524288,799530.92,21322576,28108127,8817084,112974
524288,794117.04,21632661,28123675,8807464,116398
1048576,637280.01,33129890,29998923,9396792,125968
1048576,607755.98,36127084,30090171,9433027,124222
1048576,687634.21,39957451,30879276,9683036,133334
1048576,612507.52,34268053,28897037,9066670,128645
1048576,659345.66,37468893,29910597,9397356,127161
1048576,628269.34,31760552,30012770,9410202,127541
2097152,556827.17,39225811,32402403,10176412,144127
2097152,558591.65,40724264,32864714,10318571,144436
2097152,558675.59,38508988,32702223,10258692,146663
2097152,551406.76,37820073,32165555,10121095,149140
2097152,569030.44,38937486,32231748,10113143,143588
2097152,581299.79,37048553,33378509,10519144,160125
4194304,534800.91,41725148,39807559,12542206,178739
4194304,564708.01,42036478,38936451,12305360,188297
4194304,507262.73,41082489,39264201,12361560,186936
4194304,537709.57,41039854,39100205,12326564,185351
4194304,514537.64,42024659,39017986,12301854,184121
4194304,527942.52,41874515,39273120,12375263,182079
8388608,478647.42,46947299,51280187,16260586,260314
8388608,469970.41,48246907,51713052,16383961,254236
8388608,482678.26,46820279,51147097,16195712,252005
8388608,385066.86,51631176,51749995,16424769,265332
8388608,503343.92,45236953,51216440,16176661,242718
8388608,511142.57,47097464,51395764,16340337,263493
16777216,401915.95,55158324,76137670,24310468,412517
16777216,391630.74,55310484,75786473,24192076,415310
16777216,390072.93,60076638,76109301,24249662,408603
16777216,396074.79,55681207,76225344,24299607,407343
16777216,397161.68,58778884,76407541,24359021,408580
16777216,396561.77,54449073,76039313,24241675,407310
