BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,748560.72,39348759,76521566,14513271,10484493
1024,760790.88,39862035,76732900,14567285,10484884
1024,725336.05,40233561,77253244,14765410,10470644
1024,712948.82,40939650,77394976,14688940,10564828
1024,739136.98,41859122,77128930,14740065,10471211
1024,779477.68,39271818,76327323,14443108,10473349
2048,1344936.07,19991738,41057826,7819672,6439962
2048,1328740.45,19705958,40198718,7679985,6319984
2048,1299938.12,20607732,42753286,8110562,6643333
2048,1680035.51,19892762,40273941,7695129,6347171
2048,1749539.63,20172975,40208753,7697845,6334960
2048,1247275.94,19584775,40119604,7655830,6307979
4096,2067867.96,12332176,22743851,4523068,4243454
4096,2070999.75,11752173,22657509,4475020,4242945
4096,2054766.57,11850595,22786694,4505585,4243271
4096,2234981.31,13080604,22618188,4536760,4223890
4096,2181106.42,12169960,22775034,4520986,4242804
4096,2159671.21,11842902,22741103,4516321,4241289
8192,1491276.11,18388720,33096893,8074464,4523050
8192,1497115.46,17955772,31989754,7904432,4376461
8192,1461022.46,16657027,31608082,7589835,4472613
8192,1485616.73,17242795,31545083,7673212,4402337
8192,1471043.16,17419361,31537191,7684494,4407020
8192,1497117.88,17218653,31380534,7717225,4354158
16384,1244530.20,21129097,38019454,10185497,4393678
16384,1218173.87,21816316,38278630,10209346,4461753
16384,1182783.82,21818397,39140509,10515710,4452441
16384,1226057.46,20115335,37330027,9893708,4417420
16384,1286994.56,21473788,38201902,10168228,4437598
16384,1213342.49,21681135,38688714,10355017,4440921
32768,1100637.44,23339381,41542893,11472040,4532302
32768,1068388.08,23414832,41741743,11430694,4597072
32768,1256929.92,30798298,51620454,15248847,4453430
32768,1177860.00,22118222,40791354,11110583,4563165
32768,1132964.46,23668721,42453561,11725949,4572740
32768,1118273.39,23561941,41818820,11571728,4524396
65536,957410.49,21299884,35282435,8767145,4832834
65536,1085072.37,25215250,44473096,12538611,4609924
65536,1012643.41,22021739,38643625,10109466,4770549
65536,994095.95,22130825,38354293,10004746,4769898
65536,1040100.44,20988272,35252005,8824424,4819097
65536,1006649.82,21000092,35897265,9006760,4821390
131072,915355.97,16120148,26346736,5273275,4933558
131072,921293.31,16578502,26606134,5389192,4927371
131072,915343.68,16374932,26896516,5341013,5000043
131072,881444.12,16739716,26294809,5175448,4978740
131072,875471.30,17032931,26710553,5371617,4966077
131072,911920.75,17862712,26408084,5311360,4937285
262144,1111858.05,19969423,26331443,5180305,4991521
262144,874298.99,18106374,26801532,5301942,5040397
262144,864876.99,17887088,27005003,5375444,5039203
262144,899267.65,16755242,26963991,5306736,5050480
262144,988615.20,18476562,27092740,5361702,5049847
262144,852796.61,17783254,27036155,5304789,5085445
524288,824278.07,20520204,28003871,5588003,5143211
524288,831022.33,19389250,27729644,5493902,5133884
524288,847977.37,19083616,27761430,5481088,5145873
524288,785749.83,22055552,28044396,5528031,5185074
524288,841724.30,19182271,27861206,5508373,5144250
524288,848771.40,19156014,27833036,5483099,5157282
1048576,635964.18,31676508,29505641,5793775,5373852
1048576,641042.98,31407231,29395211,5851459,5316148
1048576,611402.50,33493667,29857502,5837050,5418297
1048576,626375.65,33286378,29925971,5901000,5400508
1048576,665607.05,39445984,30546247,6199673,5383602
1048576,639226.56,31817328,29227497,5713064,5356860
2097152,554663.23,36234722,32883590,6467316,5755200
2097152,478338.86,44611195,32896748,6449387,5763593
2097152,441151.31,50169812,33976642,6935428,5721296
2097152,466914.40,48587066,33023254,6573403,5733086
2097152,593290.95,40682756,32675006,6375051,5757883
2097152,567083.33,40657304,32616811,6327439,5770151
4194304,530929.49,42507277,38879628,7424025,6571356
4194304,514438.58,42561480,38818629,7480727,6528553
4194304,499350.73,44074878,39158076,7524184,6585870
4194304,579312.71,47050172,39459173,7693532,6540654
4194304,512817.68,43778072,39341868,7561940,6593371
4194304,526208.01,41326403,38425223,7321563,6533706
8388608,512432.47,48597228,51559420,9761692,8130331
8388608,464001.69,48778104,51617666,9637026,8212575
8388608,473910.83,43993617,51271752,9632974,8137834
8388608,461615.14,46359396,51811115,9755803,8196777
8388608,468341.84,48870993,51409062,9614364,8178011
8388608,462905.29,47387539,51226992,9590113,8158524
16777216,399144.08,56292412,75971603,13797632,11394073
16777216,393957.21,56308743,76146776,13864557,11400005
16777216,449762.16,55328668,77105082,14278938,11412070
16777216,396469.36,55728167,76273931,13932117,11405207
16777216,391299.03,56807117,76706344,14090120,11400135
16777216,398336.72,56619675,76263470,13949885,11384454
