BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_DCACHE_ACCESS,L1_DCACHE_REFILL
1024,221817.21,61420338,151629906,47288648,226171
1024,498103.08,61231843,151091414,47109241,225984
1024,498913.76,61093096,150793507,47010344,228714
1024,490045.60,61411853,151354473,47194861,223041
1024,504231.23,61129087,150218314,46837135,223872
1024,558324.99,61838881,152231070,47468975,219539
2048,260425.19,35422322,85115221,27461295,164893
2048,817367.43,34999128,84100104,27123009,218818
2048,748230.76,35820628,85399909,27537365,222145
2048,280119.18,35327629,84546794,27252182,217348
2048,759251.93,35030109,84263706,27174468,224870
2048,768147.16,35136303,84471558,27238978,215874
4096,291509.24,21991895,50988378,17239253,189854
4096,999856.21,22287309,51500605,17395853,196235
4096,294445.62,22559253,51479781,17403426,192463
4096,1014840.33,21870604,50699062,17147880,202322
4096,1062955.07,22231326,51076625,17274106,201206
4096,300362.19,21911919,48941808,16590047,180512
8192,1476759.92,15113289,33681941,12081630,170964
8192,2005621.43,15555885,34269212,12263061,173897
8192,1327634.70,15189244,33687663,12077344,176202
8192,1237451.59,14522779,31529224,11378981,167071
8192,1277685.42,14600169,30878995,11175903,175846
8192,1360836.88,13623171,30116804,10927203,147542
16384,1865417.38,10713445,23032608,8825868,151692
16384,1826988.74,11164948,24388026,9242420,162079
16384,1890465.09,11408298,23879862,9112066,155571
16384,1819814.99,11311014,24841335,9392805,168209
16384,1729367.47,10628889,22471612,8638420,148245
16384,1891515.96,10951739,23670342,9034783,155474
32768,2182436.74,8999323,18440346,7426191,154624
32768,1794763.54,9785946,16215167,6720879,157283
32768,1312171.98,15498769,14109599,6054858,165099
32768,2006603.98,15051157,15367966,6466699,178523
32768,2000596.58,9870830,19203607,7661085,160741
32768,2239769.71,9196400,19379644,7697754,156045
65536,741786.30,20583734,13819308,6006230,231250
65536,266363.40,33085445,11263797,5193977,216679
65536,297085.35,31679201,11727733,5335836,205232
65536,598584.81,26377020,10439394,4913976,196719
65536,2168130.11,8557883,18414522,7393841,175058
65536,2055092.54,7770257,15855212,6581605,159705
131072,2460778.41,7077599,14585110,6192738,147383
131072,2595081.51,7139988,14579076,6189583,148308
131072,2475194.12,7179111,14643497,6217424,148908
131072,2495264.31,7162771,14744245,6241465,148500
131072,2531694.02,7329949,14493051,6174402,151410
131072,2466251.99,7032629,14535359,6178286,146114
262144,2800878.25,6983128,13249183,5777646,150959
262144,3144855.71,7256686,13077157,5728907,152175
262144,2744882.41,11161562,10862155,5050232,156549
262144,2033936.51,13042248,13106819,5755205,171631
262144,540687.37,46629390,10630770,4974435,208770
262144,625610.10,29247893,9756719,4716298,192250
524288,419868.46,43922695,12244178,5494399,217589
524288,596510.86,52139980,10198128,4828057,201553
524288,488021.68,45503557,10009884,4760660,196187
524288,393878.39,56899567,12020310,5426844,213855
524288,309475.05,68696401,13423253,5881354,226757
524288,306585.75,48391463,10828122,5030165,206248
1048576,286289.07,50857517,12957077,5701523,215942
1048576,284591.38,62615020,13059781,5718947,221012
1048576,286850.15,56932222,12095067,5427626,209189
1048576,301044.16,72763762,13674719,5931284,236483
1048576,280205.51,75462159,13446415,5843426,231167
1048576,291886.87,71069011,13436302,5837524,231616
2097152,284633.69,65858396,16861203,6880727,239749
2097152,265264.38,68561956,14969903,6270549,318353
2097152,197054.08,60627817,17949972,7274551,241440
2097152,224010.73,71430406,16956106,6913359,307454
2097152,365748.15,66890205,17471765,7072123,242518
2097152,322642.25,60033646,16307744,6704000,248559
4194304,335035.29,67272695,21469214,8201692,270386
4194304,240852.13,91396089,23239068,8796661,308332
4194304,176401.39,57045799,22097418,8442226,263110
4194304,192848.95,67994417,22434655,8538982,270672
4194304,276611.48,80301985,23587172,8919144,295724
4194304,259244.09,82689511,23227271,8775265,287450
8388608,186064.63,75933384,35318354,12378188,345400
8388608,268945.75,83120142,34089829,11962042,359189
8388608,184609.08,88933600,34784011,12226158,361154
8388608,173683.35,83254066,35808803,12564623,365449
8388608,270632.58,78539718,35864702,12569811,366729
8388608,284719.63,79270902,34919251,12238334,344074
16777216,142973.97,113868485,62420903,20477295,519660
16777216,187698.93,123371963,62407341,20500854,510895
16777216,208242.97,114465299,62370268,20479351,511797
16777216,195237.05,115808773,63239499,20736804,512026
16777216,202633.57,117329764,62336810,20466747,511987
16777216,200488.67,110274101,60474070,19868372,502618
