BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L1_ICACHE_ACCESS,L1_ICACHE_REFILL
1024,209080.90,84343395,145527191,46807985,354111
1024,145841.76,77501659,146094609,46985445,361758
1024,437443.33,65188929,148385874,47660771,421990
1024,206462.33,86013829,142115144,45719177,254855
1024,296997.04,86228975,143170878,46026775,264076
1024,211633.43,87539052,145448411,46825443,349722
2048,385819.95,40220744,75906205,24382683,176720
2048,476851.84,36379288,77400861,24802939,176919
2048,614410.76,33796834,75318067,24079044,152582
2048,490920.85,36719351,75530684,24261804,128092
2048,209219.39,34415413,76794796,24605055,190130
2048,624033.15,36095953,76083095,24343677,148744
4096,403352.96,30271434,46959835,14940140,263728
4096,863170.56,26766475,45510038,14454628,198982
4096,284322.53,37600844,44134532,14072595,192042
4096,219822.18,51103546,47397331,15028711,249814
4096,200305.72,34870392,45893685,14653711,256520
4096,203301.16,42610937,45750344,14650542,235505
8192,251146.14,42002069,28297229,8908322,187070
8192,312937.01,32180486,27168538,8538618,142591
8192,267678.13,34290445,28894006,9153979,219895
8192,617625.92,20060010,28543490,8958411,141135
8192,860436.62,20589677,26427435,8276454,115805
8192,588703.20,19121785,30615616,9589071,232955
16384,691787.59,18690661,18003394,5536812,92692
16384,1769330.86,11220648,24442115,7538708,286501
16384,809402.68,20597831,17839259,5472519,82810
16384,1786054.25,11287880,24577858,7567697,287862
16384,1818330.91,11124447,24184727,7453937,277855
16384,1798730.42,11474636,24981605,7678156,286730
32768,2085692.71,9062547,19458654,5938980,246825
32768,2135908.88,9013253,19483806,5934916,244320
32768,2118438.39,9151744,19562534,5968652,248206
32768,2123869.98,9025443,19497957,5940533,241247
32768,2104976.21,9068185,19535919,5941320,242643
32768,2240354.58,9210803,19645145,5968190,240732
65536,2981519.76,8297730,16934396,5112220,200765
65536,2088296.80,7785719,16397112,4952134,189776
65536,2826804.85,9775460,15123516,4579701,171712
65536,510482.25,38373351,11435241,3440766,88661
65536,442593.57,35010041,11750219,3491826,61708
65536,312293.81,38081243,9619073,2843435,57491
131072,245165.48,34183658,10033974,3009388,64194
131072,384991.66,45510754,12617148,3787702,91016
131072,207270.94,34818457,8779755,2612681,67933
131072,433581.16,38192782,10253119,3081290,65043
131072,560684.29,27702449,11972500,3553206,100652
131072,628619.65,21165218,9531490,2824141,60171
262144,647404.29,32534911,10169402,2972831,51765
262144,726364.78,28534010,10901915,3203934,50988
262144,435529.67,31794509,9024578,2636824,41470
262144,642036.25,25529883,11841653,3506087,58240
262144,2738977.17,7005223,12975496,3861818,128155
262144,606880.36,42532405,9842761,2871381,51006
524288,282065.14,29471879,10123680,2999713,55524
524288,451982.23,42760683,12155061,3606239,55779
524288,403182.79,34672027,12527975,3739085,68334
524288,462793.99,41492527,12665044,3752432,51538
524288,344533.25,32857934,10854961,3258915,61263
524288,444832.73,46901367,11520775,3435154,67347
1048576,273850.35,41261508,12353881,3704744,68714
1048576,436562.74,38638756,11781662,3525531,52437
1048576,459598.21,39291095,14061025,4191910,68876
1048576,433915.21,44842209,14046643,4207998,63808
1048576,445177.23,43781026,12310597,3685683,48302
1048576,431402.95,42568231,12532807,3761082,52819
2097152,386049.33,56164156,16707413,5054176,71863
2097152,433173.20,44856741,15270655,4568697,46380
2097152,455852.95,49671754,16207165,4895924,60708
2097152,378050.74,52034718,15845507,4773414,63768
2097152,396094.05,56911121,17054439,5147168,61835
2097152,360776.10,48274227,16347729,4973928,70584
4194304,321622.52,60264266,21858967,6700260,83283
4194304,230379.67,71937364,22988846,7050055,84499
4194304,289847.77,76135293,23631747,7190269,81659
4194304,211926.29,79777822,22439222,6886587,81001
4194304,206083.69,64495070,22147953,6802447,88041
4194304,305007.14,70382707,23615792,7234719,78090
8388608,204914.05,64756046,35334996,10973643,120330
8388608,304377.02,79614365,38187422,11807595,142682
8388608,279441.84,83083287,36252971,11185491,119061
8388608,187961.36,86169097,35576607,11004391,130671
8388608,212624.53,66752526,34441031,10704565,129911
8388608,211730.62,74637747,35012105,10814767,118735
16777216,207720.61,116512609,62563584,19400035,189311
16777216,263709.48,92580454,62003286,19246280,184902
16777216,281818.17,93535330,61896197,19242246,167447
16777216,329644.31,98043030,60228819,18707330,156435
16777216,381479.46,90439662,61531948,19135898,151689
16777216,354647.94,80324735,61511225,19117074,180236
