BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,L3D_CACHE_RD,L3D_CACHE_REFILL
1024,481320.84,61519735,153014076,444827,9849
1024,494692.63,61771436,151380699,459847,19103
1024,496031.68,61365911,150967056,454219,11754
1024,450701.76,64448221,149155093,532298,74148
1024,212696.73,65582396,148568907,485978,46595
1024,350100.92,64561964,148118924,541964,100534
2048,733614.21,33996642,81157658,452440,34024
2048,540729.35,45242215,81065065,497081,93387
2048,164812.06,54984898,79481112,445191,149664
2048,681608.93,35146461,83621873,473581,21908
2048,240853.81,51256977,78974537,483357,155725
2048,490500.86,45806118,84704669,514899,69763
4096,222725.23,33124221,47341256,451402,121598
4096,966080.57,22143863,51325115,415547,7049
4096,973109.56,20760025,48041356,458360,35104
4096,753434.81,32489644,49367141,470053,66542
4096,266884.58,38582601,42790825,489273,268906
4096,254802.91,38593450,45379807,521369,201354
8192,177693.84,39940797,28559415,447298,249348
8192,370923.12,37350334,26430742,497409,240847
8192,187789.21,36090444,28579603,425544,203659
8192,302922.36,18893927,29894145,523642,106175
8192,1718659.28,14804955,29027818,500870,62768
8192,1108034.28,17027176,28617695,507972,122513
16384,1783153.52,11110370,24157487,408409,6387
16384,1800125.56,11294426,24563847,397772,6064
16384,1796069.46,11176640,24343693,404800,6087
16384,2803979.12,11779751,25119383,395046,5706
16384,296728.27,29997416,18613962,499297,249800
16384,274817.88,26528798,18557103,544584,251433
32768,377476.97,28215320,15422021,557554,247054
32768,604197.02,29221063,12946873,605410,304826
32768,286559.09,27058549,15636586,624328,260656
32768,379973.56,36711365,14159868,547455,240100
32768,305696.87,32606589,14183446,595806,307664
32768,283458.20,27640751,14666402,562095,221198
65536,516508.12,31332805,10353746,591664,269574
65536,530393.79,28204661,10816314,592976,242575
65536,523632.38,27986239,11521051,583168,249933
65536,2309564.80,8466097,18108976,445406,2334
65536,2229622.88,8254914,17547757,461088,2265
65536,2198638.63,8532495,18305865,454346,2203
131072,3802734.18,7715610,14595396,571879,6587
131072,1063447.92,17087127,11277050,588941,123032
131072,754281.44,23275269,10664505,643778,219809
131072,772379.27,24922484,10701898,656955,243819
131072,665179.51,35027907,11512825,656923,314420
131072,863267.90,20597831,11304356,608682,169732
262144,843135.43,25616887,10536193,632380,245295
262144,862376.86,22090387,9950614,682065,244363
262144,628908.55,31962464,12471178,733087,313506
262144,515133.80,35702741,9871931,656661,325903
262144,628621.22,29291086,10329551,709661,279948
262144,534485.89,22472905,12102465,762619,290416
524288,516023.43,35018254,12791775,765046,344444
524288,745101.56,39677569,10171703,624443,290741
524288,672096.64,34420073,10586308,693562,312244
524288,523068.03,29427329,11524043,811561,347915
524288,695125.22,33125697,10894319,783279,344674
524288,633480.06,30184980,12016032,827749,353711
1048576,440585.02,37204542,13915357,836169,336873
1048576,573906.18,46417802,14129584,774144,377385
1048576,528703.79,43487841,11995460,727005,360214
1048576,595884.94,36026946,12361228,773457,355814
1048576,457141.51,46915984,13625880,751293,384148
1048576,426582.43,43858446,14189306,836960,396041
2097152,310208.70,44774935,15259779,812076,399922
2097152,404007.04,46694686,16409446,848192,417996
2097152,605087.97,33983837,15746959,857365,374312
2097152,544510.24,35302767,17562998,874084,401564
2097152,529263.59,38782322,16873256,866252,416421
2097152,523305.66,42505656,17072496,835652,403049
4194304,456377.78,43657109,23794918,875980,450978
4194304,564015.79,37220699,24764043,946015,447459
4194304,480165.23,43507096,23491805,886284,453192
4194304,502180.55,41241495,23037460,862766,428548
4194304,463011.97,46357538,22473474,849309,445836
4194304,470971.87,48071679,23562836,836947,435575
8388608,484724.56,54395860,36610149,871753,497090
8388608,441504.98,54962025,37555455,929599,505898
8388608,441698.03,54496263,34257711,845631,456622
8388608,455310.05,51144359,37705819,924529,512009
8388608,327697.82,70884646,36749714,910621,534379
8388608,514493.64,70951857,34542033,852257,480309
16777216,401051.41,83482975,63027170,1107407,633043
16777216,418189.04,81791743,61656676,1067978,614679
16777216,418964.52,79668552,62128723,1048882,604098
16777216,419410.04,80465117,62177587,1051557,615945
16777216,413270.57,79960650,62288734,1069634,615990
16777216,375540.19,85263410,61289080,1004717,609193
