BUFFERSIZE,bandwidth(KBytes/sec),CLOCK_CYCLES,INSTR_EXECUTED,MEM_READ,MEM_WRITE
1024,458055.32,64984219,148319291,27117167,19233133
1024,214820.91,69848957,150721513,27614636,19588063
1024,533980.72,61914741,151902102,27850157,19742561
1024,475530.91,62026636,153013052,28081209,19883478
1024,488237.79,61882780,151854617,27815418,19728179
1024,501270.09,61534356,151522697,27798993,19698650
2048,926846.01,35511712,84428540,15710447,11724468
2048,751776.09,34855532,83706012,15588667,11630322
2048,751111.03,35337671,84414297,15716954,11727069
2048,733751.16,36162863,85838500,15984850,11904566
2048,875092.34,34543451,80983620,15050755,11245538
2048,536292.13,41561882,78311222,14523080,10922330
4096,326179.81,40306836,44437123,8413769,6913294
4096,236774.91,35356377,44812979,8497681,6966616
4096,293135.13,39366622,48335985,9099593,7405091
4096,214104.78,39726552,42634305,8093270,6687209
4096,310386.31,32484323,42708608,8069277,6664885
4096,270279.24,35086558,42491609,8067559,6636509
8192,226534.86,37314198,28633919,5548871,5050356
8192,193219.89,31366991,28601167,5510736,5029700
8192,519029.53,24076167,31658998,6122004,5409709
8192,529689.52,21835608,29623300,5704006,5145845
8192,1474067.35,14465759,32308303,6263073,5523198
8192,318386.54,14514558,32254140,6268549,5520983
16384,1959467.35,11102917,24187134,4794534,4558104
16384,1007714.04,11727462,17347537,3475715,3667470
16384,1160745.83,12880643,18236452,3658742,3787406
16384,1039322.39,13346178,19507055,3927425,3937914
16384,1129089.83,12645850,19842978,3975849,3983935
16384,1435096.00,12418557,21435084,4327157,4202338
32768,1189379.67,11953168,15229327,3167538,3435587
32768,1337899.17,10713384,16536581,3401747,3611303
32768,1589463.43,11112170,16121103,3338274,3547307
32768,1589009.47,10660802,15225564,3142247,3442034
32768,1206094.58,16460236,13670150,2856592,3236913
32768,1055494.60,17736936,15592306,3245706,3484874
65536,590619.05,21018925,11724256,2497123,3033317
65536,618147.98,25219186,12449301,2644606,3112351
65536,419830.58,37743245,11332860,2433135,2961017
65536,630878.24,25530906,13039348,2763391,3185857
65536,1340246.14,14833443,15850320,3269213,3543821
65536,1371178.83,13467122,13262771,2808312,3212836
131072,1453609.79,12803452,10526982,2254912,2868635
131072,1682437.54,9646470,12765767,2679677,3154588
131072,1602101.77,12001093,10996975,2343167,2929680
131072,1453017.78,12075629,13034077,2752995,3188708
131072,1636068.46,12298970,11405081,2435387,2983282
131072,1076479.15,15138815,12694902,2705404,3145745
262144,1259320.23,17760535,10766029,2290937,2904829
262144,1035119.92,23252958,12037621,2545022,3088730
262144,507138.26,41538460,12498832,2670353,3137220
262144,551863.97,23797581,11066363,2365011,2955902
262144,687714.74,28195474,12878977,2750329,3179260
262144,649246.61,26875865,12363734,2639671,3123953
524288,605588.33,20941886,11316754,2400633,3007097
524288,592730.04,34189146,13267834,2808911,3233549
524288,618272.85,30975010,13279521,2800533,3246805
524288,598845.46,28265479,11799392,2511427,3047777
524288,616422.70,30136423,10901111,2322862,2931723
524288,504819.55,38670017,12980456,2749118,3204286
1048576,490622.00,40336775,14726071,3055831,3426373
1048576,438320.72,44600161,14504749,3020055,3403851
1048576,429909.97,48351433,15002668,3119464,3471161
1048576,505795.37,31972186,11904016,2474419,3089816
1048576,473849.97,44244015,12241428,2543598,3107246
1048576,534994.32,36335160,14218910,2947226,3369557
2097152,500592.27,46950861,15658914,3148104,3558873
2097152,388215.75,46510845,15481940,3115736,3543130
2097152,519908.27,39390390,16539990,3315259,3676953
2097152,532353.70,38377799,18340683,3694990,3901726
2097152,455800.33,38642689,17059019,3464929,3746127
2097152,697693.47,37765553,16997096,3438399,3737104
4194304,675998.02,38896684,23460562,4552853,4571621
4194304,624911.59,38160245,22579200,4367368,4465744
4194304,650634.02,47567144,23705644,4615747,4608264
4194304,616876.14,40780794,24335567,4740784,4683075
4194304,643788.11,46017054,23701034,4617432,4607965
4194304,653303.82,43287907,23914703,4652208,4634304
8388608,619846.07,48490594,34564466,6428733,6171019
8388608,610406.19,49187176,36888563,6893294,6347201
8388608,724416.77,48195312,35293681,6575387,6146645
8388608,684324.19,44376522,36014235,6726456,6229163
8388608,690555.34,42990591,35821290,6689597,6207223
8388608,691854.03,41178899,35861733,6624660,6233907
16777216,579667.57,52091503,61329910,11022905,9569081
16777216,588599.01,53064542,60986878,11030068,9537776
16777216,600549.54,52199074,61085081,11050673,9553686
16777216,624998.13,57521097,61312131,11073849,9562794
16777216,568597.61,54418657,62093629,11217010,9677977
16777216,581787.70,53882744,61762891,11173359,9631561
