filesystem,buffer_size,run,throughput_MBps
/fs1,1024,2,831.16
/fs1,1024,3,831.34
/fs1,1024,4,813.85
/fs1,1024,5,806.83
/fs1,1024,6,824.13
/fs1,2048,2,1234.96
/fs1,2048,3,1273.39
/fs1,2048,4,1269.60
/fs1,2048,5,1255.94
/fs1,2048,6,1300.02
/fs1,4096,2,2084.70
/fs1,4096,3,2009.48
/fs1,4096,4,2045.78
/fs1,4096,5,2049.93
/fs1,4096,6,1979.02
/fs1,8192,2,2862.07
/fs1,8192,3,2826.29
/fs1,8192,4,2946.96
/fs1,8192,5,2842.21
/fs1,8192,6,2851.03
/fs1,16384,2,3496.61
/fs1,16384,3,3547.65
/fs1,16384,4,4614.21
/fs1,16384,5,3539.76
/fs1,16384,6,3499.61
/fs1,32768,2,4023.80
/fs1,32768,3,3923.29
/fs1,32768,4,3828.25
/fs1,32768,5,3878.48
/fs1,32768,6,3982.86
/fs1,65536,2,4176.00
/fs1,65536,3,4121.75
/fs1,65536,4,4160.50
/fs1,65536,5,4087.17
/fs1,65536,6,4355.71
/fs1,131072,2,4192.54
/fs1,131072,3,4019.18
/fs1,131072,4,4126.42
/fs1,131072,5,4171.79
/fs1,131072,6,4135.15
/fs1,262144,2,4629.62
/fs1,262144,3,3954.91
/fs1,262144,4,3952.94
/fs1,262144,5,3972.08
/fs1,262144,6,3939.12
/fs1,524288,2,3087.61
/fs1,524288,3,3036.78
/fs1,524288,4,3036.61
/fs1,524288,5,3037.13
/fs1,524288,6,3549.91
/fs1,1048576,2,2043.43
/fs1,1048576,3,2418.12
/fs1,1048576,4,2598.83
/fs1,1048576,5,2668.48
/fs1,1048576,6,2116.46
/fs2,1024,2,892.91
/fs2,1024,3,811.50
/fs2,1024,4,812.75
/fs2,1024,5,816.64
/fs2,1024,6,830.02
/fs2,2048,2,1315.17
/fs2,2048,3,1215.15
/fs2,2048,4,1317.77
/fs2,2048,5,1301.04
/fs2,2048,6,1298.53
/fs2,4096,2,2067.39
/fs2,4096,3,2072.80
/fs2,4096,4,2239.88
/fs2,4096,5,2079.14
/fs2,4096,6,2081.31
/fs2,8192,2,2872.48
/fs2,8192,3,2923.08
/fs2,8192,4,4077.12
/fs2,8192,5,2920.12
/fs2,8192,6,2873.48
/fs2,16384,2,3716.31
/fs2,16384,3,3642.12
/fs2,16384,4,3736.08
/fs2,16384,5,3702.68
/fs2,16384,6,3690.79
/fs2,32768,2,4382.88
/fs2,32768,3,4147.16
/fs2,32768,4,5090.12
/fs2,32768,5,4098.08
/fs2,32768,6,4180.04
/fs2,65536,2,4360.50
/fs2,65536,3,4571.54
/fs2,65536,4,4390.23
/fs2,65536,5,4449.03
/fs2,65536,6,4492.17
/fs2,131072,2,4466.03
/fs2,131072,3,4893.39
/fs2,131072,4,4471.13
/fs2,131072,5,4462.29
/fs2,131072,6,4456.14
/fs2,262144,2,4198.59
/fs2,262144,3,4194.73
/fs2,262144,4,4249.80
/fs2,262144,5,4364.57
/fs2,262144,6,4197.85
/fs2,524288,2,3515.65
/fs2,524288,3,3943.13
/fs2,524288,4,3280.11
/fs2,524288,5,3175.67
/fs2,524288,6,3249.43
/fs2,1048576,2,2420.07
/fs2,1048576,3,2283.48
/fs2,1048576,4,2401.59
/fs2,1048576,5,2289.85
/fs2,1048576,6,2976.20
/pool,1024,2,46.24
/pool,1024,3,46.70
/pool,1024,4,45.83
/pool,1024,5,45.84
/pool,1024,6,46.24
/pool,2048,2,90.39
/pool,2048,3,90.72
/pool,2048,4,90.31
/pool,2048,5,88.18
/pool,2048,6,88.57
/pool,4096,2,170.61
/pool,4096,3,172.47
/pool,4096,4,179.86
/pool,4096,5,170.22
/pool,4096,6,174.35
/pool,8192,2,306.44
/pool,8192,3,318.44
/pool,8192,4,325.70
/pool,8192,5,316.52
/pool,8192,6,319.45
/pool,16384,2,578.05
/pool,16384,3,586.80
/pool,16384,4,525.07
/pool,16384,5,542.68
/pool,16384,6,560.10
/pool,32768,2,916.92
/pool,32768,3,952.30
/pool,32768,4,947.03
/pool,32768,5,938.19
/pool,32768,6,910.19
/pool,65536,2,1690.06
/pool,65536,3,1546.95
/pool,65536,4,2087.74
/pool,65536,5,1624.78
/pool,65536,6,1476.63
/pool,131072,2,2421.92
/pool,131072,3,2597.51
/pool,131072,4,2576.50
/pool,131072,5,2496.65
/pool,131072,6,2496.45
/pool,262144,2,3237.60
/pool,262144,3,3113.03
/pool,262144,4,3092.39
/pool,262144,5,3092.56
/pool,262144,6,3207.66
/pool,524288,2,3089.24
/pool,524288,3,3437.09
/pool,524288,4,3395.41
/pool,524288,5,3361.30
/pool,524288,6,3833.21
/pool,1048576,2,2952.20
/pool,1048576,3,2514.93
/pool,1048576,4,3301.56
/pool,1048576,5,2562.46
/pool,1048576,6,2598.49
